Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,127.32,69.95,HOLD,1.26,14.34,-15.76
01-26-2023,125.74,67.57,HOLD,1.78,12.92,-18.12
01-25-2023,123.54,63.89,HOLD,-0.05,10.95,-19.75
01-24-2023,123.60,64.07,HOLD,-0.31,11.00,-21.77
01-23-2023,123.98,65.18,HOLD,2.34,11.34,-20.85
01-20-2023,121.15,60.46,HOLD,2.89,8.80,-25.06
01-19-2023,117.75,53.41,HOLD,-1.05,5.75,-28.29
01-18-2023,119.00,56.87,HOLD,-1.24,6.87,-28.46
01-17-2023,120.50,61.30,HOLD,0.22,8.22,-29.65
01-13-2023,120.23,60.79,HOLD,0.90,7.97,-29.69
01-12-2023,119.16,58.79,HOLD,1.01,7.01,-32.46
01-11-2023,117.97,56.50,HOLD,2.11,5.95,-33.07
01-10-2023,115.53,51.36,HOLD,1.24,3.75,-33.27
01-09-2023,114.11,48.03,HOLD,0.82,2.48,-34.25
01-06-2023,113.18,45.78,HOLD,2.17,1.64,-35.60
01-05-2023,110.78,39.50,HOLD,-1.52,-0.51,-36.99
01-04-2023,112.49,42.78,HOLD,1.02,1.02,-38.57
01-03-2023,111.35,39.68,HOLD,-0.99,0.00,-40.12
12-30-2022,112.46,41.73,HOLD,-0.01,,0.00
12-29-2022,112.47,41.74,HOLD,2.68,,0.00
12-28-2022,109.53,33.98,HOLD,-1.42,,0.00
12-27-2022,111.11,36.40,HOLD,-1.51,,0.00
12-23-2022,112.81,39.19,HOLD,0.32,,0.00
12-22-2022,112.45,38.26,HOLD,-2.45,,0.00
12-21-2022,115.28,43.07,HOLD,1.80,,0.00
12-20-2022,113.24,37.84,HOLD,-0.13,,0.00
12-19-2022,113.39,38.08,HOLD,-1.66,,0.00
12-16-2022,115.30,41.15,HOLD,-1.21,,0.00
12-15-2022,116.71,43.56,HOLD,-3.35,,0.00
12-14-2022,120.76,51.63,HOLD,-0.60,,0.00
12-13-2022,121.49,53.28,HOLD,1.10,,0.00
12-12-2022,120.17,50.63,HOLD,1.27,,0.00
12-09-2022,118.66,47.46,HOLD,-0.99,,0.00
12-08-2022,119.85,49.80,HOLD,1.39,,0.00
12-07-2022,118.21,46.42,HOLD,-0.40,,0.00
12-06-2022,118.68,47.26,HOLD,-2.33,,0.00
12-05-2022,121.51,52.63,HOLD,-2.24,,0.00
12-02-2022,124.30,58.73,HOLD,-0.14,,0.00
12-01-2022,124.47,59.12,HOLD,0.10,,0.00
11-30-2022,124.34,58.93,HOLD,4.62,,0.00
11-29-2022,118.85,49.62,HOLD,-0.38,,0.00
11-28-2022,119.30,50.49,HOLD,-1.53,,0.00
11-25-2022,121.15,54.12,HOLD,-0.52,,0.00
11-23-2022,121.78,55.37,HOLD,1.26,,0.00
11-22-2022,120.27,52.94,HOLD,1.57,,0.00
11-21-2022,118.41,49.81,HOLD,-1.68,,0.00
11-18-2022,120.43,53.39,HOLD,-0.31,,0.00
11-17-2022,120.81,54.07,HOLD,-0.47,,0.00
11-16-2022,121.38,55.04,HOLD,-1.94,,0.00
11-15-2022,123.78,59.22,HOLD,2.10,,0.00
11-14-2022,121.24,55.94,HOLD,-1.13,,0.00
11-11-2022,122.63,58.32,HOLD,2.33,,0.00
11-10-2022,119.84,54.72,HOLD,8.26,,0.00
11-09-2022,110.70,38.56,HOLD,-3.39,,0.00
11-08-2022,114.58,44.87,HOLD,0.26,,0.00
