Date,Price,RSI,STATUS
12-16-2022,23.78,43.60,HOLD
12-15-2022,23.96,45.66,HOLD
12-14-2022,24.53,53.02,HOLD
12-13-2022,24.60,54.01,HOLD
12-12-2022,24.29,50.17,HOLD
12-09-2022,23.97,45.84,HOLD
12-08-2022,24.23,49.06,HOLD
12-07-2022,24.04,46.51,HOLD
12-06-2022,24.09,47.08,HOLD
12-05-2022,24.52,52.25,HOLD
12-02-2022,25.19,62.10,HOLD
12-01-2022,25.09,61.08,HOLD
11-30-2022,25.03,60.49,HOLD
11-29-2022,24.35,52.98,HOLD
11-28-2022,24.30,52.36,HOLD
11-25-2022,24.70,58.03,HOLD
11-23-2022,24.65,57.50,HOLD
11-22-2022,24.53,56.26,HOLD
11-21-2022,24.22,52.96,HOLD
11-18-2022,24.36,54.69,HOLD
11-17-2022,24.22,53.28,HOLD
11-16-2022,24.43,55.70,HOLD
11-15-2022,24.82,60.43,HOLD
11-14-2022,24.41,56.85,HOLD
11-11-2022,24.68,60.18,HOLD
11-10-2022,24.51,58.77,HOLD
11-09-2022,23.17,44.31,HOLD
11-08-2022,23.74,51.44,HOLD
11-07-2022,23.75,51.57,HOLD
11-04-2022,23.66,50.48,HOLD
11-03-2022,23.46,48.08,HOLD
11-02-2022,23.47,48.19,HOLD
11-01-2022,24.28,58.06,HOLD
10-31-2022,24.26,57.86,HOLD
10-28-2022,24.32,58.63,HOLD
10-27-2022,23.86,54.30,HOLD
10-26-2022,23.93,55.11,HOLD
10-25-2022,23.95,55.33,HOLD
10-24-2022,23.39,50.15,HOLD
10-21-2022,23.27,48.97,HOLD
10-20-2022,22.84,44.60,HOLD
10-19-2022,23.05,46.40,HOLD
10-18-2022,23.53,50.74,HOLD
10-17-2022,23.18,47.41,HOLD
10-14-2022,22.50,40.10,HOLD
10-13-2022,23.20,46.25,HOLD
10-12-2022,22.74,40.71,HOLD
10-11-2022,22.86,41.75,HOLD
10-10-2022,22.83,41.40,HOLD
10-07-2022,23.06,43.24,HOLD
10-06-2022,23.77,49.56,HOLD
10-05-2022,23.91,50.93,HOLD
10-04-2022,23.95,51.30,HOLD
10-03-2022,23.08,42.81,HOLD
09-30-2022,22.47,35.49,HOLD
09-29-2022,22.59,36.34,HOLD
09-28-2022,23.04,39.65,HOLD
09-27-2022,22.40,31.41,HOLD
09-26-2022,22.21,28.73,BUY
09-23-2022,22.57,30.85,HOLD
09-22-2022,23.09,34.24,HOLD
09-21-2022,23.65,38.47,HOLD
09-20-2022,24.00,41.45,HOLD
09-19-2022,24.34,44.55,HOLD
09-16-2022,24.12,41.94,HOLD
09-15-2022,24.58,46.16,HOLD
09-14-2022,24.79,48.22,HOLD
09-13-2022,24.66,46.86,HOLD
09-12-2022,25.70,58.24,HOLD
09-09-2022,25.42,55.54,HOLD
09-08-2022,24.96,50.68,HOLD
09-07-2022,24.62,46.67,HOLD
09-06-2022,23.93,37.03,HOLD
09-02-2022,24.13,38.92,HOLD
09-01-2022,24.28,40.36,HOLD
08-31-2022,24.57,43.23,HOLD
08-30-2022,24.56,43.10,HOLD
08-29-2022,24.92,46.65,HOLD
08-26-2022,25.15,49.05,HOLD
08-25-2022,26.01,59.71,HOLD
08-24-2022,25.65,56.00,HOLD
08-23-2022,25.37,52.85,HOLD
08-22-2022,25.29,51.94,HOLD
08-19-2022,25.76,58.06,HOLD
08-18-2022,26.26,65.71,HOLD
08-17-2022,26.09,64.22,HOLD
08-16-2022,26.50,71.13,SELL
08-15-2022,26.52,71.48,SELL
08-12-2022,26.43,70.88,SELL
08-11-2022,26.01,67.98,HOLD
08-10-2022,25.99,67.84,HOLD
08-09-2022,25.19,61.52,HOLD
08-08-2022,25.70,69.62,HOLD
08-05-2022,25.49,68.01,HOLD
08-04-2022,25.11,64.88,HOLD
08-03-2022,25.20,66.31,HOLD
08-02-2022,24.81,63.04,HOLD
08-01-2022,24.74,62.43,HOLD
07-29-2022,24.81,63.40,HOLD
07-28-2022,24.58,61.58,HOLD
07-27-2022,24.14,57.87,HOLD
07-26-2022,23.66,53.30,HOLD
07-25-2022,23.95,56.76,HOLD
07-22-2022,23.90,56.30,HOLD
07-21-2022,24.38,62.11,HOLD
07-20-2022,24.13,60.12,HOLD
07-19-2022,23.67,56.19,HOLD
07-18-2022,22.94,48.75,HOLD
07-15-2022,23.03,49.71,HOLD
07-14-2022,22.57,44.49,HOLD
07-13-2022,22.79,46.64,HOLD
07-12-2022,22.79,46.64,HOLD
07-11-2022,23.04,48.96,HOLD
07-08-2022,23.50,53.51,HOLD
07-07-2022,23.45,53.07,HOLD
07-06-2022,22.78,46.81,HOLD
07-05-2022,22.90,47.87,HOLD
07-01-2022,22.65,45.47,HOLD
06-30-2022,22.36,42.63,HOLD
06-29-2022,22.61,44.49,HOLD
06-28-2022,22.78,45.74,HOLD
06-27-2022,23.29,49.65,HOLD
06-24-2022,23.36,50.20,HOLD
06-23-2022,22.51,43.14,HOLD
06-22-2022,22.11,39.39,HOLD
06-21-2022,22.10,39.30,HOLD
06-17-2022,21.63,34.94,HOLD
06-16-2022,21.38,32.55,HOLD
06-15-2022,22.48,38.30,HOLD
06-14-2022,22.13,34.90,HOLD
06-13-2022,22.25,35.53,HOLD
06-10-2022,23.41,42.30,HOLD
06-09-2022,24.16,47.77,HOLD
06-08-2022,24.74,52.66,HOLD
06-07-2022,25.10,55.96,HOLD
06-06-2022,24.72,53.08,HOLD
06-03-2022,24.61,52.24,HOLD
06-02-2022,24.81,53.87,HOLD
06-01-2022,24.00,47.74,HOLD
05-31-2022,24.16,48.93,HOLD
05-27-2022,24.62,52.43,HOLD
05-26-2022,23.93,47.17,HOLD
05-25-2022,23.39,42.56,HOLD
05-24-2022,22.94,38.40,HOLD
05-23-2022,23.37,41.03,HOLD
05-20-2022,23.13,38.86,HOLD
05-19-2022,23.11,38.68,HOLD
05-18-2022,22.94,37.26,HOLD
05-17-2022,23.92,42.53,HOLD
05-16-2022,23.25,36.86,HOLD
05-13-2022,23.44,37.85,HOLD
05-12-2022,22.55,29.69,BUY
05-11-2022,22.20,26.16,BUY
05-10-2022,22.87,28.73,BUY
05-09-2022,22.84,28.43,BUY
