Date,Price,RSI,STATUS
12-16-2022,38.36,54.18,HOLD
12-15-2022,38.15,53.31,HOLD
12-14-2022,39.43,59.77,HOLD
12-13-2022,39.26,59.16,HOLD
12-12-2022,38.88,57.83,HOLD
12-09-2022,38.59,56.84,HOLD
12-08-2022,39.86,62.86,HOLD
12-07-2022,38.55,58.66,HOLD
12-06-2022,38.46,58.36,HOLD
12-05-2022,38.86,60.17,HOLD
12-02-2022,40.22,66.67,HOLD
12-01-2022,39.57,64.99,HOLD
11-30-2022,39.80,66.08,HOLD
11-29-2022,37.51,59.83,HOLD
11-28-2022,36.19,55.44,HOLD
11-25-2022,37.15,59.86,HOLD
11-23-2022,38.04,64.28,HOLD
11-22-2022,37.86,63.77,HOLD
11-21-2022,36.13,58.58,HOLD
11-18-2022,36.34,59.54,HOLD
11-17-2022,36.36,59.63,HOLD
11-16-2022,37.38,64.04,HOLD
11-15-2022,38.09,67.26,HOLD
11-14-2022,37.89,66.82,HOLD
11-11-2022,38.04,67.45,HOLD
11-10-2022,36.75,64.82,HOLD
11-09-2022,34.03,58.21,HOLD
11-08-2022,35.46,64.08,HOLD
11-07-2022,34.45,61.54,HOLD
11-04-2022,35.19,64.66,HOLD
11-03-2022,31.56,54.06,HOLD
11-02-2022,31.01,52.03,HOLD
11-01-2022,32.90,60.54,HOLD
10-31-2022,31.69,56.29,HOLD
10-28-2022,32.20,58.77,HOLD
10-27-2022,32.74,61.43,HOLD
10-26-2022,33.34,64.44,HOLD
10-25-2022,31.67,59.28,HOLD
10-24-2022,31.05,57.14,HOLD
10-21-2022,32.03,61.92,HOLD
10-20-2022,29.12,50.51,HOLD
10-19-2022,28.36,46.64,HOLD
10-18-2022,28.49,47.22,HOLD
10-17-2022,28.82,48.67,HOLD
10-14-2022,27.64,42.86,HOLD
10-13-2022,29.36,50.61,HOLD
10-12-2022,28.84,47.97,HOLD
10-11-2022,29.18,49.58,HOLD
10-10-2022,29.26,49.95,HOLD
10-07-2022,28.95,48.58,HOLD
10-06-2022,29.82,52.30,HOLD
10-05-2022,30.51,55.43,HOLD
10-04-2022,30.78,56.66,HOLD
10-03-2022,29.34,51.31,HOLD
09-30-2022,27.33,42.02,HOLD
09-29-2022,28.17,45.38,HOLD
09-28-2022,27.86,43.84,HOLD
09-27-2022,26.87,38.72,HOLD
09-26-2022,26.50,36.72,HOLD
09-23-2022,26.68,37.27,HOLD
09-22-2022,28.35,42.79,HOLD
09-21-2022,28.10,41.59,HOLD
09-20-2022,29.72,47.61,HOLD
09-19-2022,30.49,50.86,HOLD
09-16-2022,29.33,45.67,HOLD
09-15-2022,29.78,47.47,HOLD
09-14-2022,30.03,48.46,HOLD
09-13-2022,31.05,52.61,HOLD
09-12-2022,32.17,57.65,HOLD
09-09-2022,32.17,57.65,HOLD
09-08-2022,30.62,52.19,HOLD
09-07-2022,28.38,42.19,HOLD
09-06-2022,28.12,40.86,HOLD
09-02-2022,28.30,41.47,HOLD
09-01-2022,28.09,40.50,HOLD
08-31-2022,29.60,45.54,HOLD
08-30-2022,29.76,46.10,HOLD
08-29-2022,31.50,52.70,HOLD
08-26-2022,32.19,55.63,HOLD
08-25-2022,33.23,60.33,HOLD
08-24-2022,31.32,53.66,HOLD
08-23-2022,31.79,55.80,HOLD
08-22-2022,29.86,47.86,HOLD
08-19-2022,30.45,50.43,HOLD
08-18-2022,31.23,53.99,HOLD
08-17-2022,30.25,49.86,HOLD
08-16-2022,31.39,55.22,HOLD
08-15-2022,30.50,51.43,HOLD
08-12-2022,31.62,57.07,HOLD
08-11-2022,31.67,57.33,HOLD
08-10-2022,31.40,56.33,HOLD
08-09-2022,30.05,51.00,HOLD
08-08-2022,30.62,53.57,HOLD
08-05-2022,30.27,52.20,HOLD
08-04-2022,28.76,45.80,HOLD
08-03-2022,28.69,45.48,HOLD
08-02-2022,29.33,47.84,HOLD
08-01-2022,29.98,50.29,HOLD
07-29-2022,31.55,56.83,HOLD
07-28-2022,29.83,50.25,HOLD
07-27-2022,29.29,47.94,HOLD
07-26-2022,27.93,41.58,HOLD
07-25-2022,28.29,42.86,HOLD
07-22-2022,27.76,40.34,HOLD
07-21-2022,28.91,44.28,HOLD
07-20-2022,28.57,42.74,HOLD
07-19-2022,28.50,42.44,HOLD
07-18-2022,27.42,37.71,HOLD
07-15-2022,25.82,29.78,BUY
07-14-2022,25.09,25.78,BUY
07-13-2022,26.44,28.57,BUY
07-12-2022,26.30,27.82,BUY
07-11-2022,26.91,29.06,BUY
07-08-2022,28.00,31.39,HOLD
07-07-2022,29.22,34.24,HOLD
07-06-2022,27.38,24.66,BUY
07-05-2022,27.26,23.99,BUY
07-01-2022,29.20,27.69,BUY
06-30-2022,29.26,27.81,BUY
06-29-2022,30.29,29.94,BUY
06-28-2022,30.78,30.98,HOLD
06-27-2022,31.02,31.48,HOLD
06-24-2022,30.99,31.35,HOLD
06-23-2022,29.57,25.19,BUY
06-22-2022,31.32,28.07,BUY
06-21-2022,34.03,33.60,HOLD
06-17-2022,33.82,32.65,HOLD
06-16-2022,34.87,34.98,HOLD
06-15-2022,36.90,40.13,HOLD
06-14-2022,36.82,39.81,HOLD
06-13-2022,37.17,40.70,HOLD
06-10-2022,40.21,49.73,HOLD
06-09-2022,40.52,50.80,HOLD
06-08-2022,42.20,56.95,HOLD
06-07-2022,43.39,61.87,HOLD
06-06-2022,42.78,60.24,HOLD
06-03-2022,41.33,56.07,HOLD
06-02-2022,41.72,57.58,HOLD
06-01-2022,39.64,51.07,HOLD
05-31-2022,39.08,49.12,HOLD
05-27-2022,39.65,51.05,HOLD
05-26-2022,38.49,47.13,HOLD
05-25-2022,37.83,44.80,HOLD
05-24-2022,37.48,43.58,HOLD
05-23-2022,38.35,45.93,HOLD
