Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,248.57,42.01,HOLD,-0.91,40.22,31.78
01-11-2024,250.85,44.67,HOLD,0.02,41.51,30.73
01-10-2024,250.81,44.61,HOLD,1.44,41.48,30.49
01-09-2024,247.25,39.44,HOLD,-0.54,39.48,31.00
01-08-2024,248.59,40.77,HOLD,0.72,40.23,31.02
01-05-2024,246.81,38.20,HOLD,0.62,39.23,32.86
01-04-2024,245.29,35.99,HOLD,-0.95,38.37,35.31
01-03-2024,247.64,37.94,HOLD,-1.82,39.70,36.48
01-02-2024,252.24,42.06,HOLD,-0.29,42.29,42.29
12-29-2023,252.97,42.75,HOLD,-0.24,42.70,0.00
12-28-2023,253.58,43.29,HOLD,1.05,43.05,0.00
12-27-2023,250.94,40.22,HOLD,-0.42,41.56,0.00
12-26-2023,251.99,41.04,HOLD,1.60,42.15,0.00
12-22-2023,248.03,36.50,HOLD,0.27,39.92,0.00
12-21-2023,247.36,35.72,HOLD,0.45,39.54,0.00
12-20-2023,246.25,34.48,HOLD,-12.05,38.91,0.00
12-19-2023,280.00,75.38,SELL,-0.68,57.95,0.00
12-18-2023,281.92,80.42,SELL,0.22,59.03,0.00
12-15-2023,281.29,80.01,SELL,0.65,58.68,0.00
12-14-2023,279.46,78.82,SELL,2.06,57.65,0.00
12-13-2023,273.83,74.49,SELL,0.30,54.47,0.00
12-12-2023,273.01,73.77,HOLD,0.60,54.01,0.00
12-11-2023,271.38,72.32,HOLD,-0.30,53.09,0.00
12-08-2023,272.21,74.26,SELL,1.71,53.56,0.00
12-07-2023,267.63,70.15,HOLD,0.16,50.97,0.00
12-06-2023,267.21,69.74,HOLD,0.42,50.74,0.00
12-05-2023,266.08,68.66,HOLD,0.18,50.10,0.00
12-04-2023,265.60,68.21,HOLD,0.45,49.83,0.00
12-01-2023,264.42,67.14,HOLD,2.16,49.16,0.00
11-30-2023,258.83,61.42,HOLD,1.93,46.01,0.00
11-29-2023,253.93,55.05,HOLD,0.21,43.24,0.00
11-28-2023,253.41,54.31,HOLD,-0.07,42.95,0.00
11-27-2023,253.60,54.62,HOLD,-1.56,43.06,0.00
11-24-2023,257.61,61.40,HOLD,0.45,45.32,0.00
11-22-2023,256.46,60.08,HOLD,0.23,44.67,0.00
11-21-2023,255.86,59.41,HOLD,0.13,44.33,0.00
11-20-2023,255.54,59.07,HOLD,-0.16,44.15,0.00
11-17-2023,255.95,59.66,HOLD,0.40,44.38,0.00
11-16-2023,254.94,58.71,HOLD,-0.96,43.81,0.00
