Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,23.15,48.45,HOLD,-0.22,8.38,1.05
01-11-2024,23.20,49.22,HOLD,-0.77,8.61,1.67
01-10-2024,23.38,51.99,HOLD,0.21,9.46,4.19
01-09-2024,23.33,51.28,HOLD,-1.27,9.22,5.23
01-08-2024,23.63,55.86,HOLD,1.46,10.63,8.00
01-05-2024,23.29,51.29,HOLD,-0.26,9.04,6.25
01-04-2024,23.35,52.17,HOLD,-0.17,9.32,8.91
01-03-2024,23.39,52.74,HOLD,-2.54,9.50,8.09
01-02-2024,24.00,62.28,HOLD,-0.33,12.36,12.36
12-29-2023,24.08,63.69,HOLD,-1.51,12.73,0.00
12-28-2023,24.45,70.51,HOLD,-0.29,14.47,0.00
12-27-2023,24.52,71.86,HOLD,0.12,14.79,0.00
12-26-2023,24.49,71.65,HOLD,1.28,14.65,0.00
12-22-2023,24.18,69.39,HOLD,0.67,13.20,0.00
12-21-2023,24.02,68.17,HOLD,1.56,12.45,0.00
12-20-2023,23.65,65.20,HOLD,-1.62,10.72,0.00
12-19-2023,24.04,71.75,HOLD,2.08,12.55,0.00
12-18-2023,23.55,68.00,HOLD,-0.21,10.25,0.00
12-15-2023,23.60,68.87,HOLD,-2.03,10.49,0.00
12-14-2023,24.09,77.90,SELL,2.99,12.78,0.00
12-13-2023,23.39,73.24,HOLD,3.86,9.50,0.00
12-12-2023,22.52,64.66,HOLD,-0.44,5.43,0.00
12-11-2023,22.62,66.95,HOLD,0.00,5.90,0.00
12-08-2023,22.62,66.95,HOLD,0.58,5.90,0.00
12-07-2023,22.49,65.58,HOLD,1.12,5.29,0.00
12-06-2023,22.24,62.83,HOLD,-0.18,4.12,0.00
12-05-2023,22.28,63.59,HOLD,-1.55,4.31,0.00
12-04-2023,22.63,70.46,HOLD,1.12,5.95,0.00
12-01-2023,22.38,68.18,HOLD,3.28,4.78,0.00
11-30-2023,21.67,60.04,HOLD,0.28,1.45,0.00
11-29-2023,21.61,59.22,HOLD,0.70,1.17,0.00
11-28-2023,21.46,57.19,HOLD,-0.33,0.47,0.00
11-27-2023,21.53,58.45,HOLD,-0.37,0.80,0.00
11-24-2023,21.61,59.86,HOLD,0.61,1.17,0.00
11-22-2023,21.48,58.35,HOLD,0.66,0.56,0.00
11-21-2023,21.34,56.72,HOLD,-1.39,-0.09,0.00
11-20-2023,21.64,61.50,HOLD,0.28,1.31,0.00
11-17-2023,21.58,60.89,HOLD,1.55,1.03,0.00
11-16-2023,21.25,57.43,HOLD,-1.67,-0.51,0.00
11-15-2023,21.61,63.08,HOLD,0.23,1.17,0.00
11-14-2023,21.56,62.61,HOLD,5.74,0.94,0.00
11-13-2023,20.39,48.12,HOLD,-0.10,-4.54,0.00
11-10-2023,20.41,48.42,HOLD,0.94,-4.45,0.00
11-09-2023,20.22,45.44,HOLD,-1.56,-5.34,0.00
11-08-2023,20.54,49.95,HOLD,-1.01,-3.84,0.00
11-07-2023,20.75,53.16,HOLD,-0.81,-2.86,0.00
11-06-2023,20.92,55.87,HOLD,-1.37,-2.06,0.00
11-03-2023,21.21,60.76,HOLD,2.66,-0.70,0.00
11-02-2023,20.66,53.60,HOLD,3.30,-3.28,0.00
11-01-2023,20.00,41.77,HOLD,0.60,-6.37,0.00
10-31-2023,19.88,39.14,HOLD,0.81,-6.93,0.00
10-30-2023,19.72,35.55,HOLD,0.82,-7.68,0.00
10-27-2023,19.56,31.82,HOLD,-1.36,-8.43,0.00
10-26-2023,19.83,35.00,HOLD,0.81,-7.16,0.00
10-25-2023,19.67,31.21,HOLD,-1.26,-7.91,0.00
10-24-2023,19.92,34.09,HOLD,0.45,-6.74,0.00
10-23-2023,19.83,31.99,HOLD,-0.95,-7.16,0.00
10-20-2023,20.02,34.12,HOLD,-1.23,-6.27,0.00
10-19-2023,20.27,37.14,HOLD,-1.41,-5.10,0.00
10-18-2023,20.56,41.05,HOLD,-2.05,-3.75,0.00
