Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,43.98,71.71,HOLD,1.57,18.70,-1.15
01-26-2023,43.30,70.12,HOLD,6.36,16.87,-2.83
01-25-2023,40.71,62.70,HOLD,3.43,9.88,-10.86
01-24-2023,39.36,57.61,HOLD,1.13,6.23,-15.30
01-23-2023,38.92,55.78,HOLD,3.40,5.05,-9.84
01-20-2023,37.64,49.95,HOLD,1.07,1.59,-12.75
01-19-2023,37.24,47.96,HOLD,-3.05,0.51,-15.77
01-18-2023,38.41,53.77,HOLD,-0.13,3.67,-11.11
01-17-2023,38.46,54.03,HOLD,-1.86,3.81,-11.34
01-13-2023,39.19,57.81,HOLD,-0.56,5.78,-9.37
01-12-2023,39.41,58.97,HOLD,-1.28,6.37,-8.82
01-11-2023,39.92,61.62,HOLD,0.28,7.75,-5.76
01-10-2023,39.81,61.27,HOLD,2.29,7.45,-5.17
01-09-2023,38.92,58.43,HOLD,-1.74,5.05,-7.44
01-06-2023,39.61,61.69,HOLD,3.66,6.91,-6.16
01-05-2023,38.21,57.20,HOLD,-0.57,3.13,-9.69
01-04-2023,38.43,58.19,HOLD,3.72,3.72,-10.98
01-03-2023,37.05,53.47,HOLD,-1.96,0.00,-17.23
12-30-2022,37.79,56.66,HOLD,1.45,,0.00
12-29-2022,37.25,54.83,HOLD,2.48,,0.00
12-28-2022,36.35,51.69,HOLD,-1.76,,0.00
12-27-2022,37.00,54.22,HOLD,4.52,,0.00
12-23-2022,35.40,48.45,HOLD,1.78,,0.00
12-22-2022,34.78,46.00,HOLD,-3.39,,0.00
12-21-2022,36.00,50.38,HOLD,9.66,,0.00
12-20-2022,32.83,35.60,HOLD,-2.93,,0.00
12-19-2022,33.82,38.97,HOLD,-1.08,,0.00
12-16-2022,34.19,40.29,HOLD,-2.34,,0.00
12-15-2022,35.01,43.31,HOLD,-3.85,,0.00
12-14-2022,36.41,49.15,HOLD,-1.11,,0.00
12-13-2022,36.82,51.03,HOLD,-1.94,,0.00
12-12-2022,37.55,54.46,HOLD,-1.00,,0.00
12-09-2022,37.93,56.28,HOLD,-2.84,,0.00
12-08-2022,39.04,61.92,HOLD,0.41,,0.00
12-07-2022,38.88,61.41,HOLD,1.07,,0.00
12-06-2022,38.47,60.12,HOLD,-1.84,,0.00
12-05-2022,39.19,63.58,HOLD,-2.12,,0.00
12-02-2022,40.04,67.87,HOLD,2.22,,0.00
12-01-2022,39.17,65.67,HOLD,-1.58,,0.00
11-30-2022,39.80,68.84,HOLD,0.30,,0.00
11-29-2022,39.68,68.58,HOLD,2.66,,0.00
11-28-2022,38.65,66.26,HOLD,-0.69,,0.00
11-25-2022,38.92,67.47,HOLD,3.70,,0.00
11-23-2022,37.53,64.35,HOLD,3.96,,0.00
11-22-2022,36.10,60.77,HOLD,-2.80,,0.00
11-21-2022,37.14,65.20,HOLD,3.51,,0.00
11-18-2022,35.88,62.09,HOLD,8.73,,0.00
11-17-2022,33.00,53.21,HOLD,5.00,,0.00
11-16-2022,31.43,46.92,HOLD,-7.04,,0.00
11-15-2022,33.81,57.87,HOLD,4.00,,0.00
11-14-2022,32.51,52.21,HOLD,-2.34,,0.00
11-11-2022,33.29,56.44,HOLD,3.00,,0.00
11-10-2022,32.32,51.95,HOLD,8.02,,0.00
11-09-2022,29.92,37.04,HOLD,-3.17,,0.00
11-08-2022,30.90,41.98,HOLD,-1.21,,0.00
11-07-2022,31.28,44.10,HOLD,-1.54,,0.00
11-04-2022,31.77,46.93,HOLD,1.50,,0.00
11-03-2022,31.30,43.71,HOLD,-0.57,,0.00
11-02-2022,31.48,44.67,HOLD,-2.24,,0.00
11-01-2022,32.20,48.66,HOLD,1.58,,0.00
10-31-2022,31.70,45.53,HOLD,0.92,,0.00
