Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,189.70,60.42,HOLD,0.02,44.92,35.86
01-11-2024,189.67,60.35,HOLD,0.01,44.90,36.81
01-10-2024,189.66,60.32,HOLD,0.75,44.89,37.66
01-09-2024,188.24,56.98,HOLD,0.10,43.80,39.04
01-08-2024,188.06,56.55,HOLD,2.20,43.67,40.30
01-05-2024,184.01,45.06,HOLD,0.10,40.57,38.15
01-04-2024,183.83,44.46,HOLD,-0.56,40.44,41.54
01-03-2024,184.87,47.25,HOLD,-1.17,41.23,40.25
01-02-2024,187.06,53.88,HOLD,-1.63,42.90,42.90
12-29-2023,190.15,66.02,HOLD,-0.55,45.26,0.00
12-28-2023,191.21,71.12,HOLD,-0.02,46.07,0.00
12-27-2023,191.25,71.32,HOLD,0.17,46.10,0.00
12-26-2023,190.92,70.71,HOLD,-0.12,45.85,0.00
12-22-2023,191.14,71.65,HOLD,0.19,46.02,0.00
12-21-2023,190.77,71.05,HOLD,1.26,45.74,0.00
12-20-2023,188.40,66.86,HOLD,-1.51,43.93,0.00
12-19-2023,191.28,79.90,SELL,0.67,46.13,0.00
12-18-2023,190.01,78.16,SELL,0.62,45.16,0.00
12-15-2023,188.84,76.41,SELL,0.35,44.26,0.00
12-14-2023,188.18,75.37,SELL,0.19,43.76,0.00
12-13-2023,187.82,74.81,SELL,1.38,43.48,0.00
12-12-2023,185.27,70.38,HOLD,0.71,41.54,0.00
12-11-2023,183.97,67.69,HOLD,0.20,40.54,0.00
12-08-2023,183.60,66.90,HOLD,0.44,40.26,0.00
12-07-2023,182.79,65.15,HOLD,1.38,39.64,0.00
12-06-2023,180.31,59.02,HOLD,-0.58,37.75,0.00
12-05-2023,181.37,63.45,HOLD,0.32,38.56,0.00
12-04-2023,180.80,62.03,HOLD,-0.83,38.12,0.00
12-01-2023,182.31,68.60,HOLD,0.56,39.27,0.00
11-30-2023,181.29,66.37,HOLD,-0.21,38.50,0.00
11-29-2023,181.68,68.09,HOLD,-0.16,38.79,0.00
11-28-2023,181.97,69.33,HOLD,0.28,39.01,0.00
11-27-2023,181.46,68.39,HOLD,-0.07,38.62,0.00
11-24-2023,181.59,68.89,HOLD,-0.10,38.72,0.00
11-22-2023,181.78,69.58,HOLD,0.46,38.87,0.00
11-21-2023,180.94,68.27,HOLD,-0.59,38.23,0.00
11-20-2023,182.02,71.96,HOLD,1.13,39.05,0.00
11-17-2023,179.99,69.04,HOLD,0.09,37.50,0.00
11-16-2023,179.83,68.80,HOLD,0.08,37.38,0.00
11-15-2023,179.69,68.61,HOLD,0.09,37.27,0.00
11-14-2023,179.52,68.38,HOLD,2.38,37.14,0.00
11-13-2023,175.35,62.26,HOLD,-0.22,33.96,0.00
11-10-2023,175.73,63.30,HOLD,2.07,34.25,0.00
11-09-2023,172.17,57.07,HOLD,-0.93,31.53,0.00
11-08-2023,173.79,61.48,HOLD,0.07,32.77,0.00
11-07-2023,173.66,61.25,HOLD,0.89,32.67,0.00
11-06-2023,172.12,58.62,HOLD,0.30,31.49,0.00
11-03-2023,171.60,57.72,HOLD,1.38,31.09,0.00
11-02-2023,169.26,53.49,HOLD,1.79,29.30,0.00
11-01-2023,166.29,47.26,HOLD,1.64,27.04,0.00
10-31-2023,163.61,40.61,HOLD,0.49,24.99,0.00
10-30-2023,162.82,38.48,HOLD,1.16,24.39,0.00
10-27-2023,160.95,33.23,HOLD,0.38,22.96,0.00
10-26-2023,160.34,31.46,HOLD,-1.76,22.49,0.00
10-25-2023,163.21,35.58,HOLD,-2.42,24.68,0.00
10-24-2023,167.25,42.95,HOLD,0.99,27.77,0.00
10-23-2023,165.61,38.12,HOLD,0.27,26.52,0.00
10-20-2023,165.16,36.76,HOLD,-1.53,26.17,0.00
10-19-2023,167.73,41.62,HOLD,-0.96,28.14,0.00
10-18-2023,169.36,45.14,HOLD,-1.62,29.38,0.00
10-17-2023,172.15,52.15,HOLD,-0.25,31.51,0.00
10-16-2023,172.59,53.36,HOLD,1.21,31.85,0.00
10-13-2023,170.52,48.08,HOLD,-1.23,30.27,0.00
10-12-2023,172.65,53.91,HOLD,-0.63,31.89,0.00
10-11-2023,173.74,57.20,HOLD,0.71,32.73,0.00
10-10-2023,172.51,54.28,HOLD,0.58,31.79,0.00
10-09-2023,171.51,51.79,HOLD,0.40,31.02,0.00
10-06-2023,170.83,50.07,HOLD,1.61,30.50,0.00
10-05-2023,168.13,42.53,HOLD,-0.12,28.44,0.00
10-04-2023,168.34,43.00,HOLD,1.36,28.60,0.00
10-03-2023,166.08,35.93,HOLD,-1.85,26.88,0.00
10-02-2023,169.21,42.74,HOLD,0.69,29.27,0.00
09-29-2023,168.05,38.75,HOLD,0.14,28.38,0.00
09-28-2023,167.82,37.95,HOLD,0.83,28.20,0.00
09-27-2023,166.44,33.10,HOLD,0.23,27.15,0.00
09-26-2023,166.05,31.70,HOLD,-1.55,26.85,0.00
09-25-2023,168.67,36.47,HOLD,0.46,28.85,0.00
09-22-2023,167.89,33.71,HOLD,-0.10,28.26,0.00
09-21-2023,168.05,33.99,HOLD,-1.81,28.38,0.00
09-20-2023,171.14,39.96,HOLD,-1.51,30.74,0.00
09-19-2023,173.77,46.39,HOLD,-0.22,32.75,0.00
09-18-2023,174.15,47.42,HOLD,0.02,33.04,0.00
09-15-2023,174.12,47.33,HOLD,-1.57,33.02,0.00
09-14-2023,176.90,55.01,HOLD,0.82,35.14,0.00
09-13-2023,175.46,51.20,HOLD,0.30,34.04,0.00
09-12-2023,174.94,49.78,HOLD,-1.04,33.64,0.00
09-11-2023,176.77,55.02,HOLD,1.14,35.04,0.00
09-08-2023,174.77,49.63,HOLD,0.10,33.51,0.00
09-07-2023,174.60,49.15,HOLD,-0.84,33.38,0.00
09-06-2023,176.08,53.26,HOLD,-1.05,34.51,0.00
09-05-2023,177.94,59.03,HOLD,-0.05,35.94,0.00
09-01-2023,178.03,59.32,HOLD,0.01,36.00,0.00
08-31-2023,178.01,59.27,HOLD,0.17,35.99,0.00
08-30-2023,177.71,58.69,HOLD,0.58,35.76,0.00
08-29-2023,176.68,56.73,HOLD,1.99,34.97,0.00
08-28-2023,173.23,49.21,HOLD,0.76,32.34,0.00
08-25-2023,171.93,45.92,HOLD,0.81,31.34,0.00
08-24-2023,170.55,42.23,HOLD,-1.94,30.29,0.00
08-23-2023,173.93,49.98,HOLD,1.61,32.87,0.00
08-22-2023,171.18,41.93,HOLD,-0.11,30.77,0.00
08-21-2023,171.36,42.35,HOLD,1.55,30.91,0.00
