Date,Price,RSI,STATUS
11-17-2022,39.63,51.41,HOLD
11-16-2022,39.85,52.46,HOLD
11-15-2022,40.37,54.97,HOLD
11-14-2022,40.35,54.89,HOLD
11-11-2022,42.53,66.39,HOLD
11-10-2022,40.83,60.38,HOLD
11-09-2022,38.70,49.97,HOLD
11-08-2022,39.69,56.36,HOLD
11-07-2022,39.62,55.99,HOLD
11-04-2022,39.50,55.39,HOLD
11-03-2022,38.42,49.64,HOLD
11-02-2022,38.99,52.99,HOLD
11-01-2022,40.14,60.65,HOLD
10-31-2022,39.38,56.82,HOLD
10-28-2022,39.82,59.95,HOLD
10-27-2022,39.00,55.72,HOLD
10-26-2022,38.34,51.93,HOLD
10-25-2022,38.09,50.44,HOLD
10-24-2022,37.02,43.45,HOLD
10-21-2022,36.48,39.46,HOLD
10-20-2022,36.60,40.04,HOLD
10-19-2022,36.90,41.46,HOLD
10-18-2022,38.34,49.28,HOLD
10-17-2022,38.25,48.72,HOLD
10-14-2022,37.91,46.65,HOLD
10-13-2022,38.87,52.17,HOLD
10-12-2022,38.24,48.45,HOLD
10-11-2022,38.24,48.45,HOLD
10-10-2022,38.66,50.72,HOLD
10-07-2022,38.57,50.26,HOLD
10-06-2022,39.49,55.18,HOLD
10-05-2022,39.12,53.48,HOLD
10-04-2022,39.36,54.73,HOLD
10-03-2022,37.40,44.97,HOLD
09-30-2022,36.20,37.27,HOLD
09-29-2022,36.26,37.52,HOLD
09-28-2022,36.25,37.45,HOLD
09-27-2022,34.76,27.27,BUY
09-26-2022,34.95,27.81,BUY
09-23-2022,36.51,32.71,HOLD
09-22-2022,37.40,36.08,HOLD
09-21-2022,39.67,47.72,HOLD
09-20-2022,39.88,49.08,HOLD
09-19-2022,40.56,53.68,HOLD
09-16-2022,40.13,50.98,HOLD
09-15-2022,39.80,48.86,HOLD
09-14-2022,39.56,47.32,HOLD
09-13-2022,40.73,54.79,HOLD
09-12-2022,42.04,65.55,HOLD
09-09-2022,41.77,64.21,HOLD
09-08-2022,40.48,56.70,HOLD
09-07-2022,40.00,53.32,HOLD
09-06-2022,39.31,47.89,HOLD
09-02-2022,39.64,50.50,HOLD
09-01-2022,39.44,48.93,HOLD
08-31-2022,39.10,46.24,HOLD
08-30-2022,39.64,50.13,HOLD
08-29-2022,39.79,51.24,HOLD
08-26-2022,40.27,54.86,HOLD
08-25-2022,40.83,59.39,HOLD
08-24-2022,39.39,49.40,HOLD
08-23-2022,39.72,52.13,HOLD
08-22-2022,39.88,53.46,HOLD
08-19-2022,40.78,61.68,HOLD
08-18-2022,41.13,65.31,HOLD
08-17-2022,40.58,62.05,HOLD
08-16-2022,40.82,64.50,HOLD
08-15-2022,40.74,64.06,HOLD
08-12-2022,41.00,66.55,HOLD
08-11-2022,40.33,63.12,HOLD
08-10-2022,39.80,60.12,HOLD
08-09-2022,38.70,52.71,HOLD
08-08-2022,38.42,50.54,HOLD
08-05-2022,38.72,52.96,HOLD
08-04-2022,38.69,52.75,HOLD
08-03-2022,38.17,49.09,HOLD
08-02-2022,38.93,54.86,HOLD
08-01-2022,39.58,60.51,HOLD
07-29-2022,39.96,64.09,HOLD
07-28-2022,39.38,60.80,HOLD
07-27-2022,39.00,58.49,HOLD
07-26-2022,38.10,52.30,HOLD
07-25-2022,38.22,53.28,HOLD
07-22-2022,37.89,50.92,HOLD
07-21-2022,38.20,53.27,HOLD
07-20-2022,37.85,50.90,HOLD
07-19-2022,37.89,51.17,HOLD
07-18-2022,36.64,42.08,HOLD
07-15-2022,36.71,42.49,HOLD
07-14-2022,36.23,38.67,HOLD
07-13-2022,37.09,43.47,HOLD
07-12-2022,37.77,47.84,HOLD
07-11-2022,37.38,44.89,HOLD
07-08-2022,37.12,42.90,HOLD
07-07-2022,37.46,44.87,HOLD
07-06-2022,36.99,41.41,HOLD
07-05-2022,37.78,45.91,HOLD
07-01-2022,37.69,45.28,HOLD
06-30-2022,36.96,40.03,HOLD
06-29-2022,36.81,38.91,HOLD
06-28-2022,36.83,39.00,HOLD
06-27-2022,37.35,41.31,HOLD
06-24-2022,37.59,42.38,HOLD
06-23-2022,36.12,32.38,HOLD
06-22-2022,35.94,31.02,HOLD
06-21-2022,36.01,31.25,HOLD
06-17-2022,35.10,24.58,BUY
06-16-2022,34.83,22.50,BUY
06-15-2022,36.74,27.46,BUY
06-14-2022,37.38,29.48,BUY
06-13-2022,37.13,27.54,BUY
06-10-2022,38.95,33.80,HOLD
06-09-2022,40.81,43.10,HOLD
06-08-2022,41.91,50.76,HOLD
06-07-2022,42.61,56.73,HOLD
06-06-2022,42.41,55.34,HOLD
06-03-2022,42.31,54.66,HOLD
06-02-2022,42.51,56.24,HOLD
06-01-2022,42.32,55.09,HOLD
05-31-2022,42.30,54.98,HOLD
05-27-2022,42.29,54.92,HOLD
05-26-2022,41.61,51.25,HOLD
05-25-2022,40.73,45.95,HOLD
05-24-2022,40.45,44.16,HOLD
05-23-2022,40.61,44.95,HOLD
05-20-2022,40.04,41.48,HOLD
05-19-2022,40.39,43.02,HOLD
05-18-2022,40.93,45.45,HOLD
05-17-2022,42.25,52.12,HOLD
05-16-2022,40.96,44.76,HOLD
05-13-2022,40.84,44.02,HOLD
05-12-2022,39.68,36.33,HOLD
05-11-2022,39.71,36.45,HOLD
05-10-2022,39.65,36.06,HOLD
05-09-2022,40.37,38.73,HOLD
05-06-2022,40.74,40.14,HOLD
05-05-2022,40.80,40.37,HOLD
05-04-2022,42.52,47.36,HOLD
05-03-2022,40.90,37.96,HOLD
05-02-2022,39.88,30.73,HOLD
04-29-2022,39.82,30.29,HOLD
04-28-2022,40.77,33.44,HOLD
04-27-2022,39.68,25.15,BUY
04-26-2022,40.16,26.50,BUY
04-25-2022,40.96,28.90,BUY
04-22-2022,40.83,27.91,BUY
04-21-2022,41.89,31.18,HOLD
04-20-2022,43.08,35.52,HOLD
04-19-2022,42.57,31.74,HOLD
04-18-2022,41.99,27.24,BUY
04-14-2022,42.20,27.86,BUY
04-13-2022,42.73,29.42,BUY
04-12-2022,42.56,28.22,BUY
04-11-2022,43.49,30.89,HOLD
04-08-2022,42.94,27.11,BUY
04-07-2022,44.15,30.52,HOLD
04-06-2022,45.31,34.38,HOLD
04-05-2022,45.58,35.34,HOLD
04-04-2022,46.41,38.42,HOLD
04-01-2022,46.96,40.60,HOLD
03-31-2022,48.84,49.50,HOLD
03-30-2022,49.79,55.18,HOLD
03-29-2022,50.28,58.39,HOLD
03-28-2022,49.72,55.65,HOLD
03-25-2022,50.35,59.76,HOLD
03-24-2022,49.61,56.24,HOLD
03-23-2022,49.20,54.17,HOLD
03-22-2022,50.02,59.37,HOLD
03-21-2022,49.81,58.42,HOLD
03-18-2022,49.93,59.15,HOLD
03-17-2022,49.21,56.09,HOLD
03-16-2022,49.38,57.02,HOLD
03-15-2022,48.40,52.80,HOLD
03-14-2022,47.96,50.78,HOLD
03-11-2022,46.98,46.00,HOLD
03-10-2022,46.77,44.93,HOLD
03-09-2022,46.44,43.30,HOLD
03-08-2022,45.60,39.04,HOLD
03-07-2022,44.90,35.27,HOLD
03-04-2022,47.00,42.61,HOLD
03-03-2022,47.75,45.76,HOLD
03-02-2022,47.67,45.36,HOLD
03-01-2022,46.34,38.33,HOLD
02-28-2022,47.64,43.40,HOLD
02-25-2022,47.71,43.69,HOLD
02-24-2022,45.38,29.09,BUY
02-23-2022,45.48,29.39,BUY
02-22-2022,46.66,33.19,HOLD
02-18-2022,47.75,37.32,HOLD
02-17-2022,47.23,33.66,HOLD
02-16-2022,48.69,39.71,HOLD
02-15-2022,48.72,39.84,HOLD
02-14-2022,47.80,33.31,HOLD
02-11-2022,48.60,36.51,HOLD
02-10-2022,49.30,39.61,HOLD
02-09-2022,51.14,49.93,HOLD
02-08-2022,50.92,48.44,HOLD
02-07-2022,50.05,42.10,HOLD
02-04-2022,50.29,43.47,HOLD
02-03-2022,50.65,45.53,HOLD
02-02-2022,50.95,47.27,HOLD
02-01-2022,50.81,46.38,HOLD
01-31-2022,50.35,43.49,HOLD
01-28-2022,49.78,39.75,HOLD
01-27-2022,49.02,34.36,HOLD
01-26-2022,49.40,35.85,HOLD
01-25-2022,50.07,38.58,HOLD
01-24-2022,50.31,39.59,HOLD
01-21-2022,50.00,37.64,HOLD
01-20-2022,51.14,42.29,HOLD
01-19-2022,52.76,50.53,HOLD
01-18-2022,54.21,60.30,HOLD
01-14-2022,55.87,75.88,SELL
01-13-2022,55.86,75.85,SELL
01-12-2022,55.31,73.92,SELL
01-11-2022,54.86,72.23,SELL
01-10-2022,53.57,66.47,HOLD
01-07-2022,53.26,64.84,HOLD
01-06-2022,53.11,64.05,HOLD
01-05-2022,52.22,59.02,HOLD
01-04-2022,52.32,59.89,HOLD
01-03-2022,51.42,54.21,HOLD
12-31-2021,52.18,60.98,HOLD
12-30-2021,52.01,59.94,HOLD
12-29-2021,52.12,60.92,HOLD
12-28-2021,51.66,58.29,HOLD
12-27-2021,51.58,57.83,HOLD
12-23-2021,50.90,53.81,HOLD
12-22-2021,50.76,52.96,HOLD
12-21-2021,50.19,49.42,HOLD
12-20-2021,49.04,41.11,HOLD
12-17-2021,50.35,49.75,HOLD
12-16-2021,50.93,54.46,HOLD
12-15-2021,51.05,55.47,HOLD
12-14-2021,50.50,51.66,HOLD
12-13-2021,50.40,50.95,HOLD
12-10-2021,50.31,50.34,HOLD
12-09-2021,50.43,51.13,HOLD
12-08-2021,51.14,55.92,HOLD
12-07-2021,50.93,54.75,HOLD
12-06-2021,50.21,50.60,HOLD
12-03-2021,49.52,46.20,HOLD
12-02-2021,50.50,52.34,HOLD
12-01-2021,49.26,43.52,HOLD
11-30-2021,48.91,40.65,HOLD
11-29-2021,49.95,47.30,HOLD
11-26-2021,50.84,54.37,HOLD
11-24-2021,52.62,75.27,SELL
11-23-2021,52.47,74.50,SELL
11-22-2021,52.35,73.90,SELL
11-19-2021,52.22,73.26,SELL
11-18-2021,51.35,68.51,HOLD
11-17-2021,51.25,67.90,HOLD
11-16-2021,51.40,69.78,HOLD
11-15-2021,51.07,67.97,HOLD
11-12-2021,51.07,67.97,HOLD
11-11-2021,50.87,66.93,HOLD
11-10-2021,51.08,69.11,HOLD
11-09-2021,50.72,67.42,HOLD
11-08-2021,50.66,67.14,HOLD
11-05-2021,49.83,63.10,HOLD
11-04-2021,48.28,53.08,HOLD
11-03-2021,47.82,49.29,HOLD
11-02-2021,48.25,53.01,HOLD
11-01-2021,48.07,51.59,HOLD
10-29-2021,47.91,50.35,HOLD
10-28-2021,47.86,49.98,HOLD
10-27-2021,46.93,42.56,HOLD
10-26-2021,48.84,59.35,HOLD
10-25-2021,49.77,72.24,SELL
10-22-2021,49.64,71.43,SELL
10-21-2021,49.61,71.25,SELL
10-20-2021,49.86,74.88,SELL
10-19-2021,49.34,72.14,SELL
10-18-2021,49.27,71.76,SELL
10-15-2021,49.12,70.96,SELL
10-14-2021,48.96,70.12,SELL
10-13-2021,47.76,62.64,HOLD
10-12-2021,47.17,57.81,HOLD
10-11-2021,46.75,53.87,HOLD
10-08-2021,46.79,54.32,HOLD
10-07-2021,46.99,56.50,HOLD
10-06-2021,46.05,47.24,HOLD
10-05-2021,45.95,46.11,HOLD
10-04-2021,45.79,44.33,HOLD
10-01-2021,45.67,43.03,HOLD
09-30-2021,45.34,39.39,HOLD
09-29-2021,45.90,43.79,HOLD
09-28-2021,45.84,43.16,HOLD
09-27-2021,46.35,47.37,HOLD
09-24-2021,46.02,44.10,HOLD
09-23-2021,45.99,43.80,HOLD
09-22-2021,45.43,38.14,HOLD
09-21-2021,44.76,30.35,HOLD
09-20-2021,44.79,30.51,HOLD
09-17-2021,46.08,38.63,HOLD
09-16-2021,46.26,40.01,HOLD
09-15-2021,46.56,42.35,HOLD
09-14-2021,46.37,40.30,HOLD
09-13-2021,46.87,44.14,HOLD
09-10-2021,46.47,39.88,HOLD
09-09-2021,46.90,43.17,HOLD
09-08-2021,47.43,47.66,HOLD
09-07-2021,47.07,43.98,HOLD
09-03-2021,48.08,53.84,HOLD
09-02-2021,48.43,58.02,HOLD
09-01-2021,48.57,59.74,HOLD
08-31-2021,48.83,62.97,HOLD
08-30-2021,48.97,64.72,HOLD
08-27-2021,49.05,65.68,HOLD
08-26-2021,48.58,62.64,HOLD
08-25-2021,49.00,67.62,HOLD
08-24-2021,48.70,65.82,HOLD
08-23-2021,48.80,66.97,HOLD
08-20-2021,48.53,65.45,HOLD
08-19-2021,48.34,64.38,HOLD
08-18-2021,48.74,68.53,HOLD
08-17-2021,48.59,67.81,HOLD
08-16-2021,48.84,70.31,SELL
08-13-2021,49.06,72.49,SELL
08-12-2021,48.84,71.68,SELL
08-11-2021,48.85,71.77,SELL
08-10-2021,48.11,69.10,HOLD
08-09-2021,47.27,65.69,HOLD
08-06-2021,46.80,63.60,HOLD
08-05-2021,46.36,61.57,HOLD
08-04-2021,45.06,54.61,HOLD
08-03-2021,43.74,45.27,HOLD
08-02-2021,44.12,47.90,HOLD
07-30-2021,44.61,51.49,HOLD
07-29-2021,44.98,54.35,HOLD
07-28-2021,44.96,54.22,HOLD
07-27-2021,45.09,55.15,HOLD
07-26-2021,44.91,54.14,HOLD
07-23-2021,44.74,53.21,HOLD
07-22-2021,44.02,49.19,HOLD
07-21-2021,43.70,47.31,HOLD
07-20-2021,43.48,46.04,HOLD
07-19-2021,42.48,39.94,HOLD
07-16-2021,43.95,47.23,HOLD
07-15-2021,43.96,47.29,HOLD
07-14-2021,43.55,44.86,HOLD
07-13-2021,43.46,44.34,HOLD
07-12-2021,44.74,50.68,HOLD
07-09-2021,44.20,47.75,HOLD
07-08-2021,42.21,34.45,HOLD
07-07-2021,43.65,41.56,HOLD
07-06-2021,43.36,39.22,HOLD
07-02-2021,43.77,41.40,HOLD
07-01-2021,44.13,43.37,HOLD
06-30-2021,43.46,38.30,HOLD
06-29-2021,43.98,40.94,HOLD
06-28-2021,43.85,39.98,HOLD
06-25-2021,44.74,44.59,HOLD
06-24-2021,43.99,39.09,HOLD
06-23-2021,43.38,34.17,HOLD
06-22-2021,44.05,37.24,HOLD
06-21-2021,44.65,40.25,HOLD
06-18-2021,43.49,30.10,HOLD
06-17-2021,45.13,38.74,HOLD
06-16-2021,46.08,45.81,HOLD
06-15-2021,46.79,52.45,HOLD
06-14-2021,46.93,53.88,HOLD
06-11-2021,47.19,56.53,HOLD
06-10-2021,47.05,55.43,HOLD
06-09-2021,47.35,58.37,HOLD
06-08-2021,47.78,62.80,HOLD
06-07-2021,46.98,57.19,HOLD
06-04-2021,47.09,58.31,HOLD
06-03-2021,46.90,56.96,HOLD
06-02-2021,46.87,56.75,HOLD
06-01-2021,47.48,62.40,HOLD
05-28-2021,46.99,59.38,HOLD
05-27-2021,46.62,56.96,HOLD
05-26-2021,46.48,56.04,HOLD
05-25-2021,46.15,53.89,HOLD
05-24-2021,47.05,61.53,HOLD
05-21-2021,46.72,59.58,HOLD
05-20-2021,47.24,64.36,HOLD
05-19-2021,46.26,58.54,HOLD
05-18-2021,45.96,56.52,HOLD
05-17-2021,46.75,64.16,HOLD
05-14-2021,47.02,67.03,HOLD
05-13-2021,45.87,59.93,HOLD
05-12-2021,45.04,53.17,HOLD
05-11-2021,46.07,66.00,HOLD
05-10-2021,46.38,70.77,SELL
05-07-2021,46.19,69.52,HOLD
05-06-2021,46.22,69.96,HOLD
05-05-2021,45.80,67.27,HOLD
05-04-2021,45.97,69.61,HOLD
05-03-2021,46.18,72.52,SELL
04-30-2021,45.62,69.35,HOLD
04-29-2021,45.91,73.42,SELL
04-28-2021,45.92,73.55,SELL
04-27-2021,45.67,72.35,SELL
04-26-2021,45.34,70.71,SELL
04-23-2021,45.10,69.49,HOLD
04-22-2021,44.72,67.50,HOLD
04-21-2021,44.47,66.15,HOLD
04-20-2021,43.97,63.32,HOLD
04-19-2021,44.72,71.66,SELL
04-16-2021,44.63,71.24,SELL
04-15-2021,44.68,71.79,SELL
04-14-2021,44.36,70.43,SELL
04-13-2021,43.95,68.62,HOLD
04-12-2021,44.15,70.57,SELL
04-09-2021,43.66,68.54,HOLD
04-08-2021,43.29,66.94,HOLD
04-07-2021,43.11,66.16,HOLD
04-06-2021,42.64,64.12,HOLD
04-05-2021,41.73,59.74,HOLD
04-01-2021,41.28,57.36,HOLD
03-31-2021,40.66,53.86,HOLD
03-30-2021,40.86,55.21,HOLD
03-29-2021,41.02,56.27,HOLD
03-26-2021,40.98,56.07,HOLD
03-25-2021,40.19,52.17,HOLD
03-24-2021,38.84,44.31,HOLD
03-23-2021,38.81,44.13,HOLD
03-22-2021,39.03,45.17,HOLD
03-19-2021,39.34,46.62,HOLD
03-18-2021,41.08,55.95,HOLD
03-17-2021,42.16,63.24,HOLD
03-16-2021,41.99,62.53,HOLD
03-15-2021,42.31,64.73,HOLD
03-12-2021,41.77,62.67,HOLD
03-11-2021,41.00,59.55,HOLD
03-10-2021,40.50,57.40,HOLD
03-09-2021,39.70,53.75,HOLD
03-08-2021,38.38,46.76,HOLD
03-05-2021,37.48,41.13,HOLD
03-04-2021,37.23,39.47,HOLD
03-03-2021,38.82,47.31,HOLD
03-02-2021,39.30,50.10,HOLD
03-01-2021,39.66,52.25,HOLD
02-26-2021,38.28,43.66,HOLD
02-25-2021,38.62,45.54,HOLD
02-24-2021,41.31,66.50,HOLD
02-23-2021,40.79,63.48,HOLD
02-22-2021,40.67,62.76,HOLD
02-19-2021,40.47,61.59,HOLD
02-18-2021,39.62,56.16,HOLD
02-17-2021,39.54,55.61,HOLD
02-16-2021,39.52,55.48,HOLD
02-12-2021,39.63,56.32,HOLD
02-11-2021,39.96,58.79,HOLD
02-10-2021,39.04,53.50,HOLD
02-09-2021,38.90,52.64,HOLD
02-08-2021,39.07,53.76,HOLD
