Date,Price,RSI,STATUS
01-09-2023,102.90,47.67,HOLD
01-06-2023,104.24,51.15,HOLD
01-05-2023,102.72,47.08,HOLD
01-04-2023,105.06,53.45,HOLD
01-03-2023,102.66,46.56,HOLD
12-30-2022,101.04,41.10,HOLD
12-29-2022,102.23,44.18,HOLD
12-28-2022,100.67,38.57,HOLD
12-27-2022,102.52,43.37,HOLD
12-23-2022,102.34,42.73,HOLD
12-22-2022,101.25,38.82,HOLD
12-21-2022,101.76,40.00,HOLD
12-20-2022,100.88,36.91,HOLD
12-19-2022,101.35,37.88,HOLD
12-16-2022,102.53,40.35,HOLD
12-15-2022,104.49,44.85,HOLD
12-14-2022,108.78,58.00,HOLD
12-13-2022,108.55,57.38,HOLD
12-12-2022,107.65,54.95,HOLD
12-09-2022,107.65,54.95,HOLD
12-08-2022,107.71,55.13,HOLD
12-07-2022,107.19,53.92,HOLD
12-06-2022,106.73,52.87,HOLD
12-05-2022,107.01,53.56,HOLD
12-02-2022,109.44,59.85,HOLD
12-01-2022,109.02,59.08,HOLD
11-30-2022,111.10,64.81,HOLD
11-29-2022,110.06,63.15,HOLD
11-28-2022,107.67,59.03,HOLD
11-25-2022,110.25,66.48,HOLD
11-23-2022,109.53,65.35,HOLD
11-22-2022,110.06,66.89,HOLD
11-21-2022,107.97,63.75,HOLD
11-18-2022,108.41,64.96,HOLD
11-17-2022,107.59,63.77,HOLD
11-16-2022,106.08,61.55,HOLD
11-15-2022,107.74,65.66,HOLD
11-14-2022,105.48,62.49,HOLD
11-11-2022,107.77,68.43,HOLD
11-10-2022,107.07,67.56,HOLD
11-09-2022,100.95,58.13,HOLD
11-08-2022,103.51,65.53,HOLD
11-07-2022,103.92,66.79,HOLD
11-04-2022,105.09,70.39,SELL
11-03-2022,99.41,60.89,HOLD
11-02-2022,99.17,60.39,HOLD
11-01-2022,100.80,65.67,HOLD
10-31-2022,98.98,62.25,HOLD
10-28-2022,98.87,62.04,HOLD
10-27-2022,96.77,57.83,HOLD
10-26-2022,95.74,55.59,HOLD
10-25-2022,96.65,58.13,HOLD
10-24-2022,92.90,49.29,HOLD
10-21-2022,92.27,47.56,HOLD
10-20-2022,90.55,42.60,HOLD
10-19-2022,91.23,44.13,HOLD
10-18-2022,93.08,48.54,HOLD
10-17-2022,91.77,44.92,HOLD
10-14-2022,89.17,36.73,HOLD
10-13-2022,90.82,40.26,HOLD
10-12-2022,90.40,38.87,HOLD
10-11-2022,90.76,39.60,HOLD
10-10-2022,89.19,34.61,HOLD
10-07-2022,90.55,37.07,HOLD
10-06-2022,91.94,39.76,HOLD
10-05-2022,93.06,42.04,HOLD
10-04-2022,93.55,43.05,HOLD
10-03-2022,91.09,35.92,HOLD
09-30-2022,90.12,32.84,HOLD
09-29-2022,88.79,28.47,BUY
09-28-2022,90.82,31.36,HOLD
