Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,171.01,65.05,HOLD,7.44,17.18,2023
01-09-2023,159.17,55.93,HOLD,1.51,9.07,2023
01-06-2023,156.80,53.68,HOLD,7.80,7.44,2023
01-05-2023,145.46,40.11,HOLD,-0.90,-0.33,2023
01-04-2023,146.78,41.42,HOLD,0.58,0.58,2023
01-03-2023,145.94,40.27,HOLD,-2.57,0.00,2023
12-30-2022,149.79,43.96,HOLD,0.68,,2022
12-29-2022,148.78,42.68,HOLD,1.79,,2022
12-28-2022,146.17,39.36,HOLD,-2.70,,2022
12-27-2022,150.22,42.94,HOLD,-4.17,,2022
12-23-2022,156.75,49.71,HOLD,-0.09,,2022
12-22-2022,156.89,49.87,HOLD,-3.19,,2022
12-21-2022,162.06,55.91,HOLD,3.49,,2022
12-20-2022,156.59,49.95,HOLD,-0.11,,2022
12-19-2022,156.77,50.16,HOLD,1.09,,2022
12-16-2022,155.08,48.29,HOLD,-2.72,,2022
12-15-2022,159.41,53.02,HOLD,-0.42,,2022
12-14-2022,160.09,53.79,HOLD,1.92,,2022
12-13-2022,157.08,50.86,HOLD,4.52,,2022
12-12-2022,150.28,43.35,HOLD,-0.45,,2022
12-09-2022,150.96,43.97,HOLD,-1.15,,2022
12-08-2022,152.71,45.54,HOLD,-1.31,,2022
12-07-2022,154.74,47.36,HOLD,-1.73,,2022
12-06-2022,157.47,49.84,HOLD,-5.79,,2022
12-05-2022,167.14,60.25,HOLD,-0.70,,2022
12-02-2022,168.32,61.71,HOLD,-0.13,,2022
12-01-2022,168.54,61.97,HOLD,-2.31,,2022
11-30-2022,172.53,66.70,HOLD,6.63,,2022
11-29-2022,161.81,58.87,HOLD,-2.30,,2022
11-28-2022,165.62,63.82,HOLD,-3.39,,2022
11-25-2022,171.43,72.46,SELL,1.16,,2022
11-23-2022,169.47,71.25,SELL,1.08,,2022
11-22-2022,167.66,70.11,SELL,1.37,,2022
11-21-2022,165.39,68.67,HOLD,-0.73,,2022
11-18-2022,166.60,70.35,SELL,0.98,,2022
11-17-2022,164.98,69.42,HOLD,4.04,,2022
11-16-2022,158.58,65.45,HOLD,-0.66,,2022
11-15-2022,159.63,66.77,HOLD,3.91,,2022
11-14-2022,153.63,62.78,HOLD,2.13,,2022
11-11-2022,150.42,60.43,HOLD,-4.20,,2022
11-10-2022,157.02,68.74,HOLD,3.88,,2022
11-09-2022,151.16,64.74,HOLD,2.65,,2022
11-08-2022,147.26,61.71,HOLD,0.01,,2022
11-07-2022,147.25,61.71,HOLD,-4.15,,2022
11-04-2022,153.62,70.19,SELL,-2.61,,2022
11-03-2022,157.73,76.50,SELL,5.10,,2022
11-02-2022,150.07,72.17,SELL,1.01,,2022
11-01-2022,148.57,71.21,SELL,2.06,,2022
10-31-2022,145.57,69.23,HOLD,9.72,,2022
10-28-2022,132.67,57.59,HOLD,1.14,,2022
10-27-2022,131.18,55.80,HOLD,-0.17,,2022
10-26-2022,131.40,56.13,HOLD,3.34,,2022
10-25-2022,127.15,51.00,HOLD,2.07,,2022
10-24-2022,124.57,47.55,HOLD,1.61,,2022
10-21-2022,122.60,44.79,HOLD,3.27,,2022
10-20-2022,118.72,38.91,HOLD,-1.24,,2022
10-19-2022,120.21,40.45,HOLD,-0.91,,2022
10-18-2022,121.31,41.57,HOLD,2.56,,2022
10-17-2022,118.28,37.10,HOLD,-4.12,,2022
10-14-2022,123.36,42.12,HOLD,-2.51,,2022
10-13-2022,126.54,45.71,HOLD,-0.27,,2022
10-12-2022,126.88,46.10,HOLD,-3.38,,2022
10-11-2022,131.32,51.43,HOLD,0.20,,2022
10-10-2022,131.06,51.13,HOLD,1.27,,2022
10-07-2022,129.42,49.25,HOLD,-2.00,,2022
10-06-2022,132.06,52.25,HOLD,-1.88,,2022
10-05-2022,134.59,55.25,HOLD,-5.92,,2022
10-04-2022,143.06,67.27,HOLD,4.71,,2022
10-03-2022,136.62,61.33,HOLD,3.29,,2022
09-30-2022,132.27,56.37,HOLD,1.02,,2022
09-29-2022,130.93,54.71,HOLD,-3.86,,2022
09-28-2022,136.19,63.53,HOLD,2.93,,2022
09-27-2022,132.31,59.00,HOLD,3.20,,2022
09-26-2022,128.21,53.31,HOLD,-1.26,,2022
09-23-2022,129.85,56.21,HOLD,-1.46,,2022
09-22-2022,131.77,59.74,HOLD,-2.80,,2022
09-21-2022,135.57,67.53,HOLD,1.70,,2022
09-20-2022,133.31,65.01,HOLD,-2.72,,2022
09-19-2022,137.04,73.79,SELL,0.91,,2022
09-16-2022,135.81,72.66,SELL,2.87,,2022
09-15-2022,132.02,68.81,HOLD,-2.75,,2022
09-14-2022,135.76,79.00,SELL,-0.73,,2022
09-13-2022,136.76,82.02,SELL,-0.02,,2022
09-12-2022,136.79,82.11,SELL,0.71,,2022
09-09-2022,135.82,81.52,SELL,-1.24,,2022
09-08-2022,137.53,86.17,SELL,2.03,,2022
09-07-2022,134.80,84.89,SELL,5.64,,2022
09-06-2022,127.60,80.47,SELL,0.94,,2022
