Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,63.88,57.23,HOLD,-0.03,4.40,-5.14
01-26-2023,63.90,57.37,HOLD,0.79,4.43,-6.17
01-25-2023,63.40,54.69,HOLD,-0.86,3.61,-8.10
01-24-2023,63.95,58.44,HOLD,-1.71,4.51,-9.60
01-23-2023,65.06,67.07,HOLD,1.21,6.32,-7.85
01-20-2023,64.28,63.56,HOLD,1.44,5.05,-10.39
01-19-2023,63.37,58.81,HOLD,-0.02,3.56,-12.22
01-18-2023,63.38,58.88,HOLD,-0.98,3.58,-12.20
01-17-2023,64.01,63.86,HOLD,0.28,4.61,-13.67
01-13-2023,63.83,63.03,HOLD,0.74,4.31,-14.51
01-12-2023,63.36,60.86,HOLD,-0.11,3.55,-17.79
01-11-2023,63.43,61.36,HOLD,0.87,3.66,-17.54
01-10-2023,62.88,58.89,HOLD,2.26,2.76,-17.11
01-09-2023,61.49,51.66,HOLD,0.20,0.49,-18.51
01-06-2023,61.37,50.96,HOLD,-0.26,0.29,-20.32
01-05-2023,61.53,51.88,HOLD,-0.98,0.56,-20.90
01-04-2023,62.14,55.42,HOLD,1.55,1.55,-22.15
01-03-2023,61.19,50.54,HOLD,-0.63,0.00,-25.26
12-30-2022,61.58,52.75,HOLD,-0.47,,0.00
12-29-2022,61.87,54.38,HOLD,2.33,,0.00
12-28-2022,60.46,46.96,HOLD,-0.56,,0.00
12-27-2022,60.80,48.73,HOLD,-0.13,,0.00
12-23-2022,60.88,49.14,HOLD,-0.51,,0.00
12-22-2022,61.19,50.66,HOLD,-0.13,,0.00
12-21-2022,61.27,51.04,HOLD,1.57,,0.00
12-20-2022,60.32,46.65,HOLD,0.18,,0.00
12-19-2022,60.21,46.13,HOLD,-1.12,,0.00
12-16-2022,60.89,48.86,HOLD,-1.76,,0.00
12-15-2022,61.98,53.57,HOLD,-2.32,,0.00
12-14-2022,63.45,60.94,HOLD,-0.74,,0.00
12-13-2022,63.92,63.53,HOLD,1.85,,0.00
12-12-2022,62.76,59.59,HOLD,1.19,,0.00
12-09-2022,62.02,56.83,HOLD,-1.08,,0.00
12-08-2022,62.70,60.35,HOLD,1.46,,0.00
12-07-2022,61.80,57.08,HOLD,0.96,,0.00
12-06-2022,61.21,54.81,HOLD,-1.27,,0.00
12-05-2022,62.00,58.67,HOLD,-1.98,,0.00
12-02-2022,63.25,65.43,HOLD,0.05,,0.00
12-01-2022,63.22,65.34,HOLD,1.36,,0.00
11-30-2022,62.37,62.82,HOLD,3.71,,0.00
11-29-2022,60.14,54.82,HOLD,-0.31,,0.00
11-28-2022,60.33,55.77,HOLD,-1.44,,0.00
11-25-2022,61.21,60.26,HOLD,0.69,,0.00
11-23-2022,60.79,58.79,HOLD,0.86,,0.00
11-22-2022,60.27,56.96,HOLD,1.01,,0.00
11-21-2022,59.67,54.81,HOLD,-0.35,,0.00
11-18-2022,59.88,55.72,HOLD,0.76,,0.00
11-17-2022,59.43,54.21,HOLD,-1.82,,0.00
11-16-2022,60.53,58.74,HOLD,-0.90,,0.00
11-15-2022,61.08,61.11,HOLD,1.75,,0.00
11-14-2022,60.03,58.12,HOLD,-1.49,,0.00
11-11-2022,60.94,61.96,HOLD,1.50,,0.00
11-10-2022,60.04,59.50,HOLD,7.04,,0.00
11-09-2022,56.09,45.03,HOLD,-1.82,,0.00
11-08-2022,57.13,49.34,HOLD,-0.03,,0.00
11-07-2022,57.15,49.42,HOLD,0.76,,0.00
11-04-2022,56.72,47.63,HOLD,2.36,,0.00
11-03-2022,55.41,41.80,HOLD,-1.51,,0.00
11-02-2022,56.26,44.81,HOLD,-3.37,,0.00
11-01-2022,58.22,52.95,HOLD,0.10,,0.00
10-31-2022,58.16,52.71,HOLD,0.43,,0.00
10-28-2022,57.91,51.74,HOLD,1.58,,0.00
10-27-2022,57.01,48.19,HOLD,-1.35,,0.00
