Date,Price,RSI,STATUS
01-09-2023,85.43,50.10,HOLD
01-06-2023,84.70,46.75,HOLD
01-05-2023,84.41,45.39,HOLD
01-04-2023,86.48,54.60,HOLD
01-03-2023,86.10,52.98,HOLD
12-30-2022,86.13,53.12,HOLD
12-29-2022,86.29,53.82,HOLD
12-28-2022,84.89,48.26,HOLD
12-27-2022,86.16,53.70,HOLD
12-23-2022,85.93,52.81,HOLD
12-22-2022,85.55,51.37,HOLD
12-21-2022,86.69,56.15,HOLD
12-20-2022,85.59,52.16,HOLD
12-19-2022,85.08,50.21,HOLD
12-16-2022,85.44,51.59,HOLD
12-15-2022,85.68,52.48,HOLD
12-14-2022,87.43,59.43,HOLD
12-13-2022,87.87,61.32,HOLD
12-12-2022,86.98,58.86,HOLD
12-09-2022,85.10,52.98,HOLD
12-08-2022,86.03,56.70,HOLD
12-07-2022,85.47,54.93,HOLD
12-06-2022,85.07,53.68,HOLD
12-05-2022,86.84,60.62,HOLD
12-02-2022,88.12,66.38,HOLD
12-01-2022,88.73,69.30,HOLD
11-30-2022,87.31,66.08,HOLD
11-29-2022,85.06,59.88,HOLD
11-28-2022,84.75,58.92,HOLD
11-25-2022,85.51,62.32,HOLD
11-23-2022,85.26,61.64,HOLD
11-22-2022,85.57,62.94,HOLD
11-21-2022,84.50,60.26,HOLD
11-18-2022,85.36,63.70,HOLD
11-17-2022,84.76,62.31,HOLD
11-16-2022,84.72,62.22,HOLD
11-15-2022,84.58,61.92,HOLD
11-14-2022,82.63,57.65,HOLD
11-11-2022,85.51,68.14,HOLD
11-10-2022,85.46,68.05,HOLD
11-09-2022,80.35,55.66,HOLD
11-08-2022,80.53,56.37,HOLD
11-07-2022,80.22,55.46,HOLD
11-04-2022,79.35,52.89,HOLD
11-03-2022,77.91,48.29,HOLD
11-02-2022,78.53,50.25,HOLD
11-01-2022,80.33,56.42,HOLD
10-31-2022,80.47,56.92,HOLD
10-28-2022,82.24,63.61,HOLD
10-27-2022,80.48,59.18,HOLD
10-26-2022,81.15,61.84,HOLD
10-25-2022,79.77,58.26,HOLD
10-24-2022,79.01,56.15,HOLD
10-21-2022,77.61,52.01,HOLD
10-20-2022,76.02,46.70,HOLD
10-19-2022,76.32,47.62,HOLD
10-18-2022,77.26,50.53,HOLD
10-17-2022,76.99,49.71,HOLD
10-14-2022,74.83,42.66,HOLD
10-13-2022,76.62,47.82,HOLD
10-12-2022,74.50,39.82,HOLD
10-11-2022,74.80,40.63,HOLD
10-10-2022,74.96,41.05,HOLD
10-07-2022,75.32,41.95,HOLD
10-06-2022,76.27,44.34,HOLD
10-05-2022,79.07,52.52,HOLD
10-04-2022,80.17,56.30,HOLD
10-03-2022,78.05,49.83,HOLD
09-30-2022,75.24,38.64,HOLD
09-29-2022,75.32,38.87,HOLD
09-28-2022,77.08,44.22,HOLD
09-27-2022,74.01,28.19,BUY
09-26-2022,74.86,30.44,HOLD
09-23-2022,74.82,30.20,HOLD
09-22-2022,75.69,32.49,HOLD
09-21-2022,76.41,34.51,HOLD
09-20-2022,77.17,36.75,HOLD
09-19-2022,78.30,40.36,HOLD
09-16-2022,78.26,40.16,HOLD
09-15-2022,77.80,38.02,HOLD
09-14-2022,78.59,40.32,HOLD
09-13-2022,78.89,41.20,HOLD
09-12-2022,81.82,51.38,HOLD
09-09-2022,80.62,46.34,HOLD
09-08-2022,78.73,36.75,HOLD
09-07-2022,78.81,37.01,HOLD
09-06-2022,77.37,28.56,BUY
09-02-2022,78.03,30.29,HOLD
09-01-2022,77.90,29.51,BUY
08-31-2022,79.20,32.93,HOLD
