Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,84.05,47.99,HOLD,-0.74,1.00,2023
01-09-2023,84.68,50.67,HOLD,-1.49,1.75,2023
01-06-2023,85.96,56.64,HOLD,1.84,3.29,2023
01-05-2023,84.41,50.02,HOLD,0.62,1.43,2023
01-04-2023,83.89,47.52,HOLD,0.81,0.81,2023
01-03-2023,83.22,44.19,HOLD,-0.75,0.00,2023
12-30-2022,83.85,46.78,HOLD,-0.63,,2022
12-29-2022,84.38,49.03,HOLD,-0.45,,2022
12-28-2022,84.76,50.65,HOLD,-1.37,,2022
12-27-2022,85.94,55.99,HOLD,0.62,,2022
12-23-2022,85.41,53.97,HOLD,0.28,,2022
12-22-2022,85.17,53.06,HOLD,-0.22,,2022
12-21-2022,85.36,53.84,HOLD,2.68,,2022
12-20-2022,83.13,45.03,HOLD,-4.58,,2022
12-19-2022,87.12,65.94,HOLD,0.22,,2022
12-16-2022,86.93,65.23,HOLD,-0.02,,2022
12-15-2022,86.95,65.36,HOLD,-0.44,,2022
12-14-2022,87.33,67.82,HOLD,0.41,,2022
12-13-2022,86.97,66.72,HOLD,0.15,,2022
12-12-2022,86.84,66.33,HOLD,1.16,,2022
12-09-2022,85.84,63.29,HOLD,-1.95,,2022
12-08-2022,87.55,73.88,SELL,0.38,,2022
12-07-2022,87.22,73.08,SELL,2.16,,2022
12-06-2022,85.38,67.94,HOLD,-1.07,,2022
12-05-2022,86.30,74.54,SELL,-0.25,,2022
12-02-2022,86.52,76.18,SELL,1.29,,2022
12-01-2022,85.42,73.47,SELL,0.14,,2022
11-30-2022,85.30,73.16,SELL,2.97,,2022
11-29-2022,82.84,65.48,HOLD,-0.11,,2022
11-28-2022,82.93,66.13,HOLD,-0.05,,2022
11-25-2022,82.97,66.40,HOLD,0.23,,2022
11-23-2022,82.78,65.78,HOLD,0.74,,2022
11-22-2022,82.17,63.81,HOLD,0.23,,2022
11-21-2022,81.98,63.20,HOLD,1.17,,2022
11-18-2022,81.03,60.06,HOLD,1.58,,2022
11-17-2022,79.77,55.37,HOLD,0.90,,2022
11-16-2022,79.06,52.46,HOLD,2.09,,2022
11-15-2022,77.44,44.80,HOLD,0.61,,2022
11-14-2022,76.97,42.30,HOLD,-0.36,,2022
11-11-2022,77.25,43.39,HOLD,-2.93,,2022
11-10-2022,79.58,54.15,HOLD,-0.95,,2022
11-09-2022,80.34,58.55,HOLD,0.98,,2022
11-08-2022,79.56,55.07,HOLD,0.47,,2022
11-07-2022,79.19,53.35,HOLD,0.16,,2022
11-04-2022,79.06,52.75,HOLD,0.19,,2022
11-03-2022,78.91,52.10,HOLD,-1.13,,2022
11-02-2022,79.81,56.43,HOLD,-0.60,,2022
11-01-2022,80.29,58.85,HOLD,-1.58,,2022
10-31-2022,81.58,65.91,HOLD,0.01,,2022
10-28-2022,81.57,65.88,HOLD,2.13,,2022
10-27-2022,79.87,60.49,HOLD,1.93,,2022
10-26-2022,78.36,54.58,HOLD,0.08,,2022
10-25-2022,78.30,54.33,HOLD,0.88,,2022
10-24-2022,77.62,51.49,HOLD,0.75,,2022
10-21-2022,77.04,48.98,HOLD,0.48,,2022
10-20-2022,76.67,47.37,HOLD,-1.87,,2022
10-19-2022,78.13,53.57,HOLD,-0.18,,2022
10-18-2022,78.27,54.20,HOLD,1.11,,2022
10-17-2022,77.41,50.90,HOLD,-0.39,,2022
10-14-2022,77.71,52.12,HOLD,-1.41,,2022
10-13-2022,78.82,56.79,HOLD,1.89,,2022
10-12-2022,77.36,51.48,HOLD,-0.04,,2022
10-11-2022,77.39,51.60,HOLD,1.28,,2022
10-10-2022,76.41,47.88,HOLD,1.41,,2022
10-07-2022,75.35,43.53,HOLD,0.51,,2022
10-06-2022,74.97,41.91,HOLD,-3.50,,2022
10-05-2022,77.69,51.75,HOLD,-1.03,,2022
10-04-2022,78.50,55.35,HOLD,0.03,,2022
10-03-2022,78.48,55.28,HOLD,2.44,,2022
09-30-2022,76.61,48.09,HOLD,-1.42,,2022
09-29-2022,77.71,52.72,HOLD,-1.37,,2022
09-28-2022,78.79,57.79,HOLD,1.05,,2022
09-27-2022,77.97,54.72,HOLD,-0.88,,2022
09-26-2022,78.66,58.01,HOLD,-0.64,,2022
09-23-2022,79.17,60.51,HOLD,-1.99,,2022
09-22-2022,80.78,69.28,HOLD,1.33,,2022
