Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,35.84,70.42,SELL,1.19,10.14,2023
01-09-2023,35.42,68.42,HOLD,0.11,8.85,2023
01-06-2023,35.38,68.23,HOLD,2.88,8.73,2023
01-05-2023,34.39,63.13,HOLD,0.82,5.69,2023
01-04-2023,34.11,61.51,HOLD,4.82,4.82,2023
01-03-2023,32.54,50.06,HOLD,1.88,0.00,2023
12-30-2022,31.94,44.17,HOLD,-0.13,,2022
12-29-2022,31.98,44.50,HOLD,1.78,,2022
12-28-2022,31.42,38.63,HOLD,-1.50,,2022
12-27-2022,31.90,42.18,HOLD,0.47,,2022
12-23-2022,31.75,40.60,HOLD,0.57,,2022
12-22-2022,31.57,38.73,HOLD,-1.44,,2022
12-21-2022,32.03,41.86,HOLD,1.52,,2022
12-20-2022,31.55,36.92,HOLD,-0.63,,2022
12-19-2022,31.75,38.18,HOLD,-1.70,,2022
12-16-2022,32.30,41.80,HOLD,-1.49,,2022
12-15-2022,32.79,45.36,HOLD,-2.79,,2022
12-14-2022,33.73,53.47,HOLD,-0.76,,2022
12-13-2022,33.99,56.05,HOLD,1.49,,2022
12-12-2022,33.49,51.91,HOLD,1.42,,2022
12-09-2022,33.02,47.61,HOLD,-0.90,,2022
12-08-2022,33.32,50.28,HOLD,0.60,,2022
12-07-2022,33.12,48.49,HOLD,-0.48,,2022
12-06-2022,33.28,49.82,HOLD,-0.66,,2022
12-05-2022,33.50,51.63,HOLD,-1.47,,2022
12-02-2022,34.00,55.91,HOLD,-0.70,,2022
12-01-2022,34.24,58.05,HOLD,0.32,,2022
11-30-2022,34.13,57.35,HOLD,2.16,,2022
11-29-2022,33.41,52.57,HOLD,0.91,,2022
11-28-2022,33.11,50.42,HOLD,-2.96,,2022
11-25-2022,34.12,58.75,HOLD,0.59,,2022
11-23-2022,33.92,57.46,HOLD,-0.18,,2022
11-22-2022,33.98,57.97,HOLD,0.95,,2022
11-21-2022,33.66,56.05,HOLD,-0.68,,2022
11-18-2022,33.89,57.81,HOLD,1.80,,2022
11-17-2022,33.29,54.33,HOLD,-0.57,,2022
11-16-2022,33.48,55.68,HOLD,-2.56,,2022
11-15-2022,34.36,62.33,HOLD,1.09,,2022
11-14-2022,33.99,60.49,HOLD,-1.36,,2022
11-11-2022,34.46,64.19,HOLD,1.65,,2022
11-10-2022,33.90,61.59,HOLD,5.74,,2022
11-09-2022,32.06,50.65,HOLD,-2.79,,2022
11-08-2022,32.98,58.37,HOLD,-0.30,,2022
11-07-2022,33.08,59.28,HOLD,0.58,,2022
11-04-2022,32.89,58.13,HOLD,3.17,,2022
11-03-2022,31.88,51.32,HOLD,0.41,,2022
11-02-2022,31.75,50.35,HOLD,-2.49,,2022
11-01-2022,32.56,56.88,HOLD,1.21,,2022
10-31-2022,32.17,54.23,HOLD,-0.98,,2022
10-28-2022,32.49,56.89,HOLD,1.18,,2022
10-27-2022,32.11,54.42,HOLD,-0.86,,2022
10-26-2022,32.39,56.64,HOLD,2.08,,2022
10-25-2022,31.73,52.39,HOLD,-1.86,,2022
10-24-2022,32.33,57.12,HOLD,0.43,,2022
10-21-2022,32.19,56.26,HOLD,4.17,,2022
10-20-2022,30.90,47.26,HOLD,-1.65,,2022
10-19-2022,31.42,51.21,HOLD,-0.25,,2022
10-18-2022,31.50,51.82,HOLD,0.77,,2022
10-17-2022,31.26,50.15,HOLD,3.51,,2022
10-14-2022,30.20,41.85,HOLD,-1.24,,2022
10-13-2022,30.58,44.30,HOLD,1.66,,2022
10-12-2022,30.08,40.00,HOLD,0.60,,2022
10-11-2022,29.90,38.41,HOLD,-0.76,,2022
10-10-2022,30.13,39.66,HOLD,-1.08,,2022
10-07-2022,30.46,41.45,HOLD,-3.27,,2022
10-06-2022,31.49,47.70,HOLD,0.54,,2022
10-05-2022,31.32,46.47,HOLD,-0.67,,2022
10-04-2022,31.53,47.76,HOLD,5.56,,2022
10-03-2022,29.87,34.32,HOLD,2.93,,2022
09-30-2022,29.02,25.16,BUY,-2.03,,2022
09-29-2022,29.62,27.69,BUY,-1.04,,2022
09-28-2022,29.93,29.10,BUY,1.46,,2022
09-27-2022,29.50,24.14,BUY,-1.30,,2022
09-26-2022,29.89,25.65,BUY,-1.39,,2022
09-23-2022,30.31,27.36,BUY,-1.33,,2022
09-22-2022,30.72,29.12,BUY,-1.09,,2022
09-21-2022,31.06,30.64,HOLD,-2.02,,2022
09-20-2022,31.70,33.71,HOLD,-2.07,,2022
09-19-2022,32.37,37.35,HOLD,0.97,,2022
09-16-2022,32.06,34.30,HOLD,-1.69,,2022
09-15-2022,32.61,37.29,HOLD,-0.94,,2022
09-14-2022,32.92,39.07,HOLD,0.00,,2022
