Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,99.37,63.30,HOLD,1.90,11.50,-22.97
01-26-2023,97.52,60.25,HOLD,2.42,9.43,-24.54
01-25-2023,95.22,56.03,HOLD,-2.54,6.84,-24.99
01-24-2023,97.70,62.69,HOLD,-2.09,9.63,-25.31
01-23-2023,99.79,69.12,HOLD,1.81,11.97,-23.45
01-20-2023,98.02,66.41,HOLD,5.34,9.99,-26.47
01-19-2023,93.05,56.44,HOLD,2.12,4.41,-31.13
01-18-2023,91.12,51.22,HOLD,-0.19,2.24,-33.00
01-17-2023,91.29,51.73,HOLD,-0.90,2.43,-34.55
01-13-2023,92.12,54.16,HOLD,1.09,3.37,-33.53
01-12-2023,91.13,51.64,HOLD,-0.43,2.26,-35.57
01-11-2023,91.52,52.70,HOLD,3.51,2.69,-34.51
01-10-2023,88.42,44.26,HOLD,0.45,-0.79,-36.24
01-09-2023,88.02,43.04,HOLD,0.78,-1.23,-35.76
01-06-2023,87.34,41.01,HOLD,1.32,-2.00,-36.59
01-05-2023,86.20,37.54,HOLD,-2.13,-3.28,-37.43
01-04-2023,88.08,41.26,HOLD,-1.17,-1.17,-39.00
01-03-2023,89.12,43.47,HOLD,1.01,0.00,-38.53
12-30-2022,88.23,40.95,HOLD,-0.25,,0.00
12-29-2022,88.45,41.38,HOLD,2.82,,0.00
12-28-2022,86.02,34.44,HOLD,-1.57,,0.00
12-27-2022,87.39,36.71,HOLD,-2.06,,0.00
12-23-2022,89.23,40.01,HOLD,1.68,,0.00
12-22-2022,87.76,35.73,HOLD,-2.03,,0.00
12-21-2022,89.58,38.92,HOLD,0.63,,0.00
12-20-2022,89.02,37.32,HOLD,0.66,,0.00
12-19-2022,88.44,35.70,HOLD,-2.02,,0.00
12-16-2022,90.26,38.61,HOLD,-0.66,,0.00
12-15-2022,90.86,39.60,HOLD,-4.43,,0.00
12-14-2022,95.07,47.51,HOLD,-0.59,,0.00
12-13-2022,95.63,48.71,HOLD,2.49,,0.00
12-12-2022,93.31,43.18,HOLD,0.52,,0.00
12-09-2022,92.83,41.98,HOLD,-0.94,,0.00
12-08-2022,93.71,43.55,HOLD,-1.30,,0.00
12-07-2022,94.94,45.77,HOLD,-2.10,,0.00
12-06-2022,96.98,49.67,HOLD,-2.51,,0.00
12-05-2022,99.48,55.00,HOLD,-0.96,,0.00
12-02-2022,100.44,57.19,HOLD,-0.54,,0.00
12-01-2022,100.99,58.43,HOLD,0.00,,0.00
11-30-2022,100.99,58.43,HOLD,6.09,,0.00
11-29-2022,95.19,48.24,HOLD,-0.90,,0.00
11-28-2022,96.05,49.93,HOLD,-1.45,,0.00
11-25-2022,97.46,52.73,HOLD,-1.02,,0.00
11-23-2022,98.46,54.75,HOLD,1.45,,0.00
11-22-2022,97.05,52.36,HOLD,1.52,,0.00
11-21-2022,95.60,49.82,HOLD,-1.88,,0.00
11-18-2022,97.43,53.14,HOLD,-0.95,,0.00
11-17-2022,98.36,54.86,HOLD,-0.50,,0.00
11-16-2022,98.85,55.74,HOLD,0.42,,0.00
11-15-2022,98.44,55.18,HOLD,2.86,,0.00
11-14-2022,95.70,51.36,HOLD,-0.74,,0.00
11-11-2022,96.41,52.43,HOLD,2.63,,0.00
11-10-2022,93.94,48.98,HOLD,7.58,,0.00
11-09-2022,87.32,37.72,HOLD,-1.78,,0.00
11-08-2022,88.90,39.66,HOLD,0.46,,0.00
11-07-2022,88.49,38.90,HOLD,2.21,,0.00
11-04-2022,86.58,35.40,HOLD,3.78,,0.00
11-03-2022,83.43,29.18,HOLD,-4.07,,0.00
11-02-2022,86.97,32.44,HOLD,-3.87,,0.00
11-01-2022,90.47,36.14,HOLD,-4.27,,0.00
10-31-2022,94.51,41.19,HOLD,-1.85,,0.00
10-28-2022,96.29,43.69,HOLD,4.41,,0.00
10-27-2022,92.22,35.37,HOLD,-2.85,,0.00
10-26-2022,94.93,38.93,HOLD,-9.14,,0.00
10-25-2022,104.48,57.99,HOLD,1.91,,0.00
10-24-2022,102.52,53.66,HOLD,1.37,,0.00
10-21-2022,101.13,50.29,HOLD,1.16,,0.00
10-20-2022,99.97,47.33,HOLD,0.34,,0.00
10-19-2022,99.63,46.46,HOLD,-1.13,,0.00
10-18-2022,100.77,48.97,HOLD,0.80,,0.00
10-17-2022,99.97,47.11,HOLD,3.53,,0.00
10-14-2022,96.56,38.14,HOLD,-2.52,,0.00
10-13-2022,99.06,43.11,HOLD,1.54,,0.00
10-12-2022,97.56,38.66,HOLD,0.39,,0.00
10-11-2022,97.18,37.50,HOLD,-0.69,,0.00
10-10-2022,97.86,38.71,HOLD,-0.83,,0.00
10-07-2022,98.68,40.16,HOLD,-2.70,,0.00
10-06-2022,101.42,45.44,HOLD,-0.01,,0.00
10-05-2022,101.43,45.46,HOLD,-0.21,,0.00
10-04-2022,101.64,45.86,HOLD,3.04,,0.00
10-03-2022,98.64,38.73,HOLD,3.13,,0.00
09-30-2022,95.65,30.24,HOLD,-1.82,,0.00
09-29-2022,97.42,32.74,HOLD,-2.63,,0.00
09-28-2022,100.05,36.94,HOLD,2.62,,0.00
09-27-2022,97.50,28.70,HOLD,-0.68,,0.00
09-26-2022,98.17,29.64,HOLD,-0.58,,0.00
09-23-2022,98.74,30.43,HOLD,-1.40,,0.00
09-22-2022,100.14,32.41,HOLD,0.87,,0.00
09-21-2022,99.28,29.81,HOLD,-1.84,,0.00
09-20-2022,101.14,32.30,HOLD,-1.87,,0.00
09-19-2022,103.07,35.14,HOLD,0.26,,0.00
09-16-2022,102.80,34.39,HOLD,-0.11,,0.00
09-15-2022,102.91,34.54,HOLD,-1.99,,0.00
09-14-2022,105.00,37.43,HOLD,0.65,,0.00
09-13-2022,104.32,35.81,HOLD,-5.90,,0.00
