Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,123.85,49.33,HOLD,0.54,32.36,26.11
01-11-2024,123.18,46.15,HOLD,-0.06,31.64,25.50
01-10-2024,123.25,46.44,HOLD,1.12,31.72,23.34
01-09-2024,121.88,39.73,HOLD,-0.93,30.26,23.21
01-08-2024,123.02,43.98,HOLD,0.14,31.47,25.24
01-05-2024,122.85,43.14,HOLD,-0.78,31.29,25.19
01-04-2024,123.81,46.84,HOLD,-0.27,32.32,29.89
01-03-2024,124.15,48.20,HOLD,-1.90,32.68,29.95
01-02-2024,126.56,59.56,HOLD,-1.54,35.26,35.26
12-29-2023,128.54,72.63,HOLD,-0.17,37.37,0.00
12-28-2023,128.76,74.32,SELL,0.07,37.61,0.00
12-27-2023,128.67,74.09,SELL,-0.19,37.51,0.00
12-26-2023,128.91,75.75,SELL,0.66,37.77,0.00
12-22-2023,128.06,73.82,HOLD,0.50,36.86,0.00
12-21-2023,127.42,72.27,HOLD,1.09,36.18,0.00
12-20-2023,126.05,68.58,HOLD,-0.78,34.71,0.00
12-19-2023,127.04,75.31,SELL,0.46,35.77,0.00
12-18-2023,126.46,73.91,HOLD,0.26,35.15,0.00
12-15-2023,126.13,73.11,HOLD,0.42,34.80,0.00
12-14-2023,125.60,71.82,HOLD,-1.02,34.23,0.00
12-13-2023,126.89,80.56,SELL,1.08,35.61,0.00
12-12-2023,125.53,77.93,SELL,0.26,34.16,0.00
12-11-2023,125.20,77.24,SELL,0.49,33.80,0.00
12-08-2023,124.59,75.94,SELL,0.16,33.15,0.00
12-07-2023,124.39,75.52,SELL,-0.55,32.94,0.00
12-06-2023,125.08,80.04,SELL,0.72,33.68,0.00
12-05-2023,124.18,78.48,SELL,0.00,32.71,0.00
12-04-2023,124.18,78.48,SELL,0.44,32.71,0.00
12-01-2023,123.64,77.57,SELL,1.15,32.14,0.00
11-30-2023,122.24,75.03,SELL,1.02,30.64,0.00
11-29-2023,121.00,72.47,HOLD,-0.32,29.31,0.00
11-28-2023,121.39,74.71,SELL,-0.07,29.73,0.00
11-27-2023,121.47,75.15,SELL,0.36,29.82,0.00
