Date,Price,RSI,STATUS
12-16-2022,34.95,52.31,HOLD
12-15-2022,35.63,57.69,HOLD
12-14-2022,35.92,60.14,HOLD
12-13-2022,36.15,62.08,HOLD
12-12-2022,35.71,59.77,HOLD
12-09-2022,35.97,61.84,HOLD
12-08-2022,36.60,67.04,HOLD
12-07-2022,36.88,69.46,HOLD
12-06-2022,37.92,79.30,SELL
12-05-2022,35.16,68.19,HOLD
12-02-2022,35.35,70.61,SELL
12-01-2022,35.03,68.88,HOLD
11-30-2022,34.59,66.36,HOLD
11-29-2022,34.36,64.97,HOLD
11-28-2022,33.76,61.11,HOLD
11-25-2022,33.99,63.61,HOLD
11-23-2022,33.69,61.71,HOLD
11-22-2022,33.85,63.34,HOLD
11-21-2022,33.44,60.88,HOLD
11-18-2022,32.89,57.30,HOLD
11-17-2022,32.59,55.22,HOLD
11-16-2022,32.59,55.25,HOLD
11-15-2022,31.98,51.04,HOLD
11-14-2022,32.23,52.90,HOLD
11-11-2022,31.28,45.87,HOLD
11-10-2022,33.15,63.09,HOLD
11-09-2022,32.11,54.23,HOLD
11-08-2022,31.91,52.20,HOLD
11-07-2022,31.63,49.27,HOLD
11-04-2022,32.67,62.62,HOLD
11-03-2022,32.52,61.22,HOLD
11-02-2022,32.80,65.45,HOLD
11-01-2022,33.14,70.98,SELL
10-31-2022,32.85,68.90,HOLD
10-28-2022,32.95,70.52,SELL
10-27-2022,32.40,66.50,HOLD
10-26-2022,32.38,66.27,HOLD
10-25-2022,31.93,62.65,HOLD
10-24-2022,31.45,58.21,HOLD
10-21-2022,31.56,59.72,HOLD
10-20-2022,30.76,51.04,HOLD
10-19-2022,31.01,54.40,HOLD
10-18-2022,30.95,53.72,HOLD
10-17-2022,31.00,54.35,HOLD
10-14-2022,30.41,47.66,HOLD
10-13-2022,30.35,46.93,HOLD
10-12-2022,30.08,43.50,HOLD
10-11-2022,30.14,44.06,HOLD
10-10-2022,29.90,41.21,HOLD
10-07-2022,29.82,40.27,HOLD
10-06-2022,29.71,39.03,HOLD
10-05-2022,30.12,42.07,HOLD
