Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,127.90,54.85,HOLD,-0.73,44.03,21.88
01-11-2024,128.84,58.01,HOLD,-0.27,45.09,24.39
01-10-2024,129.19,59.19,HOLD,0.48,45.48,26.01
01-09-2024,128.57,57.78,HOLD,-1.00,44.79,30.87
01-08-2024,129.87,61.95,HOLD,1.17,46.25,34.30
01-05-2024,128.37,58.76,HOLD,1.45,44.56,34.81
01-04-2024,126.53,54.41,HOLD,-0.81,42.49,37.56
01-03-2024,127.56,57.57,HOLD,-1.86,43.65,39.18
01-02-2024,129.98,65.91,HOLD,-0.33,46.37,46.37
12-29-2023,130.41,67.53,HOLD,-0.16,46.86,0.00
12-28-2023,130.62,68.29,HOLD,0.21,47.09,0.00
12-27-2023,130.35,67.86,HOLD,-0.56,46.79,0.00
12-26-2023,131.09,70.29,HOLD,0.46,47.62,0.00
12-22-2023,130.49,69.47,HOLD,0.35,46.95,0.00
12-21-2023,130.03,68.85,HOLD,2.34,46.43,0.00
12-20-2023,127.06,64.57,HOLD,-2.66,43.09,0.00
12-19-2023,130.53,75.88,SELL,-0.67,46.99,0.00
12-18-2023,131.41,79.15,SELL,0.59,47.98,0.00
12-15-2023,130.64,78.39,SELL,0.21,47.12,0.00
12-14-2023,130.37,78.13,SELL,2.07,46.81,0.00
12-13-2023,127.73,75.48,SELL,0.26,43.84,0.00
12-12-2023,127.40,75.12,SELL,-0.27,43.47,0.00
12-11-2023,127.74,76.17,SELL,4.16,43.85,0.00
12-08-2023,122.64,70.46,HOLD,1.51,38.11,0.00
12-07-2023,120.82,67.91,HOLD,2.29,36.06,0.00
12-06-2023,118.12,63.58,HOLD,0.96,33.02,0.00
12-05-2023,117.00,61.58,HOLD,-2.53,31.76,0.00
12-04-2023,120.04,71.45,HOLD,1.64,35.18,0.00
12-01-2023,118.10,68.46,HOLD,2.91,33.00,0.00
11-30-2023,114.76,62.10,HOLD,0.83,29.23,0.00
11-29-2023,113.81,59.97,HOLD,-0.33,28.16,0.00
11-28-2023,114.19,61.25,HOLD,-1.48,28.59,0.00
