Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,82.33,54.98,HOLD,0.00,0.00,0.00
08-22-2022,81.68,53.01,HOLD,0.00,0.00,0.00
08-19-2022,84.00,62.00,HOLD,0.00,0.00,0.00
08-18-2022,82.60,58.01,HOLD,0.00,0.00,0.00
08-17-2022,81.25,53.65,HOLD,0.00,0.00,0.00
08-16-2022,82.42,58.55,HOLD,0.00,0.00,0.00
08-15-2022,80.62,52.34,HOLD,0.00,0.00,0.00
08-12-2022,80.58,52.19,HOLD,0.00,0.00,0.00
08-11-2022,78.64,44.44,HOLD,0.00,0.00,0.00
08-10-2022,78.45,43.60,HOLD,0.00,0.00,0.00
08-09-2022,77.96,41.51,HOLD,0.00,0.00,0.00
08-08-2022,78.10,41.92,HOLD,0.00,0.00,0.00
08-05-2022,77.91,41.18,HOLD,0.00,0.00,0.00
08-04-2022,78.91,43.91,HOLD,0.00,0.00,0.00
08-03-2022,79.06,44.32,HOLD,0.00,0.00,0.00
08-02-2022,78.55,42.63,HOLD,0.00,0.00,0.00
08-01-2022,79.48,44.94,HOLD,0.00,0.00,0.00
07-29-2022,78.72,42.58,HOLD,0.00,0.00,0.00
07-28-2022,79.65,44.76,HOLD,0.00,0.00,0.00
07-27-2022,78.65,41.79,HOLD,0.00,0.00,0.00
07-26-2022,77.54,38.37,HOLD,0.00,0.00,0.00
07-25-2022,78.66,40.60,HOLD,0.00,0.00,0.00
07-22-2022,81.13,46.10,HOLD,0.00,0.00,0.00
07-21-2022,84.80,56.68,HOLD,0.00,0.00,0.00
07-20-2022,81.33,45.74,HOLD,0.00,0.00,0.00
07-19-2022,79.98,40.30,HOLD,0.00,0.00,0.00
07-18-2022,79.42,37.90,HOLD,0.00,0.00,0.00
07-15-2022,79.21,37.02,HOLD,0.00,0.00,0.00
07-14-2022,79.39,37.44,HOLD,0.00,0.00,0.00
07-13-2022,80.87,41.02,HOLD,0.00,0.00,0.00
07-12-2022,81.16,41.75,HOLD,0.00,0.00,0.00
07-11-2022,82.51,45.21,HOLD,0.00,0.00,0.00
07-08-2022,83.79,48.76,HOLD,0.00,0.00,0.00
07-07-2022,84.64,51.25,HOLD,0.00,0.00,0.00
07-06-2022,82.20,43.58,HOLD,0.00,0.00,0.00
07-05-2022,82.17,43.48,HOLD,0.00,0.00,0.00
07-01-2022,81.35,40.78,HOLD,0.00,0.00,0.00
06-30-2022,81.88,41.98,HOLD,0.00,0.00,0.00
06-29-2022,83.89,46.86,HOLD,0.00,0.00,0.00
06-28-2022,84.19,47.63,HOLD,0.00,0.00,0.00
06-27-2022,85.65,51.43,HOLD,0.00,0.00,0.00
06-24-2022,85.74,51.67,HOLD,0.00,0.00,0.00
06-23-2022,83.06,44.63,HOLD,0.00,0.00,0.00
06-22-2022,82.27,42.34,HOLD,0.00,0.00,0.00
06-21-2022,82.46,42.73,HOLD,0.00,0.00,0.00
06-17-2022,80.11,35.85,HOLD,0.00,0.00,0.00
06-16-2022,79.01,32.31,SELL,-12.01,0.00,-1078.00
06-15-2022,81.76,37.05,HOLD,-8.94,0.00,-803.00
06-14-2022,80.75,33.73,HOLD,-10.07,0.00,-904.00
06-13-2022,81.27,34.61,HOLD,-9.49,0.00,-852.00
06-10-2022,84.92,41.62,HOLD,-5.42,0.00,-487.00
06-09-2022,87.29,47.42,HOLD,-2.78,0.00,-250.00
06-08-2022,88.33,50.27,HOLD,-1.63,0.00,-146.00
06-07-2022,88.82,51.63,HOLD,-1.08,0.00,-97.00
06-06-2022,88.57,51.00,HOLD,-1.36,0.00,-122.00
06-03-2022,88.79,51.54,HOLD,-1.11,0.00,-100.00
06-02-2022,89.87,54.19,HOLD,0.09,8.00,0.00
06-01-2022,89.45,53.32,HOLD,-0.38,0.00,-34.00
05-31-2022,89.75,54.00,HOLD,-0.04,0.00,-4.00
05-27-2022,87.08,48.61,HOLD,-3.02,0.00,-271.00
05-26-2022,85.99,46.23,HOLD,-4.23,0.00,-380.00
05-25-2022,83.57,40.53,HOLD,-6.93,0.00,-622.00
05-24-2022,81.61,35.39,HOLD,-9.11,0.00,-818.00
05-23-2022,84.96,41.02,HOLD,-5.38,0.00,-483.00
05-20-2022,84.70,40.33,HOLD,-5.67,0.00,-509.00
05-19-2022,86.76,44.10,HOLD,-3.37,0.00,-303.00
05-18-2022,90.73,52.95,HOLD,1.05,94.00,0.00
05-17-2022,92.56,57.92,HOLD,3.08,277.00,0.00
05-16-2022,91.20,55.01,HOLD,1.57,141.00,0.00
05-13-2022,92.10,57.45,HOLD,2.57,231.00,0.00
05-12-2022,89.51,51.71,HOLD,-0.31,0.00,-28.00
05-11-2022,87.59,46.77,HOLD,-2.45,0.00,-220.00
05-10-2022,88.62,49.28,HOLD,-1.30,0.00,-117.00
05-09-2022,88.50,48.99,HOLD,-1.44,0.00,-129.00
05-06-2022,91.92,57.96,HOLD,2.37,213.00,0.00
05-05-2022,92.08,58.42,HOLD,2.55,229.00,0.00
05-04-2022,94.15,64.65,HOLD,4.86,436.00,0.00
05-03-2022,92.17,60.95,HOLD,2.65,238.00,0.00
05-02-2022,89.67,55.49,HOLD,-0.13,0.00,-12.00
04-29-2022,88.06,51.44,HOLD,-1.93,0.00,-173.00
04-28-2022,90.46,58.87,HOLD,0.75,67.00,0.00
04-27-2022,90.60,59.33,HOLD,0.90,81.00,0.00
04-26-2022,88.26,53.66,HOLD,-1.70,0.00,-153.00
04-25-2022,89.54,57.75,HOLD,-0.28,0.00,-25.00
04-22-2022,87.93,53.62,HOLD,-2.07,0.00,-186.00
04-21-2022,88.45,55.24,HOLD,-1.49,0.00,-134.00
04-20-2022,88.69,55.96,HOLD,-1.23,0.00,-110.00
04-19-2022,87.84,53.98,HOLD,-2.17,0.00,-195.00
04-18-2022,83.53,41.57,HOLD,-6.97,0.00,-626.00
04-14-2022,85.22,46.10,HOLD,-5.09,0.00,-457.00
04-13-2022,83.80,41.09,HOLD,-6.67,0.00,-599.00
04-12-2022,82.76,37.12,HOLD,-7.83,0.00,-703.00
04-11-2022,83.60,39.10,HOLD,-6.89,0.00,-619.00
04-08-2022,84.36,40.93,HOLD,-6.05,0.00,-543.00
04-07-2022,84.68,41.69,HOLD,-5.69,0.00,-511.00
04-06-2022,85.44,43.48,HOLD,-4.84,0.00,-435.00
04-05-2022,85.05,42.30,HOLD,-5.28,0.00,-474.00
04-04-2022,85.12,42.45,HOLD,-5.20,0.00,-467.00
04-01-2022,84.45,40.61,HOLD,-5.95,0.00,-534.00
03-31-2022,81.92,33.11,HOLD,-8.76,0.00,-787.00
03-30-2022,84.50,37.60,HOLD,-5.89,0.00,-529.00
03-29-2022,86.44,41.55,HOLD,-3.73,0.00,-335.00
03-28-2022,83.83,32.74,HOLD,-6.64,0.00,-596.00
03-25-2022,84.88,34.69,HOLD,-5.47,0.00,-491.00
03-24-2022,85.50,35.86,HOLD,-4.78,0.00,-429.00
03-23-2022,85.12,34.60,HOLD,-5.20,0.00,-467.00
03-22-2022,89.17,42.94,HOLD,-0.69,0.00,-62.00
03-21-2022,89.40,43.49,HOLD,-0.43,0.00,-39.00
03-18-2022,89.33,43.29,HOLD,-0.51,0.00,-46.00
03-17-2022,89.67,44.01,HOLD,-0.13,0.00,-12.00
03-16-2022,89.95,44.58,HOLD,0.18,16.00,0.00
03-15-2022,88.02,39.57,HOLD,-1.97,0.00,-177.00
03-14-2022,86.84,36.30,HOLD,-3.29,0.00,-295.00
03-11-2022,86.47,35.27,HOLD,-3.70,0.00,-332.00
03-10-2022,88.99,39.25,HOLD,-0.89,0.00,-80.00
03-09-2022,89.93,40.85,HOLD,0.16,14.00,0.00
03-08-2022,88.09,36.13,HOLD,-1.89,0.00,-170.00
03-07-2022,89.13,37.71,HOLD,-0.74,0.00,-66.00
03-04-2022,92.45,43.32,HOLD,2.96,266.00,0.00
