Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,306.73,48.33,HOLD,0.00,0.00,0.00
08-22-2022,312.21,53.56,HOLD,0.00,0.00,0.00
08-19-2022,321.32,64.31,HOLD,0.00,0.00,0.00
08-18-2022,325.21,69.87,HOLD,0.00,0.00,0.00
08-17-2022,325.76,70.68,HOLD,0.00,0.00,0.00
08-16-2022,327.38,72.97,HOLD,0.00,0.00,0.00
08-15-2022,314.61,64.56,HOLD,0.00,0.00,0.00
08-12-2022,314.89,64.97,HOLD,0.00,0.00,0.00
08-11-2022,310.69,61.55,HOLD,0.00,0.00,0.00
08-10-2022,311.58,62.76,HOLD,0.00,0.00,0.00
08-09-2022,305.21,57.20,HOLD,0.00,0.00,0.00
08-08-2022,311.97,67.07,HOLD,0.00,0.00,0.00
08-05-2022,309.69,65.18,HOLD,0.00,0.00,0.00
08-04-2022,307.17,63.02,HOLD,0.00,0.00,0.00
08-03-2022,306.37,62.32,HOLD,0.00,0.00,0.00
08-02-2022,300.71,57.05,HOLD,0.00,0.00,0.00
08-01-2022,305.82,64.64,HOLD,0.00,0.00,0.00
07-29-2022,300.94,59.91,HOLD,0.00,0.00,0.00
07-28-2022,299.63,58.52,HOLD,0.00,0.00,0.00
07-27-2022,298.91,57.78,HOLD,0.00,0.00,0.00
07-26-2022,298.18,57.06,HOLD,0.00,0.00,0.00
07-25-2022,306.15,69.07,HOLD,0.00,0.00,0.00
07-22-2022,306.59,69.83,HOLD,0.00,0.00,0.00
07-21-2022,305.00,68.68,HOLD,0.00,0.00,0.00
07-20-2022,302.30,66.68,HOLD,0.00,0.00,0.00
07-19-2022,299.83,64.77,HOLD,0.00,0.00,0.00
07-18-2022,293.05,58.75,HOLD,0.00,0.00,0.00
07-15-2022,292.41,58.13,HOLD,0.00,0.00,0.00
07-14-2022,289.48,55.23,HOLD,0.00,0.00,0.00
07-13-2022,287.18,52.85,HOLD,0.00,0.00,0.00
07-12-2022,285.12,50.68,HOLD,0.00,0.00,0.00
07-11-2022,286.39,52.05,HOLD,0.00,0.00,0.00
07-08-2022,286.47,52.14,HOLD,0.00,0.00,0.00
07-07-2022,286.69,52.35,HOLD,0.00,0.00,0.00
07-06-2022,283.58,49.65,HOLD,0.00,0.00,0.00
07-05-2022,283.73,49.78,HOLD,0.00,0.00,0.00
07-01-2022,279.08,45.82,HOLD,0.00,0.00,0.00
06-30-2022,274.27,41.38,HOLD,0.00,0.00,0.00
06-29-2022,273.87,41.00,HOLD,0.00,0.00,0.00
06-28-2022,270.15,37.57,HOLD,0.00,0.00,0.00
06-27-2022,282.69,45.94,HOLD,0.00,0.00,0.00
06-24-2022,283.00,46.18,HOLD,0.00,0.00,0.00
06-23-2022,275.42,39.06,HOLD,0.00,0.00,0.00
06-22-2022,268.98,31.97,HOLD,0.00,0.00,0.00
06-21-2022,269.20,32.09,HOLD,0.00,0.00,0.00
06-17-2022,270.73,32.88,SELL,-12.23,0.00,-3772.00
06-16-2022,273.46,34.27,HOLD,-11.34,0.00,-3499.00
06-15-2022,279.73,37.67,HOLD,-9.31,0.00,-2872.00
06-14-2022,278.67,36.68,HOLD,-9.65,0.00,-2978.00
06-13-2022,283.16,39.12,HOLD,-8.20,0.00,-2529.00
06-10-2022,289.24,42.68,HOLD,-6.23,0.00,-1921.00
06-09-2022,299.86,50.08,HOLD,-2.78,0.00,-859.00
06-08-2022,297.53,48.26,HOLD,-3.54,0.00,-1092.00
06-07-2022,301.77,51.44,HOLD,-2.17,0.00,-668.00
06-06-2022,303.89,53.06,HOLD,-1.48,0.00,-456.00
06-03-2022,305.08,53.95,HOLD,-1.09,0.00,-337.00
06-02-2022,305.87,54.51,HOLD,-0.84,0.00,-258.00
06-01-2022,297.19,49.10,HOLD,-3.65,0.00,-1126.00
05-31-2022,302.75,52.84,HOLD,-1.85,0.00,-570.00
05-27-2022,308.46,56.98,HOLD,0.00,1.00,0.00
05-26-2022,302.81,53.64,HOLD,-1.83,0.00,-564.00
05-25-2022,293.57,47.45,HOLD,-4.82,0.00,-1488.00
05-24-2022,287.92,43.14,HOLD,-6.66,0.00,-2053.00
05-23-2022,286.03,41.65,HOLD,-7.27,0.00,-2242.00
05-20-2022,287.19,42.28,HOLD,-6.89,0.00,-2126.00
05-19-2022,287.76,42.58,HOLD,-6.71,0.00,-2069.00
05-18-2022,285.18,40.85,HOLD,-7.54,0.00,-2327.00
05-17-2022,300.95,49.26,HOLD,-2.43,0.00,-750.00
05-16-2022,295.99,46.02,HOLD,-4.04,0.00,-1246.00
05-13-2022,296.03,46.04,HOLD,-4.03,0.00,-1242.00
05-12-2022,289.69,41.94,HOLD,-6.08,0.00,-1876.00
05-11-2022,282.96,37.24,HOLD,-8.26,0.00,-2549.00
05-10-2022,291.16,40.99,HOLD,-5.61,0.00,-1729.00
05-09-2022,297.03,43.94,HOLD,-3.70,0.00,-1142.00
05-06-2022,294.31,42.15,HOLD,-4.58,0.00,-1414.00
05-05-2022,299.11,44.47,HOLD,-3.03,0.00,-934.00
05-04-2022,315.31,53.76,HOLD,2.22,686.00,0.00
05-03-2022,304.96,47.22,HOLD,-1.13,0.00,-349.00
05-02-2022,306.97,48.46,HOLD,-0.48,0.00,-148.00
04-29-2022,300.40,44.01,HOLD,-2.61,0.00,-805.00
04-28-2022,311.76,51.09,HOLD,1.07,331.00,0.00
04-27-2022,301.60,43.55,HOLD,-2.22,0.00,-685.00
04-26-2022,299.96,42.21,HOLD,-2.75,0.00,-849.00
04-25-2022,304.94,45.23,HOLD,-1.14,0.00,-351.00
04-22-2022,300.11,41.46,HOLD,-2.70,0.00,-834.00
04-21-2022,310.36,47.97,HOLD,0.62,191.00,0.00
04-20-2022,315.14,51.46,HOLD,2.17,669.00,0.00
04-19-2022,307.80,45.83,HOLD,-0.21,0.00,-65.00
04-18-2022,300.21,39.04,HOLD,-2.67,0.00,-824.00
04-14-2022,304.52,41.81,HOLD,-1.27,0.00,-393.00
04-13-2022,310.42,45.94,HOLD,0.64,197.00,0.00
04-12-2022,306.29,42.23,HOLD,-0.70,0.00,-216.00
04-11-2022,306.72,42.51,HOLD,-0.56,0.00,-173.00
04-08-2022,311.11,45.38,HOLD,0.86,266.00,0.00
04-07-2022,302.75,37.96,HOLD,-1.85,0.00,-570.00
04-06-2022,298.54,33.76,HOLD,-3.21,0.00,-991.00
04-05-2022,304.86,37.28,HOLD,-1.16,0.00,-359.00
04-04-2022,305.58,37.70,HOLD,-0.93,0.00,-287.00
04-01-2022,301.89,34.20,HOLD,-2.13,0.00,-656.00
03-31-2022,299.33,31.73,HOLD,-2.96,0.00,-912.00
03-30-2022,308.46,36.23,HOLD,0.00,1.00,0.00
03-29-2022,317.71,41.82,HOLD,3.00,926.00,0.00
03-28-2022,314.28,38.56,HOLD,1.89,583.00,0.00
03-25-2022,310.68,35.01,HOLD,0.72,223.00,0.00
03-24-2022,315.78,37.89,HOLD,2.38,733.00,0.00
03-23-2022,317.05,38.62,HOLD,2.79,860.00,0.00
03-22-2022,329.73,47.08,HOLD,6.90,2128.00,0.00
03-21-2022,329.37,46.78,HOLD,6.78,2092.00,0.00
03-18-2022,340.74,56.39,HOLD,10.47,3229.00,0.00
03-17-2022,336.36,52.93,HOLD,9.05,2791.00,0.00
03-16-2022,330.91,48.18,HOLD,7.28,2246.00,0.00
03-15-2022,328.54,45.98,HOLD,6.51,2009.00,0.00
03-14-2022,318.36,34.96,HOLD,3.21,991.00,0.00
03-11-2022,316.79,33.01,HOLD,2.70,834.00,0.00
03-10-2022,317.94,33.70,HOLD,3.08,949.00,0.00
03-09-2022,317.20,32.86,HOLD,2.84,875.00,0.00
03-08-2022,316.74,32.37,HOLD,2.69,829.00,0.00
03-07-2022,322.77,35.55,HOLD,4.64,1432.00,0.00
03-04-2022,324.26,36.37,HOLD,5.13,1581.00,0.00
03-03-2022,324.36,36.42,HOLD,5.16,1591.00,0.00
03-02-2022,327.37,37.94,HOLD,6.13,1892.00,0.00
03-01-2022,320.25,31.65,HOLD,3.83,1180.00,0.00
02-28-2022,315.83,27.41,BUY,2.39,738.00,0.00
02-25-2022,316.65,27.71,BUY,2.66,820.00,0.00
02-24-2022,313.24,24.56,BUY,1.55,479.00,0.00
02-23-2022,308.45,20.02,BUY,0.00,,
02-22-2022,316.17,22.00,SELL,-13.78,0.00,-5055.00
02-18-2022,346.87,34.69,HOLD,-5.41,0.00,-1985.00
02-17-2022,347.94,35.35,HOLD,-5.12,0.00,-1878.00
02-16-2022,350.09,36.65,HOLD,-4.53,0.00,-1663.00
02-15-2022,353.26,38.59,HOLD,-3.67,0.00,-1346.00
02-14-2022,351.56,36.92,HOLD,-4.13,0.00,-1516.00
02-11-2022,350.29,35.72,HOLD,-4.48,0.00,-1643.00
02-10-2022,355.09,38.29,HOLD,-3.17,0.00,-1163.00
02-09-2022,364.37,43.99,HOLD,-0.64,0.00,-235.00
02-08-2022,361.44,41.44,HOLD,-1.44,0.00,-528.00
02-07-2022,357.35,37.76,HOLD,-2.56,0.00,-937.00
02-04-2022,359.67,39.05,HOLD,-1.92,0.00,-705.00
02-03-2022,364.81,42.01,HOLD,-0.52,0.00,-191.00
02-02-2022,373.73,47.85,HOLD,1.91,701.00,0.00
02-01-2022,368.70,43.75,HOLD,0.54,198.00,0.00
01-31-2022,366.98,42.31,HOLD,0.07,26.00,0.00
01-28-2022,366.54,41.96,HOLD,-0.05,0.00,-18.00
01-27-2022,356.43,33.26,HOLD,-2.81,0.00,-1029.00
01-26-2022,357.28,33.65,HOLD,-2.57,0.00,-944.00
01-25-2022,358.98,34.41,HOLD,-2.11,0.00,-774.00
01-24-2022,363.81,36.58,HOLD,-0.79,0.00,-291.00
01-21-2022,349.10,22.80,BUY,-4.80,0.00,-1762.00
01-20-2022,349.58,22.95,BUY,-4.67,0.00,-1714.00
01-19-2022,359.69,26.37,BUY,-1.92,0.00,-703.00
01-18-2022,366.72,29.17,BUY,0.00,,
01-14-2022,372.00,31.51,HOLD,0.00,0.00,0.00
01-13-2022,386.98,39.94,HOLD,0.00,0.00,0.00
01-12-2022,389.40,41.61,HOLD,0.00,0.00,0.00
01-11-2022,386.67,38.94,HOLD,0.00,0.00,0.00
01-10-2022,387.46,39.42,HOLD,0.00,0.00,0.00
01-07-2022,393.61,43.32,HOLD,0.00,0.00,0.00
01-06-2022,405.76,52.94,HOLD,0.00,0.00,0.00
01-05-2022,407.24,54.30,HOLD,0.00,0.00,0.00
01-04-2022,412.84,59.71,HOLD,0.00,0.00,0.00
01-03-2022,408.64,56.71,HOLD,0.00,0.00,0.00
12-31-2021,415.01,63.35,HOLD,0.00,0.00,0.00
12-30-2021,409.94,59.87,HOLD,0.00,0.00,0.00
12-29-2021,410.84,60.82,HOLD,0.00,0.00,0.00
12-28-2021,406.22,57.62,HOLD,0.00,0.00,0.00
12-27-2021,404.09,56.08,HOLD,0.00,0.00,0.00
12-23-2021,397.07,50.59,HOLD,0.00,0.00,0.00
12-22-2021,395.64,49.40,HOLD,0.00,0.00,0.00
12-21-2021,390.47,44.92,HOLD,0.00,0.00,0.00
12-20-2021,389.40,43.97,HOLD,0.00,0.00,0.00
12-17-2021,387.98,42.75,HOLD,0.00,0.00,0.00
12-16-2021,399.53,51.16,HOLD,0.00,0.00,0.00
12-15-2021,407.81,58.88,HOLD,0.00,0.00,0.00
12-14-2021,402.20,54.57,HOLD,0.00,0.00,0.00
12-13-2021,405.24,57.60,HOLD,0.00,0.00,0.00
12-10-2021,415.40,69.64,HOLD,0.00,0.00,0.00
12-09-2021,411.34,67.09,HOLD,0.00,0.00,0.00
12-08-2021,411.25,67.03,HOLD,0.00,0.00,0.00
12-07-2021,416.18,73.51,HOLD,0.00,0.00,0.00
12-06-2021,415.70,73.28,HOLD,0.00,0.00,0.00
12-03-2021,407.81,69.12,HOLD,0.00,0.00,0.00
12-02-2021,407.77,69.10,HOLD,0.00,0.00,0.00
12-01-2021,400.42,64.68,HOLD,0.00,0.00,0.00
11-30-2021,400.61,64.91,HOLD,0.00,0.00,0.00
11-29-2021,406.82,72.47,HOLD,0.00,0.00,0.00
11-26-2021,402.70,70.34,HOLD,0.00,0.00,0.00
11-24-2021,412.11,84.15,HOLD,0.00,0.00,0.00
11-23-2021,408.37,82.92,HOLD,0.00,0.00,0.00
11-22-2021,408.79,83.60,HOLD,0.00,0.00,0.00
11-19-2021,408.69,83.57,HOLD,0.00,0.00,0.00
11-18-2021,405.85,82.74,HOLD,0.00,0.00,0.00
11-17-2021,394.85,78.92,HOLD,0.00,0.00,0.00
11-16-2021,392.33,77.88,HOLD,0.00,0.00,0.00
11-15-2021,371.08,63.92,HOLD,0.00,0.00,0.00
11-12-2021,372.63,66.77,HOLD,0.00,0.00,0.00
11-11-2021,367.63,61.64,HOLD,0.00,0.00,0.00
11-10-2021,368.58,63.37,HOLD,0.00,0.00,0.00
11-09-2021,370.65,67.18,HOLD,0.00,0.00,0.00
11-08-2021,368.59,65.25,HOLD,0.00,0.00,0.00
11-05-2021,368.40,65.07,HOLD,0.00,0.00,0.00
11-04-2021,372.18,71.78,HOLD,0.00,0.00,0.00
11-03-2021,368.97,69.28,HOLD,0.00,0.00,0.00
11-02-2021,367.29,67.90,HOLD,0.00,0.00,0.00
11-01-2021,366.48,67.24,HOLD,0.00,0.00,0.00
10-29-2021,371.74,76.74,HOLD,0.00,0.00,0.00
10-28-2021,371.57,76.64,HOLD,0.00,0.00,0.00
