Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,141.77,46.64,HOLD,1.42,5.39,-6.86
01-11-2024,139.79,41.89,HOLD,0.63,3.92,-7.26
01-10-2024,138.92,39.70,HOLD,-0.89,3.27,-4.36
01-09-2024,140.17,41.80,HOLD,-2.56,4.20,-2.40
01-08-2024,143.86,48.90,HOLD,-0.83,6.94,-0.25
01-05-2024,145.06,51.54,HOLD,-0.47,7.84,0.95
01-04-2024,145.75,53.07,HOLD,-1.39,8.35,3.53
01-03-2024,147.81,57.83,HOLD,2.09,9.88,8.23
01-02-2024,144.78,51.94,HOLD,0.43,7.63,7.63
12-29-2023,144.16,50.63,HOLD,-0.40,7.17,0.00
12-28-2023,144.74,51.86,HOLD,-2.58,7.60,0.00
12-27-2023,148.58,60.95,HOLD,-0.03,10.45,0.00
12-26-2023,148.63,61.07,HOLD,1.41,10.49,0.00
12-22-2023,146.56,57.61,HOLD,0.28,8.95,0.00
12-21-2023,146.15,56.91,HOLD,0.26,8.65,0.00
12-20-2023,145.77,56.29,HOLD,-0.89,8.36,0.00
12-19-2023,147.08,59.03,HOLD,0.93,9.34,0.00
12-18-2023,145.73,57.02,HOLD,0.77,8.33,0.00
12-15-2023,144.61,55.34,HOLD,1.06,7.50,0.00
12-14-2023,143.10,53.04,HOLD,4.66,6.38,0.00
12-13-2023,136.73,41.16,HOLD,1.43,1.64,0.00
12-12-2023,134.80,36.66,HOLD,-1.03,0.21,0.00
12-11-2023,136.20,38.65,HOLD,1.26,1.25,0.00
12-08-2023,134.50,34.64,HOLD,1.72,-0.01,0.00
12-07-2023,132.23,28.88,HOLD,-2.97,-1.70,0.00
12-06-2023,136.28,33.82,HOLD,-1.52,1.31,0.00
12-05-2023,138.39,36.87,HOLD,-2.33,2.88,0.00
12-04-2023,141.69,42.43,HOLD,0.44,5.33,0.00
12-01-2023,141.07,40.88,HOLD,0.36,4.87,0.00
11-30-2023,140.56,39.63,HOLD,0.72,4.49,0.00
11-29-2023,139.56,37.22,HOLD,-4.15,3.75,0.00
11-28-2023,145.60,47.95,HOLD,0.75,8.24,0.00
11-27-2023,144.51,45.31,HOLD,-0.62,7.43,0.00
11-24-2023,145.41,47.14,HOLD,0.70,8.10,0.00
11-22-2023,144.40,44.81,HOLD,0.06,7.34,0.00
11-21-2023,144.32,44.64,HOLD,-0.12,7.29,0.00
11-20-2023,144.50,44.94,HOLD,0.03,7.42,0.00
11-17-2023,144.45,44.84,HOLD,2.11,7.38,0.00
11-16-2023,141.46,38.84,HOLD,-1.88,5.16,0.00
11-15-2023,144.17,42.76,HOLD,0.29,7.17,0.00
11-14-2023,143.76,41.94,HOLD,0.76,6.87,0.00
11-13-2023,142.68,39.82,HOLD,0.77,6.07,0.00
11-10-2023,141.59,37.70,HOLD,0.99,5.26,0.00
11-09-2023,140.20,34.98,HOLD,-0.40,4.22,0.00
11-08-2023,140.77,35.57,HOLD,-1.53,4.65,0.00
11-07-2023,142.95,37.84,HOLD,-1.91,6.27,0.00
11-06-2023,145.74,40.95,HOLD,-0.36,8.34,0.00
11-03-2023,146.26,41.54,HOLD,-1.02,8.73,0.00
11-02-2023,147.76,43.21,HOLD,3.87,9.84,0.00
11-01-2023,142.25,34.19,HOLD,-1.49,5.75,0.00
10-31-2023,144.40,36.27,HOLD,-0.53,7.34,0.00
10-30-2023,145.17,37.02,HOLD,1.31,7.92,0.00
10-27-2023,143.29,33.92,HOLD,-6.46,6.52,0.00
10-26-2023,153.18,44.68,HOLD,-0.79,13.87,0.00
10-25-2023,154.40,46.37,HOLD,-0.53,14.78,0.00
10-24-2023,155.22,47.48,HOLD,-3.77,15.39,0.00
10-23-2023,161.30,56.93,HOLD,-1.06,19.91,0.00
10-20-2023,163.02,60.07,HOLD,-1.84,21.19,0.00
