Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,76.20,52.72,HOLD,-0.85,1.13,2023
01-09-2023,76.85,55.71,HOLD,-2.60,1.99,2023
01-06-2023,78.90,66.81,HOLD,2.36,4.71,2023
01-05-2023,77.08,60.29,HOLD,0.34,2.30,2023
01-04-2023,76.82,59.23,HOLD,1.95,1.95,2023
01-03-2023,75.35,52.56,HOLD,-0.63,0.00,2023
12-30-2022,75.83,55.30,HOLD,-0.72,,2022
12-29-2022,76.38,58.55,HOLD,0.92,,2022
12-28-2022,75.68,55.46,HOLD,-1.21,,2022
12-27-2022,76.61,61.08,HOLD,0.63,,2022
12-23-2022,76.13,59.10,HOLD,0.99,,2022
12-22-2022,75.38,55.82,HOLD,-0.84,,2022
12-21-2022,76.02,59.60,HOLD,1.56,,2022
12-20-2022,74.85,54.36,HOLD,1.62,,2022
12-19-2022,73.66,47.98,HOLD,-0.74,,2022
12-16-2022,74.21,51.04,HOLD,0.35,,2022
12-15-2022,73.95,49.63,HOLD,-1.68,,2022
12-14-2022,75.21,57.02,HOLD,-0.75,,2022
12-13-2022,75.78,60.83,HOLD,1.01,,2022
12-12-2022,75.02,57.30,HOLD,0.51,,2022
12-09-2022,74.64,55.44,HOLD,-0.28,,2022
12-08-2022,74.85,56.71,HOLD,0.39,,2022
12-07-2022,74.56,55.40,HOLD,-0.64,,2022
12-06-2022,75.04,58.10,HOLD,0.48,,2022
12-05-2022,74.68,56.63,HOLD,-1.53,,2022
12-02-2022,75.84,63.29,HOLD,0.28,,2022
12-01-2022,75.63,62.55,HOLD,-0.97,,2022
11-30-2022,76.37,66.97,HOLD,0.71,,2022
11-29-2022,75.83,65.31,HOLD,1.03,,2022
11-28-2022,75.06,62.83,HOLD,-1.20,,2022
11-25-2022,75.97,68.17,HOLD,0.58,,2022
11-23-2022,75.53,66.91,HOLD,1.04,,2022
11-22-2022,74.75,64.60,HOLD,1.52,,2022
11-21-2022,73.63,60.96,HOLD,-0.08,,2022
11-18-2022,73.69,61.27,HOLD,0.83,,2022
11-17-2022,73.08,59.30,HOLD,0.26,,2022
11-16-2022,72.89,58.69,HOLD,0.01,,2022
11-15-2022,72.88,58.66,HOLD,0.79,,2022
11-14-2022,72.31,57.00,HOLD,-1.79,,2022
11-11-2022,73.63,62.40,HOLD,-0.90,,2022
11-10-2022,74.30,65.32,HOLD,3.32,,2022
11-09-2022,71.91,58.96,HOLD,-2.16,,2022
11-08-2022,73.50,66.50,HOLD,-0.64,,2022
11-07-2022,73.97,68.92,HOLD,0.24,,2022
11-04-2022,73.79,68.51,HOLD,1.33,,2022
11-03-2022,72.82,66.30,HOLD,0.62,,2022
