Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,45.17,57.77,HOLD,2.47,9.85,35.36
01-26-2023,44.08,51.70,HOLD,-0.27,7.20,29.49
01-25-2023,44.20,52.47,HOLD,-0.58,7.49,29.05
01-24-2023,44.46,54.10,HOLD,0.18,8.12,28.98
01-23-2023,44.38,53.69,HOLD,2.76,7.93,32.72
01-20-2023,43.19,47.18,HOLD,0.21,5.03,25.84
01-19-2023,43.10,46.66,HOLD,-2.82,4.82,21.27
01-18-2023,44.35,53.54,HOLD,-1.33,7.86,23.64
01-17-2023,44.95,57.30,HOLD,-1.21,9.31,17.73
01-13-2023,45.50,60.95,HOLD,-0.04,10.65,18.74
01-12-2023,45.52,61.08,HOLD,2.71,10.70,19.22
01-11-2023,44.32,55.77,HOLD,1.33,7.78,14.23
01-10-2023,43.74,52.89,HOLD,1.13,6.37,12.04
01-09-2023,43.25,50.35,HOLD,-1.32,5.18,8.91
01-06-2023,43.83,53.52,HOLD,3.54,6.59,12.79
01-05-2023,42.33,45.23,HOLD,1.12,2.94,10.12
01-04-2023,41.86,42.23,HOLD,1.80,1.80,7.25
01-03-2023,41.12,37.20,HOLD,-1.15,0.00,9.07
12-30-2022,41.60,39.26,HOLD,1.46,,0.00
12-29-2022,41.00,35.09,HOLD,1.76,,0.00
12-28-2022,40.29,29.80,HOLD,-1.76,,0.00
12-27-2022,41.01,32.28,HOLD,-0.99,,0.00
12-23-2022,41.42,33.76,HOLD,0.39,,0.00
12-22-2022,41.26,32.64,HOLD,-1.10,,0.00
12-21-2022,41.72,34.19,HOLD,1.07,,0.00
12-20-2022,41.28,31.30,HOLD,-4.40,,0.00
12-19-2022,43.18,37.99,HOLD,-2.88,,0.00
12-16-2022,44.46,43.86,HOLD,-1.22,,0.00
12-15-2022,45.01,46.73,HOLD,-2.43,,0.00
12-14-2022,46.13,53.36,HOLD,-0.52,,0.00
12-13-2022,46.37,54.91,HOLD,2.72,,0.00
12-12-2022,45.14,47.68,HOLD,-0.02,,0.00
12-09-2022,45.15,47.74,HOLD,-1.23,,0.00
12-08-2022,45.71,50.95,HOLD,-1.19,,0.00
12-07-2022,46.26,54.28,HOLD,-0.43,,0.00
12-06-2022,46.46,55.50,HOLD,-0.73,,0.00
12-05-2022,46.80,57.55,HOLD,-1.78,,0.00
12-02-2022,47.65,62.94,HOLD,0.72,,0.00
12-01-2022,47.31,61.61,HOLD,0.38,,0.00
11-30-2022,47.13,60.91,HOLD,2.46,,0.00
11-29-2022,46.00,56.32,HOLD,-2.25,,0.00
11-28-2022,47.06,62.74,HOLD,-1.36,,0.00
11-25-2022,47.71,67.10,HOLD,0.93,,0.00
11-23-2022,47.27,65.60,HOLD,-0.57,,0.00
11-22-2022,47.54,67.35,HOLD,1.60,,0.00
11-21-2022,46.79,64.94,HOLD,-1.60,,0.00
11-18-2022,47.55,69.80,HOLD,0.76,,0.00
11-17-2022,47.19,68.77,HOLD,0.90,,0.00
11-16-2022,46.77,67.58,HOLD,-1.33,,0.00
11-15-2022,47.40,71.38,HOLD,-1.06,,0.00
11-14-2022,47.91,74.54,SELL,-0.68,,0.00
11-11-2022,48.24,76.58,SELL,2.29,,0.00
11-10-2022,47.16,74.46,SELL,5.57,,0.00
11-09-2022,44.67,68.32,HOLD,-1.67,,0.00
11-08-2022,45.43,73.31,HOLD,-0.33,,0.00
11-07-2022,45.58,74.31,SELL,0.51,,0.00
11-04-2022,45.35,73.80,HOLD,1.59,,0.00
11-03-2022,44.64,72.23,HOLD,2.64,,0.00
11-02-2022,43.49,69.48,HOLD,-1.34,,0.00
11-01-2022,44.08,72.92,HOLD,2.51,,0.00
10-31-2022,43.00,70.44,HOLD,-0.51,,0.00
10-28-2022,43.22,71.68,HOLD,3.77,,0.00
10-27-2022,41.65,67.92,HOLD,-0.36,,0.00
10-26-2022,41.80,68.73,HOLD,12.61,,0.00
10-25-2022,37.12,52.25,HOLD,3.43,,0.00
10-24-2022,35.89,45.20,HOLD,-0.03,,0.00
10-21-2022,35.90,45.25,HOLD,2.98,,0.00
10-20-2022,34.86,38.64,HOLD,0.09,,0.00
10-19-2022,34.83,38.44,HOLD,-5.07,,0.00
10-18-2022,36.69,47.27,HOLD,1.92,,0.00
10-17-2022,36.00,42.74,HOLD,0.31,,0.00
10-14-2022,35.89,42.00,HOLD,-0.31,,0.00
10-13-2022,36.00,42.51,HOLD,1.67,,0.00
10-12-2022,35.41,38.82,HOLD,0.43,,0.00
10-11-2022,35.26,37.88,HOLD,-0.11,,0.00
10-10-2022,35.30,38.02,HOLD,-1.40,,0.00
10-07-2022,35.80,39.79,HOLD,-0.83,,0.00
10-06-2022,36.10,40.84,HOLD,-2.41,,0.00
10-05-2022,36.99,44.07,HOLD,-2.63,,0.00
10-04-2022,37.99,48.03,HOLD,5.21,,0.00
10-03-2022,36.11,38.36,HOLD,3.53,,0.00
09-30-2022,34.88,30.51,HOLD,-2.71,,0.00
09-29-2022,35.85,33.65,HOLD,-3.63,,0.00
09-28-2022,37.20,38.81,HOLD,0.27,,0.00
09-27-2022,37.10,38.16,HOLD,-0.05,,0.00
09-26-2022,37.12,38.24,HOLD,-1.12,,0.00
09-23-2022,37.54,39.77,HOLD,-2.90,,0.00
09-22-2022,38.66,44.18,HOLD,-3.59,,0.00
09-21-2022,40.10,50.90,HOLD,-2.00,,0.00
09-20-2022,40.92,55.36,HOLD,-1.78,,0.00
09-19-2022,41.66,59.74,HOLD,2.33,,0.00
09-16-2022,40.71,55.55,HOLD,-0.95,,0.00
09-15-2022,41.10,57.84,HOLD,0.02,,0.00
09-14-2022,41.09,57.80,HOLD,-0.29,,0.00
09-13-2022,41.21,58.44,HOLD,-3.51,,0.00
09-12-2022,42.71,67.10,HOLD,3.99,,0.00
09-09-2022,41.07,61.28,HOLD,2.62,,0.00
09-08-2022,40.02,56.73,HOLD,0.58,,0.00
09-07-2022,39.79,55.67,HOLD,5.29,,0.00
09-06-2022,37.79,44.74,HOLD,-1.13,,0.00
09-02-2022,38.22,47.05,HOLD,-0.03,,0.00
09-01-2022,38.23,47.11,HOLD,-0.88,,0.00
08-31-2022,38.57,48.83,HOLD,-0.85,,0.00
08-30-2022,38.90,50.50,HOLD,-2.02,,0.00
08-29-2022,39.70,54.70,HOLD,-0.73,,0.00
08-26-2022,39.99,56.28,HOLD,-3.41,,0.00
08-25-2022,41.40,64.69,HOLD,1.32,,0.00
08-24-2022,40.86,62.71,HOLD,0.34,,0.00
08-23-2022,40.72,62.20,HOLD,1.47,,0.00
08-22-2022,40.13,60.05,HOLD,-2.60,,0.00
08-19-2022,41.20,66.39,HOLD,-2.51,,0.00
08-18-2022,42.26,73.53,HOLD,1.32,,0.00
08-17-2022,41.71,72.08,HOLD,-1.04,,0.00
08-16-2022,42.15,75.13,SELL,3.56,,0.00
08-15-2022,40.70,71.43,HOLD,1.80,,0.00
08-12-2022,39.98,69.33,HOLD,1.01,,0.00
08-11-2022,39.58,68.12,HOLD,1.83,,0.00
08-10-2022,38.87,65.90,HOLD,3.16,,0.00
08-09-2022,37.68,61.77,HOLD,-1.41,,0.00
08-08-2022,38.22,65.10,HOLD,2.55,,0.00
08-05-2022,37.27,61.72,HOLD,0.43,,0.00
08-04-2022,37.11,61.14,HOLD,-1.17,,0.00
08-03-2022,37.55,63.63,HOLD,2.37,,0.00
08-02-2022,36.68,60.69,HOLD,-2.73,,0.00
08-01-2022,37.71,66.61,HOLD,-0.26,,0.00
07-29-2022,37.81,67.20,HOLD,2.30,,0.00
07-28-2022,36.96,64.73,HOLD,7.76,,0.00
07-27-2022,34.30,54.84,HOLD,3.59,,0.00
07-26-2022,33.11,48.89,HOLD,-3.97,,0.00
07-25-2022,34.48,56.91,HOLD,-0.38,,0.00
07-22-2022,34.61,57.74,HOLD,-1.95,,0.00
07-21-2022,35.30,62.24,HOLD,0.06,,0.00
07-20-2022,35.28,62.16,HOLD,2.29,,0.00
07-19-2022,34.49,59.00,HOLD,4.52,,0.00
07-18-2022,33.00,51.98,HOLD,1.32,,0.00
07-15-2022,32.57,49.67,HOLD,3.69,,0.00
07-14-2022,31.41,42.77,HOLD,-2.57,,0.00
07-13-2022,32.24,47.06,HOLD,-0.22,,0.00
07-12-2022,32.31,47.43,HOLD,1.41,,0.00
07-11-2022,31.86,44.83,HOLD,-1.76,,0.00
07-08-2022,32.43,47.60,HOLD,-0.80,,0.00
07-07-2022,32.69,48.88,HOLD,1.87,,0.00
07-06-2022,32.09,45.75,HOLD,-1.47,,0.00
07-05-2022,32.57,47.93,HOLD,1.81,,0.00
07-01-2022,31.99,44.99,HOLD,1.04,,0.00
06-30-2022,31.66,43.30,HOLD,0.70,,0.00
06-29-2022,31.44,42.20,HOLD,-2.03,,0.00
06-28-2022,32.09,44.57,HOLD,-2.22,,0.00
06-27-2022,32.82,47.35,HOLD,0.06,,0.00
06-24-2022,32.80,47.27,HOLD,3.50,,0.00
06-23-2022,31.69,42.57,HOLD,0.51,,0.00
06-22-2022,31.53,41.88,HOLD,0.45,,0.00
06-21-2022,31.39,41.30,HOLD,1.95,,0.00
06-17-2022,30.79,38.89,HOLD,1.55,,0.00
06-16-2022,30.32,37.01,HOLD,-5.84,,0.00
06-15-2022,32.20,41.79,HOLD,2.74,,0.00
06-14-2022,31.34,38.41,HOLD,1.56,,0.00
06-13-2022,30.86,36.51,HOLD,-5.34,,0.00
06-10-2022,32.60,40.75,HOLD,-6.80,,0.00
06-09-2022,34.98,47.82,HOLD,-0.63,,0.00
06-08-2022,35.20,48.54,HOLD,0.37,,0.00
06-07-2022,35.07,48.11,HOLD,-0.65,,0.00
06-06-2022,35.30,48.78,HOLD,1.06,,0.00
06-03-2022,34.93,47.69,HOLD,-3.35,,0.00
06-02-2022,36.14,50.98,HOLD,6.77,,0.00
06-01-2022,33.85,44.22,HOLD,-3.78,,0.00
05-31-2022,35.18,47.78,HOLD,-3.19,,0.00
05-27-2022,36.34,51.10,HOLD,2.86,,0.00
05-26-2022,35.33,48.19,HOLD,5.12,,0.00
05-25-2022,33.61,42.79,HOLD,6.29,,0.00
05-24-2022,31.62,35.60,HOLD,-2.20,,0.00
05-23-2022,32.33,37.14,HOLD,-0.03,,0.00
05-20-2022,32.34,37.17,HOLD,-0.28,,0.00
05-19-2022,32.43,37.34,HOLD,-9.29,,0.00
05-18-2022,35.75,44.66,HOLD,-6.93,,0.00
05-17-2022,38.41,52.27,HOLD,4.92,,0.00
05-16-2022,36.61,46.54,HOLD,-2.35,,0.00
05-13-2022,37.49,49.22,HOLD,5.81,,0.00
05-12-2022,35.43,41.95,HOLD,-1.06,,0.00
05-11-2022,35.81,43.01,HOLD,-3.61,,0.00
05-10-2022,37.15,46.87,HOLD,1.39,,0.00
05-09-2022,36.64,45.13,HOLD,-4.46,,0.00
05-06-2022,38.35,50.25,HOLD,2.59,,0.00
05-05-2022,37.38,47.09,HOLD,-8.96,,0.00
05-04-2022,41.06,60.68,HOLD,5.96,,0.00
05-03-2022,38.75,52.72,HOLD,5.73,,0.00
05-02-2022,36.65,42.99,HOLD,0.55,,0.00
04-29-2022,36.45,41.93,HOLD,-1.65,,0.00
04-28-2022,37.06,44.25,HOLD,2.04,,0.00
04-27-2022,36.32,40.54,HOLD,-0.47,,0.00
04-26-2022,36.49,41.12,HOLD,-4.75,,0.00
04-25-2022,38.31,48.00,HOLD,1.19,,0.00
04-22-2022,37.86,45.93,HOLD,-3.37,,0.00
04-21-2022,39.18,51.54,HOLD,-5.00,,0.00
04-20-2022,41.24,62.62,HOLD,1.33,,0.00
04-19-2022,40.70,60.55,HOLD,5.91,,0.00
04-18-2022,38.43,49.71,HOLD,0.60,,0.00
04-14-2022,38.20,48.38,HOLD,0.00,,0.00
04-13-2022,38.20,48.38,HOLD,1.19,,0.00
04-12-2022,37.75,45.96,HOLD,-1.23,,0.00
04-11-2022,38.22,48.15,HOLD,0.84,,0.00
04-08-2022,37.90,46.54,HOLD,2.46,,0.00
04-07-2022,36.99,41.76,HOLD,1.51,,0.00
04-06-2022,36.44,38.69,HOLD,-1.03,,0.00
04-05-2022,36.82,40.04,HOLD,-5.10,,0.00
04-04-2022,38.80,48.22,HOLD,0.10,,0.00
04-01-2022,38.76,48.02,HOLD,-1.62,,0.00
03-31-2022,39.40,50.93,HOLD,-1.40,,0.00
03-30-2022,39.96,53.56,HOLD,-0.84,,0.00
03-29-2022,40.30,55.17,HOLD,3.04,,0.00
03-28-2022,39.11,50.32,HOLD,1.30,,0.00
03-25-2022,38.61,48.13,HOLD,1.21,,0.00
03-24-2022,38.15,46.10,HOLD,0.98,,0.00
03-23-2022,37.78,44.47,HOLD,-5.31,,0.00
03-22-2022,39.90,52.96,HOLD,1.17,,0.00
03-21-2022,39.44,51.08,HOLD,-2.26,,0.00
03-18-2022,40.35,55.13,HOLD,3.20,,0.00
03-17-2022,39.10,50.08,HOLD,-0.86,,0.00
03-16-2022,39.44,51.55,HOLD,3.68,,0.00
03-15-2022,38.04,45.44,HOLD,0.32,,0.00
