Date,Price,RSI,STATUS
11-17-2022,73.79,60.39,HOLD
11-16-2022,74.30,62.43,HOLD
11-15-2022,74.61,63.65,HOLD
11-14-2022,75.48,67.05,HOLD
11-11-2022,75.93,68.81,HOLD
11-10-2022,75.00,67.15,HOLD
11-09-2022,72.11,61.19,HOLD
11-08-2022,73.71,67.49,HOLD
11-07-2022,74.35,70.17,SELL
11-04-2022,75.23,73.92,SELL
11-03-2022,73.27,70.68,SELL
11-02-2022,74.25,75.01,SELL
11-01-2022,74.13,74.83,SELL
10-31-2022,67.80,61.67,HOLD
10-28-2022,66.93,58.93,HOLD
10-27-2022,66.18,56.43,HOLD
10-26-2022,66.19,56.47,HOLD
10-25-2022,65.30,53.59,HOLD
10-24-2022,63.60,47.40,HOLD
10-21-2022,62.51,42.86,HOLD
10-20-2022,61.60,38.77,HOLD
10-19-2022,62.17,40.46,HOLD
10-18-2022,63.83,45.85,HOLD
10-17-2022,64.34,47.66,HOLD
10-14-2022,62.55,39.92,HOLD
10-13-2022,63.40,42.70,HOLD
10-12-2022,60.97,29.69,BUY
10-11-2022,61.95,32.45,HOLD
10-10-2022,61.97,32.51,HOLD
10-07-2022,63.76,38.10,HOLD
10-06-2022,65.79,46.51,HOLD
10-05-2022,66.24,48.73,HOLD
10-04-2022,66.55,50.26,HOLD
10-03-2022,66.12,48.16,HOLD
09-30-2022,64.52,39.31,HOLD
09-29-2022,65.00,41.28,HOLD
09-28-2022,65.23,42.22,HOLD
09-27-2022,63.71,32.85,HOLD
09-26-2022,63.66,32.52,HOLD
09-23-2022,62.98,28.00,BUY
09-22-2022,62.71,26.17,BUY
09-21-2022,62.89,26.59,BUY
09-20-2022,64.65,31.09,HOLD
09-19-2022,66.62,37.72,HOLD
09-16-2022,66.82,38.49,HOLD
09-15-2022,67.66,41.84,HOLD
09-14-2022,67.99,43.21,HOLD
09-13-2022,68.02,43.33,HOLD
09-12-2022,69.91,51.73,HOLD
09-09-2022,69.16,48.02,HOLD
09-08-2022,68.87,46.54,HOLD
09-07-2022,67.70,40.18,HOLD
09-06-2022,67.51,39.08,HOLD
09-02-2022,67.52,39.12,HOLD
09-01-2022,68.42,42.28,HOLD
08-31-2022,67.56,37.82,HOLD
08-30-2022,67.00,34.78,HOLD
08-29-2022,67.44,36.07,HOLD
08-26-2022,67.71,36.84,HOLD
08-25-2022,71.18,49.61,HOLD
08-24-2022,69.67,41.40,HOLD
08-23-2022,69.44,40.02,HOLD
08-22-2022,69.93,41.98,HOLD
08-19-2022,71.46,48.91,HOLD
08-18-2022,71.58,49.51,HOLD
08-17-2022,71.89,51.00,HOLD
08-16-2022,72.85,55.83,HOLD
08-15-2022,73.47,59.19,HOLD
08-12-2022,72.99,57.34,HOLD
08-11-2022,72.07,53.61,HOLD
08-10-2022,72.24,54.42,HOLD
08-09-2022,71.41,51.04,HOLD
08-08-2022,72.78,57.60,HOLD
08-05-2022,71.40,51.80,HOLD
08-04-2022,71.20,50.90,HOLD
08-03-2022,72.26,56.07,HOLD
08-02-2022,71.47,52.75,HOLD
08-01-2022,70.95,50.46,HOLD
07-29-2022,71.38,52.41,HOLD
07-28-2022,70.78,49.90,HOLD
07-27-2022,70.94,50.56,HOLD
07-26-2022,70.06,46.98,HOLD
07-25-2022,70.26,47.71,HOLD
07-22-2022,70.54,48.69,HOLD
07-21-2022,71.89,53.64,HOLD
07-20-2022,70.11,47.06,HOLD
07-19-2022,70.49,48.42,HOLD
07-18-2022,68.47,39.82,HOLD
07-15-2022,70.59,47.55,HOLD
07-14-2022,69.39,41.59,HOLD
07-13-2022,70.35,45.42,HOLD
07-12-2022,70.68,46.80,HOLD
07-11-2022,71.42,49.95,HOLD
07-08-2022,71.38,49.78,HOLD
07-07-2022,71.78,51.39,HOLD
07-06-2022,70.88,47.85,HOLD
07-05-2022,70.19,45.00,HOLD
07-01-2022,70.14,44.80,HOLD
06-30-2022,69.30,41.43,HOLD
06-29-2022,70.35,44.59,HOLD
06-28-2022,69.78,42.37,HOLD
06-27-2022,71.46,47.58,HOLD
06-24-2022,70.93,45.62,HOLD
06-23-2022,70.55,44.24,HOLD
06-22-2022,68.08,34.08,HOLD
06-21-2022,68.20,34.36,HOLD
06-17-2022,67.88,32.99,HOLD
06-16-2022,67.12,29.74,BUY
06-15-2022,68.32,32.01,HOLD
06-14-2022,67.87,30.15,HOLD
06-13-2022,68.55,31.36,HOLD
06-10-2022,71.73,37.93,HOLD
06-09-2022,73.68,43.07,HOLD
06-08-2022,75.65,49.34,HOLD
06-07-2022,76.62,52.86,HOLD
06-06-2022,75.13,47.52,HOLD
06-03-2022,75.30,48.10,HOLD
06-02-2022,75.99,50.41,HOLD
06-01-2022,74.65,45.71,HOLD
05-31-2022,75.27,47.65,HOLD
05-27-2022,77.46,55.35,HOLD
05-26-2022,76.19,51.09,HOLD
05-25-2022,76.00,50.43,HOLD
05-24-2022,78.39,59.81,HOLD
05-23-2022,78.81,61.68,HOLD
05-20-2022,77.75,58.65,HOLD
05-19-2022,78.12,60.19,HOLD
05-18-2022,77.55,58.64,HOLD
05-17-2022,79.08,64.97,HOLD
05-16-2022,77.22,60.10,HOLD
05-13-2022,76.28,57.32,HOLD
05-12-2022,74.27,50.46,HOLD
05-11-2022,73.49,47.42,HOLD
05-10-2022,73.32,46.76,HOLD
05-09-2022,72.76,44.62,HOLD
05-06-2022,74.11,49.02,HOLD
05-05-2022,74.77,51.32,HOLD
05-04-2022,75.70,54.67,HOLD
05-03-2022,73.13,45.55,HOLD
05-02-2022,72.91,44.66,HOLD
04-29-2022,71.99,40.93,HOLD
04-28-2022,71.40,38.47,HOLD
04-27-2022,70.84,36.11,HOLD
04-26-2022,70.54,34.87,HOLD
04-25-2022,72.73,40.15,HOLD
04-22-2022,73.93,43.50,HOLD
04-21-2022,77.07,54.56,HOLD
04-20-2022,78.18,59.53,HOLD
04-19-2022,76.28,52.68,HOLD
04-18-2022,75.18,47.94,HOLD
04-14-2022,76.33,53.10,HOLD
04-13-2022,76.89,55.82,HOLD
04-12-2022,76.50,54.31,HOLD
04-11-2022,76.52,54.40,HOLD
04-08-2022,79.99,73.79,SELL
04-07-2022,79.47,72.42,SELL
04-06-2022,78.34,69.17,HOLD
04-05-2022,77.66,67.00,HOLD
04-04-2022,76.10,61.18,HOLD
04-01-2022,76.93,67.02,HOLD
03-31-2022,76.82,66.63,HOLD
03-30-2022,76.67,66.12,HOLD
03-29-2022,75.92,63.53,HOLD
03-28-2022,76.00,64.02,HOLD
03-25-2022,76.05,64.30,HOLD
03-24-2022,75.19,61.57,HOLD
03-23-2022,75.04,61.09,HOLD
03-22-2022,76.16,66.91,HOLD
03-21-2022,75.79,65.91,HOLD
03-18-2022,74.91,63.49,HOLD
03-17-2022,73.90,60.49,HOLD
03-16-2022,72.38,55.37,HOLD
03-15-2022,70.96,49.72,HOLD
03-14-2022,69.59,43.29,HOLD
03-11-2022,69.44,42.55,HOLD
03-10-2022,70.28,45.68,HOLD
03-09-2022,71.16,49.19,HOLD
03-08-2022,69.70,42.35,HOLD
03-07-2022,71.65,50.85,HOLD
03-04-2022,72.22,53.77,HOLD
03-03-2022,70.90,47.24,HOLD
03-02-2022,71.00,47.71,HOLD
03-01-2022,70.88,47.12,HOLD
02-28-2022,71.17,48.35,HOLD
02-25-2022,72.39,53.83,HOLD
02-24-2022,71.11,48.10,HOLD
02-23-2022,70.87,46.95,HOLD
02-22-2022,70.53,45.37,HOLD
02-18-2022,70.05,43.14,HOLD
02-17-2022,69.88,42.36,HOLD
02-16-2022,71.04,46.36,HOLD
02-15-2022,70.62,44.60,HOLD
02-14-2022,70.31,43.33,HOLD
02-11-2022,71.99,48.99,HOLD
02-10-2022,73.17,53.56,HOLD
02-09-2022,74.26,58.21,HOLD
02-08-2022,74.04,57.52,HOLD
02-07-2022,73.18,54.80,HOLD
02-04-2022,74.74,61.41,HOLD
02-03-2022,73.36,57.17,HOLD
02-02-2022,72.16,53.00,HOLD
02-01-2022,70.53,46.41,HOLD
01-31-2022,70.24,45.14,HOLD
01-28-2022,70.02,44.21,HOLD
01-27-2022,68.08,35.20,HOLD
01-26-2022,68.22,35.58,HOLD
01-25-2022,70.03,40.96,HOLD
01-24-2022,70.89,43.89,HOLD
01-21-2022,70.63,42.74,HOLD
01-20-2022,69.85,39.28,HOLD
01-19-2022,70.42,40.96,HOLD
01-18-2022,69.41,36.49,HOLD
01-14-2022,69.59,36.95,HOLD
01-13-2022,69.96,37.87,HOLD
01-12-2022,72.14,43.82,HOLD
01-11-2022,72.33,44.39,HOLD
01-10-2022,73.45,47.76,HOLD
01-07-2022,70.31,34.89,HOLD
01-06-2022,70.70,35.91,HOLD
01-05-2022,70.76,36.06,HOLD
01-04-2022,70.43,34.66,HOLD
01-03-2022,73.10,41.48,HOLD
12-31-2021,76.56,54.35,HOLD
12-30-2021,76.62,54.63,HOLD
12-29-2021,75.09,48.50,HOLD
12-28-2021,75.21,48.99,HOLD
12-27-2021,76.85,56.04,HOLD
12-23-2021,76.12,53.26,HOLD
12-22-2021,77.22,58.44,HOLD
12-21-2021,76.14,54.40,HOLD
12-20-2021,77.18,59.58,HOLD
12-17-2021,77.71,62.39,HOLD
12-16-2021,77.92,63.49,HOLD
12-15-2021,77.23,61.41,HOLD
12-14-2021,74.83,52.71,HOLD
12-13-2021,75.39,55.41,HOLD
12-10-2021,74.75,52.84,HOLD
12-09-2021,75.19,54.86,HOLD
12-08-2021,76.05,58.95,HOLD
12-07-2021,76.15,59.43,HOLD
12-06-2021,74.42,53.35,HOLD
12-03-2021,73.94,51.48,HOLD
12-02-2021,73.77,50.83,HOLD
12-01-2021,73.06,48.13,HOLD
11-30-2021,74.73,54.67,HOLD
11-29-2021,75.97,60.32,HOLD
11-26-2021,76.83,64.62,HOLD
11-24-2021,74.91,58.49,HOLD
11-23-2021,74.35,56.44,HOLD
11-22-2021,73.59,53.56,HOLD
11-19-2021,75.33,62.33,HOLD
11-18-2021,73.26,54.01,HOLD
11-17-2021,73.25,53.96,HOLD
11-16-2021,73.18,53.66,HOLD
11-15-2021,73.25,53.99,HOLD
11-12-2021,73.54,55.28,HOLD
11-11-2021,72.61,51.85,HOLD
11-10-2021,71.44,47.12,HOLD
11-09-2021,71.26,46.36,HOLD
11-08-2021,71.13,45.85,HOLD
11-05-2021,68.97,36.38,HOLD
11-04-2021,71.83,46.34,HOLD
11-03-2021,72.31,48.40,HOLD
11-02-2021,70.91,41.32,HOLD
11-01-2021,72.68,49.26,HOLD
10-29-2021,73.31,52.60,HOLD
10-28-2021,72.66,49.31,HOLD
10-27-2021,71.66,43.72,HOLD
10-26-2021,72.43,47.46,HOLD
10-25-2021,73.03,50.59,HOLD
10-22-2021,73.61,53.78,HOLD
10-21-2021,73.64,53.94,HOLD
10-20-2021,72.93,50.65,HOLD
10-19-2021,70.93,39.32,HOLD
10-18-2021,70.02,32.80,HOLD
10-15-2021,69.67,30.11,HOLD
10-14-2021,70.26,32.12,HOLD
10-13-2021,70.16,31.40,HOLD
10-12-2021,69.83,29.10,BUY
10-11-2021,69.95,29.43,BUY
10-08-2021,71.37,33.67,HOLD
10-07-2021,71.72,34.82,HOLD
10-06-2021,71.34,32.50,HOLD
10-05-2021,70.31,25.85,BUY
10-04-2021,70.70,26.78,BUY
10-01-2021,72.22,30.78,HOLD
09-30-2021,73.81,35.99,HOLD
09-29-2021,73.99,36.64,HOLD
09-28-2021,72.87,29.23,BUY
