Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,201.10,46.97,HOLD,-0.28,-6.16,-7.16
01-11-2024,201.67,48.62,HOLD,-0.36,-5.89,-6.63
01-10-2024,202.40,50.76,HOLD,0.38,-5.55,-4.66
01-09-2024,201.63,48.55,HOLD,-0.51,-5.91,-4.59
01-08-2024,202.66,51.41,HOLD,-0.43,-5.43,-3.80
01-05-2024,203.53,53.91,HOLD,-0.67,-5.03,-3.21
01-04-2024,204.90,58.02,HOLD,0.18,-4.39,0.21
01-03-2024,204.53,57.20,HOLD,-2.14,-4.56,-2.62
01-02-2024,209.00,73.24,HOLD,-0.34,-2.47,-2.47
12-29-2023,209.71,76.40,SELL,0.26,-2.14,0.00
12-28-2023,209.17,75.66,SELL,0.07,-2.39,0.00
12-27-2023,209.02,75.46,SELL,0.47,-2.46,0.00
12-26-2023,208.04,74.18,SELL,1.17,-2.92,0.00
12-22-2023,205.64,70.71,HOLD,0.29,-4.04,0.00
12-21-2023,205.05,69.78,HOLD,1.06,-4.32,0.00
12-20-2023,202.90,66.15,HOLD,-0.83,-5.32,0.00
12-19-2023,204.60,72.55,HOLD,-0.24,-4.53,0.00
12-18-2023,205.10,74.52,SELL,0.84,-4.29,0.00
12-15-2023,203.40,72.13,HOLD,-0.00,-5.09,0.00
12-14-2023,203.41,72.17,HOLD,0.16,-5.08,0.00
12-13-2023,203.08,71.72,HOLD,0.78,-5.24,0.00
12-12-2023,201.51,69.58,HOLD,0.56,-5.97,0.00
12-11-2023,200.39,67.97,HOLD,2.97,-6.49,0.00
12-08-2023,194.61,57.11,HOLD,-1.61,-9.19,0.00
12-07-2023,197.79,69.08,HOLD,0.00,-7.70,0.00
12-06-2023,197.79,69.08,HOLD,0.43,-7.70,0.00
12-05-2023,196.95,67.53,HOLD,-0.71,-8.10,0.00
12-04-2023,198.36,73.26,HOLD,0.29,-7.44,0.00
12-01-2023,197.78,72.36,HOLD,0.95,-7.71,0.00
11-30-2023,195.92,69.30,HOLD,0.85,-8.58,0.00
11-29-2023,194.26,66.20,HOLD,-0.01,-9.35,0.00
11-28-2023,194.27,66.24,HOLD,0.67,-9.35,0.00
11-27-2023,192.97,63.77,HOLD,-0.23,-9.95,0.00
11-24-2023,193.41,65.27,HOLD,0.57,-9.75,0.00
11-22-2023,192.31,63.26,HOLD,0.56,-10.26,0.00
11-21-2023,191.24,61.23,HOLD,-0.29,-10.76,0.00
11-20-2023,191.80,62.92,HOLD,0.31,-10.50,0.00
11-17-2023,191.21,61.89,HOLD,0.26,-10.77,0.00
11-16-2023,190.71,61.04,HOLD,0.61,-11.01,0.00
11-15-2023,189.55,59.08,HOLD,-0.36,-11.55,0.00
11-14-2023,190.24,60.77,HOLD,2.00,-11.23,0.00
11-13-2023,186.51,54.19,HOLD,-0.11,-12.97,0.00
11-10-2023,186.71,54.65,HOLD,1.65,-12.87,0.00
11-09-2023,183.68,48.55,HOLD,-0.51,-14.29,0.00
11-08-2023,184.62,50.50,HOLD,-1.07,-13.85,0.00
11-07-2023,186.61,54.85,HOLD,-0.47,-12.92,0.00
11-06-2023,187.50,56.88,HOLD,-0.79,-12.51,0.00
11-03-2023,188.99,60.36,HOLD,1.37,-11.81,0.00
