Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,29.23,60.76,HOLD,0.76,9.27,-16.98
01-26-2023,29.01,59.15,HOLD,1.12,8.45,-17.66
01-25-2023,28.69,56.77,HOLD,1.02,7.25,-17.98
01-24-2023,28.40,54.53,HOLD,-0.70,6.17,-20.27
01-23-2023,28.60,56.40,HOLD,2.47,6.92,-17.96
01-20-2023,27.91,51.02,HOLD,3.52,4.34,-22.71
01-19-2023,26.96,41.85,HOLD,-2.07,0.79,-26.34
01-18-2023,27.53,46.72,HOLD,-0.22,2.92,-26.84
01-17-2023,27.59,47.26,HOLD,-1.15,3.14,-28.19
01-13-2023,27.91,50.12,HOLD,-2.24,4.34,-27.88
01-12-2023,28.55,56.46,HOLD,-0.97,6.73,-26.78
01-11-2023,28.83,59.52,HOLD,-0.89,7.78,-26.44
01-10-2023,29.09,62.44,HOLD,1.57,8.75,-25.33
01-09-2023,28.64,59.22,HOLD,0.99,7.07,-25.90
01-06-2023,28.36,57.10,HOLD,4.23,6.02,-26.68
01-05-2023,27.21,46.50,HOLD,-0.04,1.72,-30.00
01-04-2023,27.22,46.59,HOLD,1.76,1.76,-30.56
01-03-2023,26.75,41.48,HOLD,-0.45,0.00,-29.64
12-30-2022,26.87,42.45,HOLD,-0.63,,0.00
12-29-2022,27.04,43.78,HOLD,1.88,,0.00
12-28-2022,26.54,38.49,HOLD,-1.96,,0.00
12-27-2022,27.07,42.42,HOLD,1.16,,0.00
12-23-2022,26.76,39.04,HOLD,0.38,,0.00
12-22-2022,26.66,37.95,HOLD,-0.11,,0.00
12-21-2022,26.69,38.14,HOLD,0.30,,0.00
12-20-2022,26.61,37.37,HOLD,0.19,,0.00
12-19-2022,26.56,36.91,HOLD,-0.60,,0.00
12-16-2022,26.72,37.73,HOLD,-0.45,,0.00
12-15-2022,26.84,38.33,HOLD,-5.36,,0.00
12-14-2022,28.36,47.06,HOLD,-1.77,,0.00
12-13-2022,28.87,50.65,HOLD,-0.52,,0.00
12-12-2022,29.02,51.73,HOLD,2.87,,0.00
12-09-2022,28.21,45.96,HOLD,-0.95,,0.00
12-08-2022,28.48,47.72,HOLD,2.34,,0.00
12-07-2022,27.83,42.81,HOLD,-1.70,,0.00
12-06-2022,28.31,45.76,HOLD,-3.08,,0.00
12-05-2022,29.21,52.00,HOLD,-1.45,,0.00
12-02-2022,29.64,55.35,HOLD,-0.74,,0.00
12-01-2022,29.86,57.10,HOLD,-0.60,,0.00
11-30-2022,30.04,58.50,HOLD,4.02,,0.00
11-29-2022,28.88,51.35,HOLD,-1.13,,0.00
11-28-2022,29.21,53.80,HOLD,-3.12,,0.00
11-25-2022,30.15,61.57,HOLD,0.80,,0.00
11-23-2022,29.91,60.21,HOLD,1.80,,0.00
11-22-2022,29.38,57.09,HOLD,0.75,,0.00
11-21-2022,29.16,55.75,HOLD,-1.09,,0.00
11-18-2022,29.48,58.20,HOLD,0.17,,0.00
11-17-2022,29.43,57.93,HOLD,0.48,,0.00
11-16-2022,29.29,57.22,HOLD,-4.16,,0.00
11-15-2022,30.56,66.76,HOLD,0.43,,0.00
11-14-2022,30.43,66.23,HOLD,-0.39,,0.00
11-11-2022,30.55,67.15,HOLD,4.27,,0.00
11-10-2022,29.30,62.01,HOLD,5.40,,0.00
11-09-2022,27.80,53.97,HOLD,-3.64,,0.00
11-08-2022,28.85,62.57,HOLD,0.35,,0.00
11-07-2022,28.75,62.04,HOLD,1.63,,0.00
11-04-2022,28.29,59.57,HOLD,6.11,,0.00
11-03-2022,26.66,48.56,HOLD,-1.19,,0.00
11-02-2022,26.98,51.10,HOLD,-3.12,,0.00
11-01-2022,27.85,58.86,HOLD,0.83,,0.00
10-31-2022,27.62,57.27,HOLD,-1.53,,0.00
10-28-2022,28.05,61.39,HOLD,3.05,,0.00
10-27-2022,27.22,55.67,HOLD,-0.95,,0.00
10-26-2022,27.48,58.18,HOLD,-0.36,,0.00
10-25-2022,27.58,59.13,HOLD,1.92,,0.00
10-24-2022,27.06,55.62,HOLD,1.01,,0.00
10-21-2022,26.79,53.71,HOLD,4.77,,0.00
10-20-2022,25.57,43.47,HOLD,0.31,,0.00
10-19-2022,25.49,42.70,HOLD,-0.23,,0.00
10-18-2022,25.55,43.11,HOLD,-0.54,,0.00
10-17-2022,25.69,44.02,HOLD,0.98,,0.00
10-14-2022,25.44,41.98,HOLD,-2.23,,0.00
10-13-2022,26.02,45.56,HOLD,5.39,,0.00
10-12-2022,24.69,33.48,HOLD,-0.36,,0.00
10-11-2022,24.78,33.95,HOLD,-0.84,,0.00
10-10-2022,24.99,35.03,HOLD,-0.20,,0.00
10-07-2022,25.04,35.27,HOLD,-5.44,,0.00
10-06-2022,26.48,43.45,HOLD,-1.12,,0.00
10-05-2022,26.78,45.50,HOLD,0.53,,0.00
10-04-2022,26.64,44.36,HOLD,2.90,,0.00
10-03-2022,25.89,37.95,HOLD,3.89,,0.00
09-30-2022,24.92,27.98,HOLD,-0.48,,0.00
09-29-2022,25.04,28.50,HOLD,-2.23,,0.00
09-28-2022,25.61,31.08,HOLD,2.52,,0.00
09-27-2022,24.98,24.03,BUY,0.08,,0.00
09-26-2022,24.96,23.80,BUY,-1.54,,0.00
09-23-2022,25.35,25.18,BUY,-1.40,,0.00
09-22-2022,25.71,26.49,BUY,-1.12,,0.00
09-21-2022,26.00,27.57,HOLD,-1.70,,0.00
09-20-2022,26.45,29.29,HOLD,-1.86,,0.00
09-19-2022,26.95,31.30,HOLD,-1.03,,0.00
09-16-2022,27.23,32.46,HOLD,1.08,,0.00
09-15-2022,26.94,29.96,HOLD,-0.37,,0.00
09-14-2022,27.04,30.32,HOLD,0.30,,0.00
09-13-2022,26.96,29.70,HOLD,-5.44,,0.00
09-12-2022,28.51,35.42,HOLD,0.88,,0.00
09-09-2022,28.26,33.50,HOLD,2.76,,0.00
09-08-2022,27.50,27.41,HOLD,0.11,,0.00
09-07-2022,27.47,27.17,HOLD,0.51,,0.00
09-06-2022,27.33,26.09,BUY,-1.12,,0.00
09-02-2022,27.64,26.91,BUY,-1.88,,0.00
09-01-2022,28.17,28.32,HOLD,-1.88,,0.00
08-31-2022,28.71,29.80,HOLD,-7.68,,0.00
08-30-2022,31.10,37.94,HOLD,-1.36,,0.00
08-29-2022,31.53,39.75,HOLD,0.45,,0.00
08-26-2022,31.39,38.87,HOLD,-8.94,,0.00
08-25-2022,34.47,55.48,HOLD,3.76,,0.00
08-24-2022,33.22,46.93,HOLD,-0.54,,0.00
