Date,Price,RSI,STATUS
12-16-2022,18.94,39.70,HOLD
12-15-2022,19.52,46.45,HOLD
12-14-2022,19.44,45.26,HOLD
12-13-2022,19.74,49.07,HOLD
12-12-2022,19.53,46.12,HOLD
12-09-2022,19.69,48.09,HOLD
12-08-2022,19.85,50.07,HOLD
12-07-2022,19.73,48.60,HOLD
12-06-2022,19.64,47.52,HOLD
12-05-2022,19.86,49.90,HOLD
12-02-2022,20.43,56.74,HOLD
12-01-2022,20.30,55.44,HOLD
11-30-2022,20.53,58.31,HOLD
11-29-2022,19.93,52.34,HOLD
11-28-2022,19.37,45.60,HOLD
11-25-2022,19.68,49.18,HOLD
11-23-2022,19.60,48.20,HOLD
11-22-2022,19.71,49.41,HOLD
11-21-2022,19.56,47.76,HOLD
11-18-2022,19.43,46.34,HOLD
11-17-2022,19.17,43.50,HOLD
11-16-2022,19.42,45.66,HOLD
11-15-2022,19.85,49.59,HOLD
11-14-2022,19.64,47.54,HOLD
11-11-2022,20.15,52.34,HOLD
11-10-2022,20.40,54.82,HOLD
11-09-2022,18.93,38.76,HOLD
11-08-2022,19.27,42.02,HOLD
11-07-2022,19.46,43.87,HOLD
11-04-2022,19.92,48.84,HOLD
11-03-2022,19.57,44.36,HOLD
11-02-2022,19.56,44.23,HOLD
11-01-2022,20.03,49.19,HOLD
10-31-2022,20.02,49.08,HOLD
10-28-2022,20.24,51.36,HOLD
10-27-2022,19.82,47.00,HOLD
10-26-2022,19.41,42.18,HOLD
10-25-2022,19.31,40.99,HOLD
10-24-2022,18.60,31.62,HOLD
10-21-2022,18.63,31.81,HOLD
10-20-2022,18.46,29.38,BUY
10-19-2022,18.73,30.97,HOLD
10-18-2022,19.41,35.38,HOLD
10-17-2022,19.31,34.12,HOLD
10-14-2022,18.77,26.83,BUY
10-13-2022,19.15,28.88,BUY
10-12-2022,18.90,25.40,BUY
10-11-2022,19.16,26.66,BUY
10-10-2022,19.05,25.20,BUY
10-07-2022,19.31,26.40,BUY
10-06-2022,19.82,28.79,BUY
10-05-2022,20.65,33.50,HOLD
10-04-2022,21.08,36.28,HOLD
10-03-2022,20.92,34.40,HOLD
09-30-2022,20.53,29.69,BUY
09-29-2022,20.27,26.29,BUY
09-28-2022,21.08,30.44,HOLD
09-27-2022,20.50,22.39,BUY
09-26-2022,20.97,24.53,BUY
09-23-2022,21.58,27.77,BUY
09-22-2022,21.98,30.23,HOLD
09-21-2022,22.35,32.65,HOLD
09-20-2022,22.72,35.35,HOLD
09-19-2022,22.96,37.14,HOLD
09-16-2022,22.76,34.57,HOLD
09-15-2022,22.63,32.91,HOLD
09-14-2022,23.15,36.40,HOLD
09-13-2022,23.84,41.86,HOLD
09-12-2022,24.77,51.49,HOLD
09-09-2022,24.24,44.71,HOLD
09-08-2022,23.97,40.87,HOLD
09-07-2022,24.17,42.92,HOLD
09-06-2022,23.43,30.84,HOLD
09-02-2022,23.61,32.37,HOLD
09-01-2022,23.77,33.84,HOLD
08-31-2022,23.95,35.42,HOLD
08-30-2022,24.41,39.93,HOLD
08-29-2022,24.90,45.56,HOLD
08-26-2022,24.94,46.06,HOLD
08-25-2022,25.55,54.53,HOLD
08-24-2022,25.43,52.98,HOLD
08-23-2022,25.36,52.09,HOLD
08-22-2022,25.90,60.41,HOLD
08-19-2022,26.29,67.51,HOLD
08-18-2022,26.25,67.15,HOLD
08-17-2022,26.27,67.50,HOLD
08-16-2022,26.18,66.77,HOLD
