Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,40.40,57.23,HOLD,-1.03,3.43,31.85
01-26-2023,40.82,60.85,HOLD,3.05,4.51,29.10
01-25-2023,39.61,52.89,HOLD,0.51,1.41,22.90
01-24-2023,39.41,51.37,HOLD,-0.05,0.90,20.08
01-23-2023,39.43,51.53,HOLD,1.89,0.95,20.84
01-20-2023,38.70,46.04,HOLD,0.70,-0.92,15.25
01-19-2023,38.43,43.86,HOLD,-2.78,-1.61,13.60
01-18-2023,39.53,51.78,HOLD,-2.66,1.20,15.18
01-17-2023,40.61,61.99,HOLD,-0.34,3.97,15.80
01-13-2023,40.75,63.49,HOLD,0.20,4.33,18.53
01-12-2023,40.67,63.01,HOLD,0.69,4.12,19.94
01-11-2023,40.39,61.37,HOLD,-0.39,3.41,19.07
01-10-2023,40.55,62.85,HOLD,1.17,3.81,19.33
01-09-2023,40.08,60.24,HOLD,-0.94,2.61,17.85
01-06-2023,40.46,63.60,HOLD,2.90,3.58,20.24
01-05-2023,39.32,56.91,HOLD,-0.58,0.67,18.01
01-04-2023,39.55,58.94,HOLD,1.25,1.25,17.95
01-03-2023,39.06,55.82,HOLD,-0.89,0.00,20.82
12-30-2022,39.41,58.78,HOLD,0.05,,0.00
12-29-2022,39.39,58.66,HOLD,1.73,,0.00
12-28-2022,38.72,54.68,HOLD,-1.73,,0.00
12-27-2022,39.40,60.14,HOLD,0.87,,0.00
12-23-2022,39.06,58.20,HOLD,1.35,,0.00
12-22-2022,38.54,55.11,HOLD,-1.31,,0.00
12-21-2022,39.05,59.09,HOLD,2.01,,0.00
12-20-2022,38.28,54.48,HOLD,1.86,,0.00
12-19-2022,37.58,49.68,HOLD,-1.44,,0.00
12-16-2022,38.13,53.82,HOLD,0.53,,0.00
12-15-2022,37.93,52.48,HOLD,-2.74,,0.00
12-14-2022,39.00,61.29,HOLD,-0.54,,0.00
12-13-2022,39.21,63.22,HOLD,0.85,,0.00
12-12-2022,38.88,61.44,HOLD,2.32,,0.00
12-09-2022,38.00,56.21,HOLD,0.96,,0.00
12-08-2022,37.64,53.83,HOLD,-0.61,,0.00
12-07-2022,37.87,55.63,HOLD,0.00,,0.00
12-06-2022,37.87,55.63,HOLD,-1.74,,0.00
12-05-2022,38.54,60.71,HOLD,-1.38,,0.00
12-02-2022,39.08,65.16,HOLD,1.74,,0.00
12-01-2022,38.41,61.94,HOLD,1.96,,0.00
11-30-2022,37.67,57.96,HOLD,1.21,,0.00
11-29-2022,37.22,55.33,HOLD,0.51,,0.00
11-28-2022,37.03,54.20,HOLD,-2.66,,0.00
