Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,111.85,55.70,HOLD,1.11,5.88,-15.24
01-26-2023,110.62,52.37,HOLD,-1.06,4.71,-16.97
01-25-2023,111.80,56.13,HOLD,0.87,5.83,-16.59
01-24-2023,110.84,53.61,HOLD,-1.65,4.92,-18.87
01-23-2023,112.70,59.78,HOLD,0.30,6.68,-19.09
01-20-2023,112.36,58.98,HOLD,0.08,6.36,-20.31
01-19-2023,112.27,58.78,HOLD,-2.12,6.28,-19.45
01-18-2023,114.70,67.05,HOLD,-1.61,8.58,-18.78
01-17-2023,116.58,74.60,SELL,0.29,10.36,-20.04
01-13-2023,116.24,74.11,SELL,0.55,10.03,-20.32
01-12-2023,115.60,73.20,HOLD,0.27,9.43,-20.87
01-11-2023,115.29,72.78,HOLD,-0.60,9.13,-21.12
01-10-2023,115.99,75.29,SELL,4.15,9.80,-17.50
01-09-2023,111.37,68.66,HOLD,1.24,5.42,-21.55
01-06-2023,110.01,66.18,HOLD,2.54,4.14,-23.51
01-05-2023,107.29,60.35,HOLD,-0.80,1.56,-25.97
01-04-2023,108.16,63.60,HOLD,2.39,2.39,-27.74
01-03-2023,105.64,57.42,HOLD,0.76,0.00,-29.16
12-30-2022,104.84,55.18,HOLD,-0.27,,0.00
12-29-2022,105.12,56.14,HOLD,2.01,,0.00
12-28-2022,103.05,50.18,HOLD,-0.72,,0.00
12-27-2022,103.80,52.59,HOLD,-0.10,,0.00
12-23-2022,103.90,52.90,HOLD,0.57,,0.00
12-22-2022,103.31,51.31,HOLD,-0.70,,0.00
12-21-2022,104.04,53.38,HOLD,1.82,,0.00
12-20-2022,102.18,48.46,HOLD,0.51,,0.00
12-19-2022,101.66,47.00,HOLD,-1.41,,0.00
12-16-2022,103.11,50.70,HOLD,-0.37,,0.00
12-15-2022,103.49,51.70,HOLD,-2.03,,0.00
12-14-2022,105.63,57.58,HOLD,-1.49,,0.00
12-13-2022,107.23,62.52,HOLD,1.05,,0.00
12-12-2022,106.12,60.33,HOLD,-1.06,,0.00
12-09-2022,107.26,63.89,HOLD,-0.41,,0.00
12-08-2022,107.70,65.27,HOLD,-0.37,,0.00
12-07-2022,108.10,66.49,HOLD,3.00,,0.00
12-06-2022,104.95,61.21,HOLD,-1.72,,0.00
12-05-2022,106.79,66.93,HOLD,-1.09,,0.00
12-02-2022,107.97,70.87,HOLD,1.15,,0.00
12-01-2022,106.74,69.11,HOLD,0.87,,0.00
11-30-2022,105.82,67.75,HOLD,3.34,,0.00
11-29-2022,102.40,62.01,HOLD,2.42,,0.00
11-28-2022,99.98,56.97,HOLD,-1.37,,0.00
11-25-2022,101.37,61.30,HOLD,0.46,,0.00
11-23-2022,100.91,60.38,HOLD,1.09,,0.00
11-22-2022,99.82,58.17,HOLD,1.12,,0.00
11-21-2022,98.71,55.85,HOLD,0.45,,0.00
11-18-2022,98.27,54.93,HOLD,0.40,,0.00
11-17-2022,97.88,54.14,HOLD,-0.55,,0.00
11-16-2022,98.42,55.39,HOLD,0.52,,0.00
11-15-2022,97.91,54.47,HOLD,-1.46,,0.00
11-14-2022,99.36,57.60,HOLD,-1.17,,0.00
11-11-2022,100.54,60.21,HOLD,4.66,,0.00
11-10-2022,96.06,52.63,HOLD,4.89,,0.00
11-09-2022,91.58,42.47,HOLD,0.19,,0.00
11-08-2022,91.41,42.03,HOLD,-4.96,,0.00
11-07-2022,96.18,52.44,HOLD,1.42,,0.00
11-04-2022,94.83,49.13,HOLD,1.66,,0.00
