Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,85.70,69.12,HOLD,-0.36,7.73,19.71
01-26-2023,86.01,71.26,HOLD,1.22,8.12,16.99
01-25-2023,84.97,68.20,HOLD,1.59,6.81,14.59
01-24-2023,83.64,63.60,HOLD,0.19,5.14,11.02
01-23-2023,83.48,63.00,HOLD,0.34,4.94,11.62
01-20-2023,83.20,61.99,HOLD,-0.81,4.59,11.29
01-19-2023,83.88,66.07,HOLD,1.96,5.44,12.17
01-18-2023,82.27,60.33,HOLD,1.24,3.42,9.68
01-17-2023,81.26,55.99,HOLD,0.53,2.15,8.52
01-13-2023,80.83,54.00,HOLD,0.47,1.61,9.75
01-12-2023,80.45,52.22,HOLD,0.97,1.13,9.28
01-11-2023,79.68,48.49,HOLD,0.16,0.16,7.04
01-10-2023,79.55,47.85,HOLD,0.93,0.00,6.55
01-09-2023,78.82,44.24,HOLD,-2.53,-0.92,7.69
01-06-2023,80.87,53.98,HOLD,0.89,1.66,11.35
01-05-2023,80.16,50.47,HOLD,1.37,0.77,13.78
01-04-2023,79.08,44.50,HOLD,-0.59,-0.59,10.12
01-03-2023,79.55,46.78,HOLD,-0.96,0.00,7.54
12-30-2022,80.32,50.73,HOLD,1.06,,0.00
12-29-2022,79.48,46.12,HOLD,0.05,,0.00
12-28-2022,79.44,45.90,HOLD,-0.19,,0.00
12-27-2022,79.59,46.57,HOLD,-2.18,,0.00
12-23-2022,81.36,55.50,HOLD,0.30,,0.00
12-22-2022,81.12,54.40,HOLD,0.75,,0.00
12-21-2022,80.52,51.62,HOLD,-0.68,,0.00
12-20-2022,81.07,54.45,HOLD,0.60,,0.00
12-19-2022,80.59,52.33,HOLD,-1.76,,0.00
12-16-2022,82.03,60.10,HOLD,-0.24,,0.00
12-15-2022,82.23,61.28,HOLD,-0.53,,0.00
12-14-2022,82.67,63.82,HOLD,-0.29,,0.00
12-13-2022,82.91,65.19,HOLD,0.67,,0.00
12-12-2022,82.36,63.52,HOLD,0.02,,0.00
12-09-2022,82.34,63.47,HOLD,-2.10,,0.00
12-08-2022,84.11,73.22,HOLD,0.10,,0.00
12-07-2022,84.03,73.04,HOLD,1.81,,0.00
12-06-2022,82.54,69.63,HOLD,-1.83,,0.00
12-05-2022,84.08,79.25,SELL,1.14,,0.00
12-02-2022,83.13,77.47,SELL,3.04,,0.00
12-01-2022,80.68,71.63,HOLD,1.27,,0.00
11-30-2022,79.67,68.51,HOLD,2.40,,0.00
11-29-2022,77.80,61.16,HOLD,-0.04,,0.00
11-28-2022,77.83,61.38,HOLD,-0.55,,0.00
11-25-2022,78.26,64.36,HOLD,0.64,,0.00
11-23-2022,77.76,62.39,HOLD,-0.65,,0.00
11-22-2022,78.27,65.85,HOLD,-0.18,,0.00
11-21-2022,78.41,66.79,HOLD,1.24,,0.00
11-18-2022,77.45,63.45,HOLD,-0.65,,0.00
11-17-2022,77.96,66.76,HOLD,1.63,,0.00
11-16-2022,76.71,62.29,HOLD,0.12,,0.00
11-15-2022,76.62,61.95,HOLD,-0.61,,0.00
11-14-2022,77.09,64.80,HOLD,-0.57,,0.00
11-11-2022,77.53,67.50,HOLD,-0.32,,0.00
11-10-2022,77.78,69.02,HOLD,0.73,,0.00
11-09-2022,77.22,67.50,HOLD,0.69,,0.00
11-08-2022,76.69,66.04,HOLD,1.04,,0.00
11-07-2022,75.90,63.77,HOLD,-1.81,,0.00
11-04-2022,77.30,71.62,HOLD,0.52,,0.00
11-03-2022,76.90,70.67,HOLD,-0.32,,0.00
11-02-2022,77.15,72.08,HOLD,0.26,,0.00
11-01-2022,76.95,71.66,HOLD,3.51,,0.00
10-31-2022,74.34,65.33,HOLD,-0.35,,0.00
10-28-2022,74.60,66.70,HOLD,2.39,,0.00
10-27-2022,72.86,61.68,HOLD,-1.03,,0.00
10-26-2022,73.62,65.70,HOLD,1.66,,0.00
10-25-2022,72.42,62.07,HOLD,-0.07,,0.00
10-24-2022,72.47,62.33,HOLD,2.68,,0.00
10-21-2022,70.58,55.98,HOLD,2.35,,0.00
10-20-2022,68.96,49.17,HOLD,-0.91,,0.00
10-19-2022,69.59,52.08,HOLD,-2.14,,0.00
10-18-2022,71.11,60.05,HOLD,1.07,,0.00
10-17-2022,70.36,57.04,HOLD,1.82,,0.00
10-14-2022,69.10,51.31,HOLD,0.99,,0.00
10-13-2022,68.42,47.83,HOLD,1.35,,0.00
10-12-2022,67.51,42.74,HOLD,0.39,,0.00
10-11-2022,67.25,41.21,HOLD,-0.49,,0.00
10-10-2022,67.58,42.55,HOLD,-1.23,,0.00
10-07-2022,68.42,46.07,HOLD,-1.75,,0.00
10-06-2022,69.64,51.86,HOLD,0.20,,0.00
