Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,28.16,45.97,HOLD,-6.41,5.35,-41.39
01-26-2023,30.09,60.03,HOLD,1.31,12.57,-41.79
01-25-2023,29.70,57.59,HOLD,-0.74,11.11,-41.76
01-24-2023,29.92,59.49,HOLD,-1.16,11.93,-42.40
01-23-2023,30.27,62.53,HOLD,3.59,13.24,-41.83
01-20-2023,29.22,56.31,HOLD,2.81,9.32,-43.85
01-19-2023,28.42,50.49,HOLD,-1.35,6.32,-47.00
01-18-2023,28.81,53.73,HOLD,-2.67,7.78,-47.39
01-17-2023,29.60,61.10,HOLD,-1.69,10.74,-46.86
01-13-2023,30.11,66.57,HOLD,-0.59,12.64,-45.19
01-12-2023,30.29,68.59,HOLD,1.47,13.32,-45.66
01-11-2023,29.85,66.27,HOLD,1.39,11.67,-46.61
01-10-2023,29.44,63.97,HOLD,0.44,10.14,-46.68
01-09-2023,29.31,63.24,HOLD,2.02,9.65,-45.15
01-06-2023,28.73,59.83,HOLD,4.25,7.48,-46.81
01-05-2023,27.56,51.40,HOLD,-0.43,3.11,-48.84
01-04-2023,27.68,52.44,HOLD,3.55,3.55,-47.91
01-03-2023,26.73,44.05,HOLD,1.14,0.00,-49.77
12-30-2022,26.43,41.00,HOLD,0.84,,0.00
12-29-2022,26.21,38.72,HOLD,2.62,,0.00
12-28-2022,25.54,31.21,HOLD,-1.54,,0.00
12-27-2022,25.94,33.49,HOLD,-0.57,,0.00
12-23-2022,26.09,34.36,HOLD,0.46,,0.00
12-22-2022,25.97,33.06,HOLD,-3.21,,0.00
12-21-2022,26.83,38.06,HOLD,1.48,,0.00
12-20-2022,26.44,33.85,HOLD,-1.31,,0.00
12-19-2022,26.79,35.88,HOLD,-0.48,,0.00
12-16-2022,26.92,36.64,HOLD,-0.85,,0.00
12-15-2022,27.15,37.96,HOLD,-3.93,,0.00
12-14-2022,28.26,45.25,HOLD,-1.64,,0.00
12-13-2022,28.73,48.95,HOLD,0.14,,0.00
12-12-2022,28.69,48.62,HOLD,1.59,,0.00
12-09-2022,28.24,44.88,HOLD,-0.70,,0.00
12-08-2022,28.44,46.27,HOLD,0.39,,0.00
12-07-2022,28.33,45.41,HOLD,-0.94,,0.00
12-06-2022,28.60,47.13,HOLD,-1.95,,0.00
12-05-2022,29.17,50.93,HOLD,-0.82,,0.00
12-02-2022,29.41,52.59,HOLD,-1.41,,0.00
12-01-2022,29.83,55.53,HOLD,-0.80,,0.00
11-30-2022,30.07,57.23,HOLD,4.05,,0.00
11-29-2022,28.90,50.36,HOLD,0.59,,0.00
11-28-2022,28.73,49.27,HOLD,-2.08,,0.00
11-25-2022,29.34,53.19,HOLD,-1.11,,0.00
11-23-2022,29.67,55.40,HOLD,-0.50,,0.00
11-22-2022,29.82,56.39,HOLD,3.04,,0.00
11-21-2022,28.94,51.68,HOLD,-3.11,,0.00
11-18-2022,29.87,57.81,HOLD,-0.07,,0.00
11-17-2022,29.89,57.95,HOLD,1.22,,0.00
11-16-2022,29.53,56.21,HOLD,-3.84,,0.00
11-15-2022,30.71,64.29,HOLD,1.19,,0.00
11-14-2022,30.35,62.78,HOLD,-0.26,,0.00
11-11-2022,30.43,63.33,HOLD,2.25,,0.00
11-10-2022,29.76,60.63,HOLD,8.14,,0.00
11-09-2022,27.52,48.92,HOLD,-3.37,,0.00
11-08-2022,28.48,55.48,HOLD,0.25,,0.00
11-07-2022,28.41,55.07,HOLD,0.74,,0.00
11-04-2022,28.20,53.90,HOLD,2.96,,0.00
11-03-2022,27.39,49.12,HOLD,-0.11,,0.00
11-02-2022,27.42,49.30,HOLD,-3.11,,0.00
11-01-2022,28.30,54.62,HOLD,-0.46,,0.00
10-31-2022,28.43,55.44,HOLD,-2.20,,0.00
10-28-2022,29.07,59.53,HOLD,10.66,,0.00
10-27-2022,26.27,42.21,HOLD,-3.45,,0.00
10-26-2022,27.21,48.70,HOLD,-0.73,,0.00
10-25-2022,27.41,50.23,HOLD,0.85,,0.00
10-24-2022,27.18,48.51,HOLD,0.78,,0.00
10-21-2022,26.97,46.95,HOLD,3.41,,0.00
10-20-2022,26.08,39.78,HOLD,0.31,,0.00
10-19-2022,26.00,39.09,HOLD,0.50,,0.00
