Date,Price,RSI,STATUS
12-16-2022,35.61,46.76,HOLD
12-15-2022,36.54,55.06,HOLD
12-14-2022,37.10,61.13,HOLD
12-13-2022,37.22,62.50,HOLD
12-12-2022,36.80,59.55,HOLD
12-09-2022,36.08,53.77,HOLD
12-08-2022,36.17,54.67,HOLD
12-07-2022,36.15,54.52,HOLD
12-06-2022,36.42,57.01,HOLD
12-05-2022,36.52,57.93,HOLD
12-02-2022,37.10,63.39,HOLD
12-01-2022,37.39,66.30,HOLD
11-30-2022,37.12,64.91,HOLD
11-29-2022,36.33,60.48,HOLD
11-28-2022,35.78,56.97,HOLD
11-25-2022,36.72,66.32,HOLD
11-23-2022,36.81,67.30,HOLD
11-22-2022,36.71,66.80,HOLD
11-21-2022,36.19,64.11,HOLD
11-18-2022,35.77,61.78,HOLD
11-17-2022,35.74,61.62,HOLD
11-16-2022,35.78,61.95,HOLD
11-15-2022,36.51,68.15,HOLD
11-14-2022,36.21,66.88,HOLD
11-11-2022,36.17,66.71,HOLD
11-10-2022,34.70,59.95,HOLD
11-09-2022,32.80,47.11,HOLD
11-08-2022,33.10,49.41,HOLD
11-07-2022,33.17,49.94,HOLD
11-04-2022,33.24,50.51,HOLD
11-03-2022,32.28,43.09,HOLD
11-02-2022,32.31,43.28,HOLD
11-01-2022,33.11,48.48,HOLD
10-31-2022,33.19,49.02,HOLD
10-28-2022,33.39,50.39,HOLD
10-27-2022,32.57,44.72,HOLD
10-26-2022,32.80,46.08,HOLD
10-25-2022,33.02,47.35,HOLD
10-24-2022,32.55,44.30,HOLD
10-21-2022,32.66,44.86,HOLD
10-20-2022,31.51,36.90,HOLD
10-19-2022,32.15,39.87,HOLD
10-18-2022,33.12,44.93,HOLD
10-17-2022,32.81,42.80,HOLD
10-14-2022,32.21,38.44,HOLD
10-13-2022,32.37,39.17,HOLD
10-12-2022,31.10,29.24,BUY
10-11-2022,31.18,29.52,BUY
10-10-2022,31.17,29.44,BUY
10-07-2022,31.16,29.37,BUY
10-06-2022,31.79,31.29,HOLD
10-05-2022,32.45,33.41,HOLD
10-04-2022,32.83,34.65,HOLD
10-03-2022,32.13,30.16,HOLD
09-30-2022,31.30,24.45,BUY
09-29-2022,31.68,25.34,BUY
09-28-2022,32.30,26.78,BUY
09-27-2022,31.50,21.34,BUY
09-26-2022,31.37,20.46,BUY
09-23-2022,32.68,22.90,BUY
09-22-2022,33.38,24.33,BUY
09-21-2022,33.83,25.27,BUY
09-20-2022,34.39,26.46,BUY
09-19-2022,36.06,30.41,HOLD
09-16-2022,34.78,22.17,BUY
09-15-2022,39.18,35.72,HOLD
09-14-2022,39.18,35.72,HOLD
09-13-2022,39.98,39.51,HOLD
09-12-2022,41.64,49.65,HOLD
09-09-2022,41.19,46.21,HOLD
09-08-2022,41.04,45.05,HOLD
09-07-2022,40.54,41.04,HOLD
09-06-2022,39.82,34.70,HOLD
09-02-2022,40.41,37.80,HOLD
09-01-2022,40.79,39.90,HOLD
08-31-2022,41.09,41.65,HOLD
08-30-2022,41.57,44.46,HOLD
08-29-2022,41.62,44.75,HOLD
08-26-2022,42.08,47.46,HOLD
08-25-2022,43.32,55.83,HOLD
08-24-2022,42.07,47.10,HOLD
08-23-2022,42.24,48.30,HOLD
08-22-2022,41.96,46.21,HOLD
08-19-2022,43.04,54.11,HOLD
08-18-2022,43.58,58.83,HOLD
08-17-2022,43.84,61.17,HOLD
08-16-2022,44.41,66.66,HOLD
08-15-2022,43.93,64.14,HOLD
08-12-2022,43.95,64.32,HOLD
08-11-2022,42.79,57.68,HOLD
08-10-2022,42.41,55.13,HOLD
08-09-2022,41.53,48.48,HOLD
08-08-2022,41.50,48.24,HOLD
08-05-2022,40.83,42.59,HOLD
08-04-2022,40.90,43.10,HOLD
08-03-2022,41.63,48.00,HOLD
08-02-2022,41.36,45.92,HOLD
08-01-2022,41.83,49.18,HOLD
07-29-2022,41.78,48.82,HOLD
07-28-2022,42.03,50.44,HOLD
07-27-2022,41.64,47.88,HOLD
07-26-2022,40.82,42.02,HOLD
07-25-2022,42.46,53.10,HOLD
07-22-2022,42.19,51.18,HOLD
07-21-2022,42.27,51.76,HOLD
07-20-2022,41.95,49.56,HOLD
07-19-2022,41.63,47.33,HOLD
07-18-2022,40.46,38.17,HOLD
07-15-2022,40.95,40.94,HOLD
07-14-2022,40.82,39.80,HOLD
07-13-2022,41.17,41.73,HOLD
07-12-2022,41.78,45.28,HOLD
07-11-2022,41.26,41.30,HOLD
07-08-2022,41.72,43.94,HOLD
07-07-2022,42.07,45.92,HOLD
07-06-2022,40.90,36.93,HOLD
07-05-2022,40.65,34.72,HOLD
07-01-2022,41.01,36.40,HOLD
06-30-2022,40.86,35.22,HOLD
06-29-2022,41.46,37.88,HOLD
06-28-2022,41.36,37.16,HOLD
06-27-2022,41.82,39.14,HOLD
06-24-2022,41.85,39.26,HOLD
06-23-2022,40.17,26.93,BUY
06-22-2022,40.29,27.29,BUY
06-21-2022,40.91,29.22,BUY
06-17-2022,41.37,30.70,HOLD
06-16-2022,41.72,31.84,HOLD
06-15-2022,43.03,36.57,HOLD
06-14-2022,42.61,33.63,HOLD
06-13-2022,42.14,30.29,HOLD
06-10-2022,43.96,36.99,HOLD
06-09-2022,45.21,43.08,HOLD
06-08-2022,46.19,48.93,HOLD
06-07-2022,46.82,53.29,HOLD
06-06-2022,46.17,48.94,HOLD
06-03-2022,46.00,47.79,HOLD
06-02-2022,46.40,50.32,HOLD
06-01-2022,46.35,50.02,HOLD
05-31-2022,47.33,56.34,HOLD
05-27-2022,48.17,62.67,HOLD
05-26-2022,47.56,59.58,HOLD
05-25-2022,46.33,52.30,HOLD
05-24-2022,45.66,47.43,HOLD
05-23-2022,46.57,54.43,HOLD
05-20-2022,45.94,49.64,HOLD
05-19-2022,46.26,52.26,HOLD
05-18-2022,46.76,56.43,HOLD
05-17-2022,47.58,64.36,HOLD
05-16-2022,46.33,55.55,HOLD
05-13-2022,46.24,54.75,HOLD
05-12-2022,46.03,53.09,HOLD
05-11-2022,46.12,53.88,HOLD
05-10-2022,46.29,55.40,HOLD
05-09-2022,46.26,55.14,HOLD
05-06-2022,46.59,57.89,HOLD
05-05-2022,46.55,57.61,HOLD
05-04-2022,46.91,60.46,HOLD
05-03-2022,45.30,50.47,HOLD
05-02-2022,45.04,48.52,HOLD
04-29-2022,44.77,46.56,HOLD
04-28-2022,45.94,55.22,HOLD
04-27-2022,45.82,54.43,HOLD
04-26-2022,45.49,52.22,HOLD
04-25-2022,45.95,55.69,HOLD
04-22-2022,46.17,57.42,HOLD
04-21-2022,48.07,76.29,SELL
04-20-2022,47.80,75.22,SELL
04-19-2022,47.07,72.02,SELL
04-18-2022,45.92,65.56,HOLD
04-14-2022,45.89,65.37,HOLD
04-13-2022,45.52,63.01,HOLD
04-12-2022,45.12,60.29,HOLD
04-11-2022,45.15,60.59,HOLD
04-08-2022,45.18,60.88,HOLD
04-07-2022,43.90,51.63,HOLD
04-06-2022,44.20,54.44,HOLD
04-05-2022,44.29,55.25,HOLD
04-04-2022,44.41,56.28,HOLD
04-01-2022,44.79,59.75,HOLD
03-31-2022,44.65,58.87,HOLD
03-30-2022,44.88,60.85,HOLD
03-29-2022,45.17,63.32,HOLD
03-28-2022,44.62,60.49,HOLD
03-25-2022,44.81,62.05,HOLD
03-24-2022,43.77,56.40,HOLD
03-23-2022,43.18,52.71,HOLD
03-22-2022,43.62,56.03,HOLD
03-21-2022,43.30,54.11,HOLD
03-18-2022,43.55,55.83,HOLD
