Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,64.24,64.88,HOLD,0.96,4.56,2023
01-09-2023,63.63,62.71,HOLD,-0.17,3.56,2023
01-06-2023,63.74,63.37,HOLD,1.94,3.74,2023
01-05-2023,62.53,58.99,HOLD,-0.43,1.77,2023
01-04-2023,62.80,60.49,HOLD,2.21,2.21,2023
01-03-2023,61.44,55.16,HOLD,1.37,0.00,2023
12-30-2022,60.61,51.45,HOLD,-0.66,,2022
12-29-2022,61.01,53.43,HOLD,2.28,,2022
12-28-2022,59.65,46.99,HOLD,-2.12,,2022
12-27-2022,60.94,53.50,HOLD,-0.15,,2022
12-23-2022,61.03,53.99,HOLD,-0.15,,2022
12-22-2022,61.12,54.45,HOLD,-0.46,,2022
12-21-2022,61.40,55.81,HOLD,1.87,,2022
12-20-2022,60.27,51.22,HOLD,-0.76,,2022
12-19-2022,60.73,53.32,HOLD,-1.94,,2022
12-16-2022,61.93,59.18,HOLD,-1.45,,2022
12-15-2022,62.84,64.15,HOLD,1.06,,2022
12-14-2022,62.18,62.00,HOLD,-0.29,,2022
12-13-2022,62.36,62.95,HOLD,1.53,,2022
12-12-2022,61.42,59.96,HOLD,1.29,,2022
12-09-2022,60.64,57.31,HOLD,-0.75,,2022
12-08-2022,61.10,59.47,HOLD,0.36,,2022
12-07-2022,60.88,58.78,HOLD,2.54,,2022
12-06-2022,59.37,53.76,HOLD,-1.36,,2022
12-05-2022,60.19,57.27,HOLD,-1.79,,2022
12-02-2022,61.29,62.35,HOLD,-0.66,,2022
12-01-2022,61.70,64.33,HOLD,1.35,,2022
11-30-2022,60.88,62.10,HOLD,2.25,,2022
11-29-2022,59.54,58.13,HOLD,0.80,,2022
11-28-2022,59.07,56.65,HOLD,-1.60,,2022
11-25-2022,60.03,60.72,HOLD,-0.03,,2022
11-23-2022,60.05,60.80,HOLD,1.09,,2022
11-22-2022,59.40,59.08,HOLD,2.38,,2022
11-21-2022,58.02,55.22,HOLD,-0.84,,2022
11-18-2022,58.51,56.99,HOLD,0.24,,2022
11-17-2022,58.37,56.62,HOLD,-1.65,,2022
11-16-2022,59.35,59.98,HOLD,-1.12,,2022
11-15-2022,60.02,62.32,HOLD,2.72,,2022
11-14-2022,58.43,58.77,HOLD,-3.55,,2022
11-11-2022,60.58,66.66,HOLD,0.92,,2022
11-10-2022,60.03,65.56,HOLD,11.00,,2022
11-09-2022,54.08,48.54,HOLD,-0.48,,2022
11-08-2022,54.34,49.53,HOLD,-0.11,,2022
11-07-2022,54.40,49.75,HOLD,0.63,,2022
11-04-2022,54.06,48.56,HOLD,2.06,,2022
11-03-2022,52.97,44.64,HOLD,-1.83,,2022
11-02-2022,53.96,47.70,HOLD,-3.81,,2022
11-01-2022,56.10,55.31,HOLD,-0.32,,2022
10-31-2022,56.28,56.01,HOLD,-1.21,,2022
10-28-2022,56.97,58.64,HOLD,2.67,,2022
10-27-2022,55.49,54.37,HOLD,0.22,,2022
10-26-2022,55.37,54.01,HOLD,-0.75,,2022
10-25-2022,55.79,55.42,HOLD,5.07,,2022
10-24-2022,53.10,47.22,HOLD,1.51,,2022
10-21-2022,52.31,44.43,HOLD,3.07,,2022
10-20-2022,50.75,38.47,HOLD,-1.86,,2022
10-19-2022,51.71,40.98,HOLD,-5.24,,2022
10-18-2022,54.57,50.02,HOLD,2.79,,2022
10-17-2022,53.09,44.09,HOLD,2.25,,2022
10-14-2022,51.92,38.76,HOLD,-3.44,,2022
10-13-2022,53.77,45.07,HOLD,-0.04,,2022
10-12-2022,53.79,45.14,HOLD,-1.84,,2022
10-11-2022,54.80,48.89,HOLD,0.02,,2022
10-10-2022,54.79,48.85,HOLD,-0.02,,2022
10-07-2022,54.80,48.89,HOLD,-2.61,,2022
10-06-2022,56.27,54.14,HOLD,0.45,,2022
10-05-2022,56.02,53.35,HOLD,-1.01,,2022
10-04-2022,56.59,55.37,HOLD,4.49,,2022
10-03-2022,54.16,47.49,HOLD,4.07,,2022
09-30-2022,52.04,38.73,HOLD,-0.69,,2022
09-29-2022,52.40,39.77,HOLD,-2.96,,2022
09-28-2022,54.00,44.77,HOLD,5.04,,2022
09-27-2022,51.41,31.92,HOLD,-0.04,,2022
09-26-2022,51.43,31.97,HOLD,-3.27,,2022
09-23-2022,53.17,36.96,HOLD,0.15,,2022
09-22-2022,53.09,36.54,HOLD,-1.23,,2022
09-21-2022,53.75,38.52,HOLD,-1.23,,2022
09-20-2022,54.42,40.59,HOLD,-1.96,,2022
09-19-2022,55.51,44.18,HOLD,2.25,,2022
09-16-2022,54.29,38.53,HOLD,1.19,,2022
09-15-2022,53.65,35.34,HOLD,-0.17,,2022
09-14-2022,53.74,35.58,HOLD,-1.12,,2022
09-13-2022,54.35,37.18,HOLD,-6.50,,2022
09-12-2022,58.13,50.11,HOLD,0.82,,2022
09-09-2022,57.66,48.02,HOLD,2.00,,2022
09-08-2022,56.53,42.66,HOLD,0.75,,2022
09-07-2022,56.11,40.55,HOLD,2.48,,2022
09-06-2022,54.75,33.14,HOLD,-1.53,,2022
09-02-2022,55.60,35.72,HOLD,-0.36,,2022
09-01-2022,55.80,36.34,HOLD,-0.43,,2022
08-31-2022,56.04,37.06,HOLD,-1.36,,2022
08-30-2022,56.81,39.37,HOLD,-0.91,,2022
08-29-2022,57.33,40.97,HOLD,-0.57,,2022
08-26-2022,57.66,41.98,HOLD,-4.49,,2022
08-25-2022,60.37,51.66,HOLD,1.77,,2022
08-24-2022,59.32,47.28,HOLD,1.40,,2022
08-23-2022,58.50,43.58,HOLD,-0.51,,2022
08-22-2022,58.80,44.65,HOLD,-2.23,,2022
08-19-2022,60.14,49.68,HOLD,-2.87,,2022
08-18-2022,61.92,57.71,HOLD,0.08,,2022
08-17-2022,61.87,57.53,HOLD,-1.72,,2022
08-16-2022,62.95,62.87,HOLD,0.56,,2022
08-15-2022,62.60,61.80,HOLD,-0.49,,2022
08-12-2022,62.91,63.30,HOLD,1.47,,2022
08-11-2022,62.00,60.71,HOLD,0.71,,2022
08-10-2022,61.56,59.42,HOLD,3.92,,2022
08-09-2022,59.24,51.68,HOLD,-3.44,,2022
08-08-2022,61.35,61.60,HOLD,1.47,,2022
08-05-2022,60.46,58.48,HOLD,-0.49,,2022
08-04-2022,60.76,60.01,HOLD,2.26,,2022
08-03-2022,59.42,55.15,HOLD,0.37,,2022
08-02-2022,59.20,54.30,HOLD,-3.91,,2022
08-01-2022,61.61,67.21,HOLD,0.87,,2022
07-29-2022,61.08,65.54,HOLD,0.44,,2022
07-28-2022,60.81,64.69,HOLD,1.32,,2022
07-27-2022,60.02,62.14,HOLD,2.02,,2022
07-26-2022,58.83,57.90,HOLD,-1.41,,2022
07-25-2022,59.67,62.49,HOLD,-1.65,,2022
07-22-2022,60.67,68.49,HOLD,1.02,,2022
07-21-2022,60.06,66.68,HOLD,2.40,,2022
07-20-2022,58.65,61.98,HOLD,0.10,,2022
07-19-2022,58.59,61.77,HOLD,2.66,,2022
07-18-2022,57.07,55.97,HOLD,-0.59,,2022
