Date,Price,RSI,STATUS
12-16-2022,119.07,43.47,HOLD
12-15-2022,119.59,44.66,HOLD
12-14-2022,122.57,52.28,HOLD
12-13-2022,122.76,52.82,HOLD
12-12-2022,121.16,48.73,HOLD
12-09-2022,121.36,49.22,HOLD
12-08-2022,122.05,50.88,HOLD
12-07-2022,122.72,52.47,HOLD
12-06-2022,121.89,50.69,HOLD
12-05-2022,121.88,50.67,HOLD
12-02-2022,125.09,57.89,HOLD
12-01-2022,124.54,56.91,HOLD
11-30-2022,126.54,61.74,HOLD
11-29-2022,122.77,55.07,HOLD
11-28-2022,121.77,53.05,HOLD
11-25-2022,123.62,57.48,HOLD
11-23-2022,122.70,55.77,HOLD
11-22-2022,123.50,57.64,HOLD
11-21-2022,122.32,55.61,HOLD
11-18-2022,126.04,64.72,HOLD
11-17-2022,124.26,61.95,HOLD
11-16-2022,124.88,63.56,HOLD
11-15-2022,124.80,63.45,HOLD
11-14-2022,124.08,62.46,HOLD
11-11-2022,125.72,66.23,HOLD
11-10-2022,125.71,66.22,HOLD
11-09-2022,116.99,53.31,HOLD
11-08-2022,119.37,59.03,HOLD
11-07-2022,118.91,58.22,HOLD
11-04-2022,118.02,56.70,HOLD
11-03-2022,114.98,51.02,HOLD
11-02-2022,113.12,47.08,HOLD
11-01-2022,114.48,49.80,HOLD
10-31-2022,115.22,51.30,HOLD
10-28-2022,117.03,55.06,HOLD
10-27-2022,114.17,49.65,HOLD
10-26-2022,113.53,48.35,HOLD
10-25-2022,112.59,46.48,HOLD
10-24-2022,110.85,42.92,HOLD
10-21-2022,115.02,50.38,HOLD
10-20-2022,113.02,46.22,HOLD
10-19-2022,114.15,48.34,HOLD
10-18-2022,115.79,51.54,HOLD
10-17-2022,113.26,46.47,HOLD
10-14-2022,110.10,39.07,HOLD
10-13-2022,111.68,41.75,HOLD
10-12-2022,109.58,36.37,HOLD
10-11-2022,111.96,40.29,HOLD
10-10-2022,112.91,41.96,HOLD
10-07-2022,112.39,40.71,HOLD
10-06-2022,113.78,43.02,HOLD
10-05-2022,114.48,44.19,HOLD
10-04-2022,116.19,47.09,HOLD
10-03-2022,112.17,38.22,HOLD
09-30-2022,108.49,27.96,BUY
09-29-2022,108.80,28.33,BUY
09-28-2022,110.24,30.04,HOLD
09-27-2022,109.06,26.69,BUY
09-26-2022,111.57,29.47,BUY
09-23-2022,113.67,32.09,HOLD
09-22-2022,115.92,35.19,HOLD
09-21-2022,116.09,35.43,HOLD
09-20-2022,118.94,39.64,HOLD
09-19-2022,120.28,41.81,HOLD
09-16-2022,117.03,33.62,HOLD
09-15-2022,119.18,36.80,HOLD
09-14-2022,119.44,37.20,HOLD
09-13-2022,119.68,37.54,HOLD
09-12-2022,124.19,44.81,HOLD
09-09-2022,124.78,45.88,HOLD
09-08-2022,123.02,42.03,HOLD
09-07-2022,123.00,41.98,HOLD
09-06-2022,119.66,34.29,HOLD
09-02-2022,118.55,31.50,HOLD
09-01-2022,123.09,37.58,HOLD
08-31-2022,124.32,39.49,HOLD
08-30-2022,124.18,39.17,HOLD
