Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,192.08,48.50,HOLD,0.51,11.29,8.64
01-11-2024,191.11,46.70,HOLD,-0.96,10.72,6.38
01-10-2024,192.97,49.80,HOLD,0.81,11.80,6.80
01-09-2024,191.42,47.08,HOLD,-1.11,10.90,9.15
01-08-2024,193.56,50.59,HOLD,1.89,12.14,8.96
01-05-2024,189.97,44.10,HOLD,0.49,10.06,7.91
01-04-2024,189.04,42.28,HOLD,-1.52,9.52,11.73
01-03-2024,191.95,46.71,HOLD,-1.81,11.21,9.70
01-02-2024,195.49,52.97,HOLD,-2.13,13.26,13.26
12-29-2023,199.74,62.28,HOLD,-1.05,15.72,0.00
12-28-2023,201.86,67.80,HOLD,-0.19,16.95,0.00
12-27-2023,202.25,68.84,HOLD,-0.26,17.18,0.00
12-26-2023,202.78,70.20,HOLD,0.54,17.49,0.00
12-22-2023,201.70,69.05,HOLD,0.53,16.86,0.00
12-21-2023,200.64,67.91,HOLD,1.55,16.25,0.00
12-20-2023,197.58,64.40,HOLD,-0.64,14.47,0.00
12-19-2023,198.86,67.26,HOLD,0.20,15.21,0.00
12-18-2023,198.46,66.83,HOLD,-1.86,14.98,0.00
12-15-2023,202.22,75.40,SELL,0.24,17.16,0.00
12-14-2023,201.73,75.02,SELL,2.92,16.88,0.00
12-13-2023,196.01,69.86,HOLD,1.57,13.56,0.00
12-12-2023,192.98,66.46,HOLD,0.16,11.81,0.00
12-11-2023,192.67,66.10,HOLD,3.24,11.63,0.00
12-08-2023,186.62,57.81,HOLD,-1.20,8.12,0.00
12-07-2023,188.89,63.19,HOLD,0.43,9.44,0.00
12-06-2023,188.08,62.02,HOLD,-0.18,8.97,0.00
12-05-2023,188.41,62.78,HOLD,-0.96,9.16,0.00
12-04-2023,190.24,66.98,HOLD,0.23,10.22,0.00
12-01-2023,189.80,66.48,HOLD,2.45,9.97,0.00
11-30-2023,185.27,60.79,HOLD,1.77,7.34,0.00
11-29-2023,182.05,55.85,HOLD,0.79,5.48,0.00
11-28-2023,180.62,53.43,HOLD,0.55,4.65,0.00
11-27-2023,179.64,51.74,HOLD,-1.86,4.08,0.00
11-24-2023,183.05,58.59,HOLD,1.05,6.05,0.00
11-22-2023,181.14,55.53,HOLD,0.45,4.95,0.00
11-21-2023,180.32,54.18,HOLD,1.38,4.47,0.00
11-20-2023,177.86,49.94,HOLD,-0.12,3.05,0.00
11-17-2023,178.08,50.33,HOLD,-0.33,3.17,0.00
11-16-2023,178.67,51.32,HOLD,-1.80,3.52,0.00
11-15-2023,181.94,57.09,HOLD,1.91,5.41,0.00
11-14-2023,178.53,51.84,HOLD,2.82,3.44,0.00
11-13-2023,173.63,42.46,HOLD,-0.11,0.60,0.00
11-10-2023,173.82,42.76,HOLD,1.20,0.71,0.00
11-09-2023,171.76,38.38,HOLD,-1.85,-0.49,0.00
11-08-2023,175.00,43.21,HOLD,0.05,1.39,0.00
11-07-2023,174.92,43.05,HOLD,0.05,1.34,0.00
11-06-2023,174.83,42.87,HOLD,-0.49,1.29,0.00
11-03-2023,175.69,44.06,HOLD,1.87,1.79,0.00
11-02-2023,172.46,38.09,HOLD,-0.28,-0.08,0.00
11-01-2023,172.95,38.67,HOLD,0.63,0.20,0.00
10-31-2023,171.87,36.69,HOLD,1.27,-0.42,0.00
10-30-2023,169.71,32.66,HOLD,2.25,-1.67,0.00
10-27-2023,165.98,25.00,BUY,-1.07,-3.84,0.00
10-26-2023,167.78,26.34,BUY,-1.33,-2.79,0.00
10-25-2023,170.04,28.10,HOLD,-1.52,-1.48,0.00
10-24-2023,172.67,30.29,HOLD,-0.01,0.04,0.00
10-23-2023,172.68,30.30,HOLD,-2.04,0.05,0.00
10-20-2023,176.27,33.35,HOLD,-1.42,2.13,0.00
10-19-2023,178.81,35.72,HOLD,0.08,3.60,0.00
10-18-2023,178.67,35.49,HOLD,-8.85,3.52,0.00
10-17-2023,196.01,61.10,HOLD,-0.39,13.56,0.00
10-16-2023,196.78,62.98,HOLD,2.81,14.01,0.00
10-13-2023,191.41,53.80,HOLD,-0.76,10.90,0.00
10-12-2023,192.88,57.42,HOLD,-0.45,11.75,0.00
10-11-2023,193.76,59.65,HOLD,1.16,12.26,0.00
