Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,56.34,52.67,HOLD,-2.51,-12.97,-18.15
01-11-2024,57.79,63.47,HOLD,0.61,-10.74,-15.49
01-10-2024,57.44,61.71,HOLD,-0.38,-11.28,-15.02
01-09-2024,57.66,63.50,HOLD,0.80,-10.94,-14.34
01-08-2024,57.20,61.32,HOLD,0.03,-11.65,-14.35
01-05-2024,57.18,61.23,HOLD,0.81,-11.68,-14.85
01-04-2024,56.72,59.13,HOLD,1.21,-12.39,-12.78
01-03-2024,56.04,55.84,HOLD,-1.82,-13.44,-14.83
01-02-2024,57.08,63.04,HOLD,-0.97,-11.83,-11.83
12-29-2023,57.64,67.39,HOLD,-0.10,-10.97,0.00
12-28-2023,57.70,67.85,HOLD,0.03,-10.87,0.00
12-27-2023,57.68,67.78,HOLD,0.09,-10.91,0.00
12-26-2023,57.63,67.62,HOLD,1.57,-10.98,0.00
12-22-2023,56.74,64.71,HOLD,1.38,-12.36,0.00
12-21-2023,55.97,61.96,HOLD,2.30,-13.55,0.00
12-20-2023,54.71,56.84,HOLD,1.09,-15.49,0.00
12-19-2023,54.12,54.16,HOLD,1.12,-16.40,0.00
12-18-2023,53.52,51.31,HOLD,2.06,-17.33,0.00
12-15-2023,52.44,45.65,HOLD,-3.07,-19.00,0.00
12-14-2023,54.10,54.72,HOLD,1.52,-16.43,0.00
12-13-2023,53.29,50.24,HOLD,0.19,-17.69,0.00
12-12-2023,53.19,49.67,HOLD,-5.97,-17.84,0.00
12-11-2023,56.57,77.64,SELL,0.87,-12.62,0.00
12-08-2023,56.08,75.80,SELL,1.05,-13.38,0.00
12-07-2023,55.50,73.40,HOLD,0.84,-14.27,0.00
12-06-2023,55.04,71.31,HOLD,1.14,-14.98,0.00
12-05-2023,54.42,68.18,HOLD,0.29,-15.94,0.00
12-04-2023,54.26,67.32,HOLD,0.69,-16.19,0.00
12-01-2023,53.89,65.32,HOLD,2.06,-16.76,0.00
11-30-2023,52.80,58.34,HOLD,0.08,-18.44,0.00
11-29-2023,52.76,58.05,HOLD,0.94,-18.50,0.00
11-28-2023,52.27,54.48,HOLD,-0.31,-19.26,0.00
11-27-2023,52.43,55.92,HOLD,0.06,-19.01,0.00
11-24-2023,52.40,55.72,HOLD,-0.61,-19.06,0.00
11-22-2023,52.72,58.40,HOLD,0.36,-18.57,0.00
11-21-2023,52.53,57.27,HOLD,0.25,-18.86,0.00
11-20-2023,52.40,56.51,HOLD,0.31,-19.06,0.00
11-17-2023,52.24,55.62,HOLD,0.62,-19.31,0.00
11-16-2023,51.92,53.86,HOLD,0.10,-19.80,0.00
11-15-2023,51.87,53.59,HOLD,-1.09,-19.88,0.00
11-14-2023,52.44,57.09,HOLD,3.25,-19.00,0.00
11-13-2023,50.79,47.94,HOLD,-0.90,-21.55,0.00
11-10-2023,51.25,50.74,HOLD,1.99,-20.84,0.00
11-09-2023,50.25,44.15,HOLD,-0.73,-22.38,0.00
