Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,32.01,51.81,HOLD,-0.96,-1.60,1.78
01-26-2023,32.32,55.88,HOLD,1.06,-0.65,2.83
01-25-2023,31.98,52.04,HOLD,-0.09,-1.69,1.46
01-24-2023,32.01,52.41,HOLD,0.50,-1.60,-0.87
01-23-2023,31.85,50.66,HOLD,1.24,-2.09,-3.10
01-20-2023,31.46,46.16,HOLD,0.03,-3.29,-5.55
01-19-2023,31.45,46.04,HOLD,-1.90,-3.32,-6.32
01-18-2023,32.06,52.51,HOLD,-0.19,-1.44,-5.84
01-17-2023,32.12,53.20,HOLD,0.56,-1.26,-7.27
01-13-2023,31.94,51.44,HOLD,0.79,-1.81,-8.40
01-12-2023,31.69,48.96,HOLD,-1.46,-2.58,-9.15
01-11-2023,32.16,53.74,HOLD,1.04,-1.14,-9.05
01-10-2023,31.83,50.60,HOLD,0.00,-2.15,-7.77
01-09-2023,31.83,50.60,HOLD,-0.38,-2.15,-7.04
01-06-2023,31.95,51.70,HOLD,2.50,-1.78,-7.23
01-05-2023,31.17,44.38,HOLD,-2.07,-4.18,-9.02
01-04-2023,31.83,50.38,HOLD,-2.15,-2.15,-9.01
01-03-2023,32.53,58.10,HOLD,1.78,0.00,-8.00
12-30-2022,31.96,52.61,HOLD,-0.22,,0.00
12-29-2022,32.03,53.41,HOLD,2.14,,0.00
12-28-2022,31.36,46.14,HOLD,-1.32,,0.00
12-27-2022,31.78,50.75,HOLD,0.35,,0.00
12-23-2022,31.67,49.52,HOLD,0.89,,0.00
12-22-2022,31.39,46.36,HOLD,-1.13,,0.00
12-21-2022,31.75,50.10,HOLD,-0.09,,0.00
12-20-2022,31.78,50.42,HOLD,0.35,,0.00
12-19-2022,31.67,49.33,HOLD,-0.35,,0.00
12-16-2022,31.78,50.36,HOLD,-1.58,,0.00
12-15-2022,32.29,55.29,HOLD,-2.39,,0.00
12-14-2022,33.08,64.36,HOLD,-0.15,,0.00
12-13-2022,33.13,64.98,HOLD,0.24,,0.00
12-12-2022,33.05,64.47,HOLD,2.07,,0.00
12-09-2022,32.38,59.89,HOLD,-0.22,,0.00
12-08-2022,32.45,60.65,HOLD,1.50,,0.00
12-07-2022,31.97,57.20,HOLD,-0.56,,0.00
12-06-2022,32.15,59.00,HOLD,-1.17,,0.00
12-05-2022,32.53,62.88,HOLD,-1.00,,0.00
12-02-2022,32.86,66.40,HOLD,-0.18,,0.00
12-01-2022,32.92,67.04,HOLD,-0.96,,0.00
11-30-2022,33.24,70.36,HOLD,4.30,,0.00
11-29-2022,31.87,63.08,HOLD,-0.13,,0.00
11-28-2022,31.91,63.50,HOLD,-0.34,,0.00
11-25-2022,32.02,64.61,HOLD,0.91,,0.00
11-23-2022,31.73,63.03,HOLD,-1.58,,0.00
11-22-2022,32.24,67.98,HOLD,1.16,,0.00
11-21-2022,31.87,66.19,HOLD,0.95,,0.00
11-18-2022,31.57,64.71,HOLD,3.47,,0.00
11-17-2022,30.51,58.78,HOLD,1.94,,0.00
11-16-2022,29.93,54.93,HOLD,-1.74,,0.00
11-15-2022,30.46,59.66,HOLD,0.73,,0.00
11-14-2022,30.24,58.28,HOLD,-0.85,,0.00
11-11-2022,30.50,60.55,HOLD,-0.03,,0.00
11-10-2022,30.51,60.64,HOLD,5.43,,0.00
11-09-2022,28.94,50.56,HOLD,-3.66,,0.00
11-08-2022,30.04,60.67,HOLD,0.74,,0.00
11-07-2022,29.82,59.15,HOLD,-1.00,,0.00
11-04-2022,30.12,62.18,HOLD,0.94,,0.00
11-03-2022,29.84,60.42,HOLD,-0.90,,0.00
11-02-2022,30.11,63.05,HOLD,-2.59,,0.00
11-01-2022,30.91,71.62,HOLD,1.01,,0.00
10-31-2022,30.60,70.16,HOLD,-0.75,,0.00
10-28-2022,30.83,72.74,HOLD,1.82,,0.00
10-27-2022,30.28,70.32,HOLD,0.93,,0.00
10-26-2022,30.00,69.02,HOLD,2.88,,0.00
10-25-2022,29.16,64.71,HOLD,2.35,,0.00
10-24-2022,28.49,60.66,HOLD,-0.94,,0.00
10-21-2022,28.76,63.38,HOLD,4.17,,0.00
10-20-2022,27.61,55.48,HOLD,0.88,,0.00
10-19-2022,27.37,53.54,HOLD,-0.26,,0.00
10-18-2022,27.44,54.18,HOLD,3.12,,0.00
10-17-2022,26.61,47.23,HOLD,3.10,,0.00
10-14-2022,25.81,38.94,HOLD,-1.94,,0.00
10-13-2022,26.32,42.93,HOLD,1.58,,0.00
10-12-2022,25.91,38.21,HOLD,0.39,,0.00
10-11-2022,25.81,37.02,HOLD,-1.97,,0.00
10-10-2022,26.33,40.79,HOLD,-1.53,,0.00
10-07-2022,26.74,44.07,HOLD,-2.90,,0.00
10-06-2022,27.54,51.60,HOLD,-0.15,,0.00
10-05-2022,27.58,52.01,HOLD,-0.18,,0.00
10-04-2022,27.63,52.50,HOLD,3.99,,0.00
10-03-2022,26.57,41.77,HOLD,1.72,,0.00
09-30-2022,26.12,36.07,HOLD,0.04,,0.00
09-29-2022,26.11,35.94,HOLD,-2.14,,0.00
