Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,75.94,61.64,HOLD,0.00,0.00,0.00
08-22-2022,75.62,59.81,HOLD,0.00,0.00,0.00
08-19-2022,76.67,70.01,HOLD,0.00,0.00,0.00
08-18-2022,75.91,66.13,HOLD,0.00,0.00,0.00
08-17-2022,75.73,65.13,HOLD,0.00,0.00,0.00
08-16-2022,75.90,66.85,HOLD,0.00,0.00,0.00
08-15-2022,75.85,66.61,HOLD,0.00,0.00,0.00
08-12-2022,75.62,65.54,HOLD,0.00,0.00,0.00
08-11-2022,75.39,64.49,HOLD,0.00,0.00,0.00
08-10-2022,75.51,65.46,HOLD,0.00,0.00,0.00
08-09-2022,75.20,64.16,HOLD,0.00,0.00,0.00
08-08-2022,74.68,61.94,HOLD,0.00,0.00,0.00
08-05-2022,75.04,64.51,HOLD,0.00,0.00,0.00
08-04-2022,73.82,59.18,HOLD,0.00,0.00,0.00
08-03-2022,73.96,60.15,HOLD,0.00,0.00,0.00
08-02-2022,73.87,59.75,HOLD,0.00,0.00,0.00
08-01-2022,74.74,65.52,HOLD,0.00,0.00,0.00
07-29-2022,73.92,62.34,HOLD,0.00,0.00,0.00
07-28-2022,73.26,59.55,HOLD,0.00,0.00,0.00
07-27-2022,72.21,54.58,HOLD,0.00,0.00,0.00
07-26-2022,72.91,59.08,HOLD,0.00,0.00,0.00
07-25-2022,72.10,55.11,HOLD,0.00,0.00,0.00
07-22-2022,71.14,49.74,HOLD,0.00,0.00,0.00
07-21-2022,70.24,43.90,HOLD,0.00,0.00,0.00
07-20-2022,70.51,45.37,HOLD,0.00,0.00,0.00
07-19-2022,71.95,54.37,HOLD,0.00,0.00,0.00
07-18-2022,71.71,52.93,HOLD,0.00,0.00,0.00
07-15-2022,72.45,58.21,HOLD,0.00,0.00,0.00
07-14-2022,72.86,61.36,HOLD,0.00,0.00,0.00
07-13-2022,73.89,70.22,HOLD,0.00,0.00,0.00
07-12-2022,72.99,66.26,HOLD,0.00,0.00,0.00
07-11-2022,72.76,65.17,HOLD,0.00,0.00,0.00
07-08-2022,72.52,64.03,HOLD,0.00,0.00,0.00
07-07-2022,72.84,66.72,HOLD,0.00,0.00,0.00
07-06-2022,72.75,66.35,HOLD,0.00,0.00,0.00
07-05-2022,72.27,64.40,HOLD,0.00,0.00,0.00
07-01-2022,71.78,62.32,HOLD,0.00,0.00,0.00
06-30-2022,71.34,60.40,HOLD,0.00,0.00,0.00
06-29-2022,71.62,62.28,HOLD,0.00,0.00,0.00
06-28-2022,70.87,59.12,HOLD,0.00,0.00,0.00
06-27-2022,70.96,59.67,HOLD,0.00,0.00,0.00
06-24-2022,70.72,58.71,HOLD,0.00,0.00,0.00
06-23-2022,69.32,52.56,HOLD,0.00,0.00,0.00
06-22-2022,67.92,44.95,HOLD,0.00,0.00,0.00
06-21-2022,68.86,49.95,HOLD,0.00,0.00,0.00
06-17-2022,67.54,41.47,HOLD,0.00,0.00,0.00
06-16-2022,67.67,42.12,HOLD,0.00,0.00,0.00
06-15-2022,67.80,42.74,HOLD,0.00,0.00,0.00
06-14-2022,68.34,45.34,HOLD,0.00,0.00,0.00
06-13-2022,68.86,47.94,HOLD,0.00,0.00,0.00
06-10-2022,69.58,51.76,HOLD,0.00,0.00,0.00
06-09-2022,68.66,46.72,HOLD,0.00,0.00,0.00
06-08-2022,68.96,48.25,HOLD,0.00,0.00,0.00
06-07-2022,69.01,48.49,HOLD,0.00,0.00,0.00
06-06-2022,68.45,45.62,HOLD,0.00,0.00,0.00
06-03-2022,67.76,41.92,HOLD,0.00,0.00,0.00
06-02-2022,68.18,43.60,HOLD,0.00,0.00,0.00
06-01-2022,69.00,47.01,HOLD,0.00,0.00,0.00
05-31-2022,69.74,50.31,HOLD,0.00,0.00,0.00
05-27-2022,69.81,50.62,HOLD,0.00,0.00,0.00
05-26-2022,69.88,50.91,HOLD,0.00,0.00,0.00
05-25-2022,70.13,51.91,HOLD,0.00,0.00,0.00
05-24-2022,70.45,53.15,HOLD,0.00,0.00,0.00
05-23-2022,68.47,45.71,HOLD,0.00,0.00,0.00
