Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,56.13,51.23,HOLD,0.00,11.86,5.77
01-11-2024,56.13,51.23,HOLD,0.56,11.86,4.68
01-10-2024,55.82,49.60,HOLD,0.79,11.24,5.58
01-09-2024,55.38,47.29,HOLD,-1.53,10.36,4.65
01-08-2024,56.24,51.59,HOLD,1.94,12.08,9.18
01-05-2024,55.17,45.91,HOLD,-1.11,9.94,6.36
01-04-2024,55.79,49.00,HOLD,-1.36,11.18,11.83
01-03-2024,56.56,53.13,HOLD,-3.15,12.71,11.23
01-02-2024,58.40,65.34,HOLD,-1.60,16.38,16.38
12-29-2023,59.35,73.42,HOLD,0.19,18.27,0.00
12-28-2023,59.24,73.07,HOLD,0.42,18.06,0.00
12-27-2023,58.99,72.28,HOLD,0.17,17.56,0.00
12-26-2023,58.89,71.97,HOLD,0.46,17.36,0.00
12-22-2023,58.62,71.18,HOLD,-0.09,16.82,0.00
12-21-2023,58.67,71.53,HOLD,0.86,16.92,0.00
12-20-2023,58.17,70.17,HOLD,-2.17,15.92,0.00
12-19-2023,59.46,79.22,SELL,2.24,18.49,0.00
12-18-2023,58.16,76.37,SELL,0.59,15.90,0.00
12-15-2023,57.82,75.55,SELL,0.56,15.23,0.00
12-14-2023,57.50,74.79,SELL,1.79,14.59,0.00
12-13-2023,56.49,72.26,HOLD,1.02,12.57,0.00
12-12-2023,55.92,70.73,HOLD,0.00,11.44,0.00
12-11-2023,55.92,70.73,HOLD,2.19,11.44,0.00
12-08-2023,54.72,67.45,HOLD,1.54,9.05,0.00
12-07-2023,53.89,64.93,HOLD,4.24,7.39,0.00
12-06-2023,51.70,56.72,HOLD,-3.13,3.03,0.00
12-05-2023,53.37,67.99,HOLD,-1.71,6.36,0.00
12-04-2023,54.30,75.78,SELL,2.63,8.21,0.00
12-01-2023,52.91,71.20,HOLD,2.26,5.44,0.00
11-30-2023,51.74,66.21,HOLD,0.96,3.11,0.00
11-29-2023,51.25,63.77,HOLD,0.53,2.13,0.00
11-28-2023,50.98,62.37,HOLD,-0.78,1.59,0.00
11-27-2023,51.38,65.86,HOLD,0.67,2.39,0.00
11-24-2023,51.04,64.28,HOLD,0.39,1.71,0.00
11-22-2023,50.84,63.36,HOLD,0.20,1.32,0.00
11-21-2023,50.74,62.92,HOLD,-1.49,1.12,0.00
11-20-2023,51.51,68.89,HOLD,1.72,2.65,0.00
11-17-2023,50.64,65.45,HOLD,0.62,0.92,0.00
11-16-2023,50.33,64.13,HOLD,-0.69,0.30,0.00
11-15-2023,50.68,66.80,HOLD,0.12,1.00,0.00
11-14-2023,50.62,66.58,HOLD,6.12,0.88,0.00
11-13-2023,47.70,52.22,HOLD,-1.00,-4.94,0.00
11-10-2023,48.18,55.88,HOLD,1.30,-3.99,0.00
11-09-2023,47.56,51.83,HOLD,-0.31,-5.22,0.00
11-08-2023,47.71,52.92,HOLD,0.13,-4.92,0.00
11-07-2023,47.65,52.55,HOLD,-1.71,-5.04,0.00
11-06-2023,48.48,58.48,HOLD,1.38,-3.39,0.00
11-03-2023,47.82,54.70,HOLD,1.77,-4.70,0.00
11-02-2023,46.99,49.32,HOLD,2.94,-6.36,0.00
11-01-2023,45.65,38.35,HOLD,0.29,-9.03,0.00
10-31-2023,45.52,37.13,HOLD,1.58,-9.29,0.00
10-30-2023,44.81,30.07,HOLD,-0.40,-10.70,0.00
10-27-2023,44.99,30.89,HOLD,-1.01,-10.34,0.00
10-26-2023,45.45,33.01,HOLD,0.53,-9.43,0.00
10-25-2023,45.21,30.70,HOLD,0.44,-9.90,0.00
10-24-2023,45.01,28.81,HOLD,-1.68,-10.30,0.00
10-23-2023,45.78,31.94,HOLD,-2.14,-8.77,0.00
10-20-2023,46.78,36.75,HOLD,-2.83,-6.78,0.00
10-19-2023,48.14,45.40,HOLD,-0.08,-4.07,0.00
10-18-2023,48.18,45.69,HOLD,-1.77,-3.99,0.00
10-17-2023,49.05,52.55,HOLD,0.99,-2.25,0.00
10-16-2023,48.57,48.60,HOLD,-0.59,-3.21,0.00
10-13-2023,48.86,50.98,HOLD,-1.33,-2.63,0.00
10-12-2023,49.52,56.88,HOLD,-0.72,-1.32,0.00
10-11-2023,49.88,60.42,HOLD,1.38,-0.60,0.00
10-10-2023,49.20,55.57,HOLD,0.96,-1.95,0.00
10-09-2023,48.73,51.77,HOLD,0.35,-2.89,0.00
10-06-2023,48.56,50.35,HOLD,1.42,-3.23,0.00
10-05-2023,47.88,44.24,HOLD,-0.50,-4.58,0.00
10-04-2023,48.12,46.10,HOLD,1.13,-4.11,0.00
10-03-2023,47.58,40.91,HOLD,0.15,-5.18,0.00
10-02-2023,47.51,40.21,HOLD,0.15,-5.32,0.00
09-29-2023,47.44,39.55,HOLD,-0.94,-5.46,0.00
09-28-2023,47.89,42.34,HOLD,1.14,-4.56,0.00
09-27-2023,47.35,37.43,HOLD,1.63,-5.64,0.00
09-26-2023,46.59,29.61,HOLD,-1.25,-7.15,0.00
09-25-2023,47.18,32.54,HOLD,0.40,-5.98,0.00
09-22-2023,46.99,30.48,HOLD,-1.26,-6.36,0.00
09-21-2023,47.59,33.48,HOLD,-1.57,-5.16,0.00
09-20-2023,48.35,37.86,HOLD,-0.12,-3.65,0.00
09-19-2023,48.41,38.22,HOLD,1.23,-3.53,0.00
09-18-2023,47.82,32.23,HOLD,1.57,-4.70,0.00
09-15-2023,47.08,23.61,BUY,-1.94,-6.18,0.00
09-14-2023,48.01,27.72,HOLD,-0.12,-4.32,0.00
09-13-2023,48.07,28.02,HOLD,0.02,-4.20,0.00
09-12-2023,48.06,27.90,HOLD,0.31,-4.22,0.00
09-11-2023,47.91,26.22,BUY,-1.36,-4.52,0.00
09-08-2023,48.57,28.98,HOLD,-0.39,-3.21,0.00
09-07-2023,48.76,29.82,HOLD,-2.23,-2.83,0.00
09-06-2023,49.87,35.39,HOLD,-0.66,-0.62,0.00
09-05-2023,50.20,37.31,HOLD,-2.86,0.04,0.00
09-01-2023,51.68,48.23,HOLD,1.37,2.99,0.00
08-31-2023,50.98,40.59,HOLD,-1.73,1.59,0.00
08-30-2023,51.88,49.26,HOLD,-0.29,3.39,0.00
08-29-2023,52.03,50.95,HOLD,0.08,3.69,0.00
08-28-2023,51.99,50.53,HOLD,-0.33,3.61,0.00
08-25-2023,52.16,52.29,HOLD,0.89,3.95,0.00
08-24-2023,51.70,47.71,HOLD,-0.08,3.03,0.00
08-23-2023,51.74,48.08,HOLD,1.51,3.11,0.00
08-22-2023,50.97,39.66,HOLD,-1.24,1.57,0.00
08-21-2023,51.61,45.34,HOLD,0.04,2.85,0.00
08-18-2023,51.59,45.11,HOLD,0.23,2.81,0.00
08-17-2023,51.47,43.80,HOLD,-0.16,2.57,0.00
08-16-2023,51.55,44.46,HOLD,-0.35,2.73,0.00
08-15-2023,51.73,45.89,HOLD,-1.69,3.09,0.00
08-14-2023,52.62,53.87,HOLD,0.02,4.86,0.00
08-11-2023,52.61,53.78,HOLD,-0.13,4.84,0.00
08-10-2023,52.68,54.43,HOLD,-0.04,4.98,0.00
08-09-2023,52.70,54.60,HOLD,0.15,5.02,0.00
08-08-2023,52.62,54.06,HOLD,-0.53,4.86,0.00
08-07-2023,52.90,56.24,HOLD,1.22,5.42,0.00
08-04-2023,52.26,52.13,HOLD,-1.12,4.15,0.00
08-03-2023,52.85,56.69,HOLD,0.49,5.32,0.00
08-02-2023,52.59,55.08,HOLD,-0.02,4.80,0.00
08-01-2023,52.60,55.16,HOLD,-0.15,4.82,0.00
07-31-2023,52.68,55.70,HOLD,0.90,4.98,0.00
07-28-2023,52.21,53.16,HOLD,0.64,4.05,0.00
07-27-2023,51.88,51.34,HOLD,-0.50,3.39,0.00
07-26-2023,52.14,52.84,HOLD,-1.77,3.91,0.00
07-25-2023,53.08,58.60,HOLD,-1.04,5.78,0.00
07-24-2023,53.64,62.36,HOLD,1.07,6.90,0.00
07-21-2023,53.07,59.93,HOLD,-1.65,5.76,0.00
07-20-2023,53.96,66.12,HOLD,-1.37,7.53,0.00
07-19-2023,54.71,71.92,HOLD,1.20,9.03,0.00
07-18-2023,54.06,69.79,HOLD,2.33,7.73,0.00
07-17-2023,52.83,65.13,HOLD,-0.04,5.28,0.00
07-14-2023,52.85,65.28,HOLD,1.32,5.32,0.00
07-13-2023,52.16,62.47,HOLD,1.28,3.95,0.00
07-12-2023,51.50,59.57,HOLD,1.66,2.63,0.00
07-11-2023,50.66,55.50,HOLD,0.38,0.96,0.00
