Date,Price,RSI,STATUS
11-17-2022,37.72,56.85,HOLD
11-16-2022,37.69,56.64,HOLD
11-15-2022,37.04,50.94,HOLD
11-14-2022,36.82,48.82,HOLD
11-11-2022,36.99,50.38,HOLD
11-10-2022,37.87,59.51,HOLD
11-09-2022,37.73,58.40,HOLD
11-08-2022,38.10,62.63,HOLD
11-07-2022,38.17,63.43,HOLD
11-04-2022,38.02,62.47,HOLD
11-03-2022,37.99,62.29,HOLD
11-02-2022,38.12,63.54,HOLD
11-01-2022,38.22,64.47,HOLD
10-31-2022,38.47,66.73,HOLD
10-28-2022,38.94,71.09,SELL
10-27-2022,38.02,67.20,HOLD
10-26-2022,36.91,61.37,HOLD
10-25-2022,37.06,62.77,HOLD
10-24-2022,36.52,59.70,HOLD
10-21-2022,35.21,50.51,HOLD
10-20-2022,35.34,51.59,HOLD
10-19-2022,36.29,60.39,HOLD
10-18-2022,36.07,58.88,HOLD
10-17-2022,35.49,54.65,HOLD
10-14-2022,35.73,56.90,HOLD
10-13-2022,35.78,57.36,HOLD
10-12-2022,35.30,54.08,HOLD
10-11-2022,34.94,51.47,HOLD
10-10-2022,34.07,44.41,HOLD
10-07-2022,33.03,33.69,HOLD
10-06-2022,33.42,36.11,HOLD
10-05-2022,33.89,39.27,HOLD
10-04-2022,34.33,42.51,HOLD
10-03-2022,33.96,38.56,HOLD
09-30-2022,33.35,31.32,HOLD
09-29-2022,33.56,32.55,HOLD
09-28-2022,33.62,32.89,HOLD
09-27-2022,32.95,24.71,BUY
09-26-2022,34.06,30.41,HOLD
09-23-2022,33.92,28.48,BUY
09-22-2022,34.26,30.38,HOLD
09-21-2022,34.44,31.42,HOLD
09-20-2022,33.94,24.82,BUY
09-19-2022,34.61,28.20,BUY
09-16-2022,34.71,28.74,BUY
09-15-2022,34.61,27.44,BUY
09-14-2022,34.96,29.16,BUY
09-13-2022,35.06,29.66,BUY
09-12-2022,36.73,40.19,HOLD
09-09-2022,36.46,36.82,HOLD
09-08-2022,36.06,31.51,HOLD
09-07-2022,37.32,41.78,HOLD
09-06-2022,37.43,42.91,HOLD
09-02-2022,37.31,41.30,HOLD
09-01-2022,37.70,45.15,HOLD
08-31-2022,37.40,41.24,HOLD
08-30-2022,37.41,41.33,HOLD
08-29-2022,38.09,48.04,HOLD
08-26-2022,38.11,48.25,HOLD
08-25-2022,38.61,53.82,HOLD
08-24-2022,38.91,57.52,HOLD
08-23-2022,38.72,55.73,HOLD
08-22-2022,38.41,52.71,HOLD
08-19-2022,38.53,54.04,HOLD
08-18-2022,38.26,51.49,HOLD
08-17-2022,38.20,50.93,HOLD
08-16-2022,38.83,57.39,HOLD
08-15-2022,38.56,55.13,HOLD
08-12-2022,38.67,56.26,HOLD
08-11-2022,38.73,56.85,HOLD
08-10-2022,38.63,56.14,HOLD
08-09-2022,38.40,54.53,HOLD
08-08-2022,37.79,50.03,HOLD
08-05-2022,37.57,48.31,HOLD
08-04-2022,37.03,43.93,HOLD
08-03-2022,37.34,46.01,HOLD
08-02-2022,37.09,44.02,HOLD
08-01-2022,37.43,46.17,HOLD
07-29-2022,36.83,41.50,HOLD
07-28-2022,37.19,43.61,HOLD
07-27-2022,36.34,36.54,HOLD
07-26-2022,38.64,53.33,HOLD
07-25-2022,38.38,50.96,HOLD
07-22-2022,38.32,50.42,HOLD
07-21-2022,37.95,47.10,HOLD
07-20-2022,38.26,49.69,HOLD
07-19-2022,38.74,53.96,HOLD
07-18-2022,38.43,51.46,HOLD
07-15-2022,38.01,47.90,HOLD
07-14-2022,38.76,54.54,HOLD
07-13-2022,39.18,58.77,HOLD
07-12-2022,38.80,55.90,HOLD
07-11-2022,38.61,54.42,HOLD
07-08-2022,38.37,52.55,HOLD
07-07-2022,38.08,50.27,HOLD
07-06-2022,38.20,51.22,HOLD
07-05-2022,38.12,50.64,HOLD
07-01-2022,38.64,54.52,HOLD
06-30-2022,38.14,51.18,HOLD
