Date,Price,RSI,STATUS
12-16-2022,135.32,56.54,HOLD
12-15-2022,136.42,60.65,HOLD
12-14-2022,139.10,72.59,SELL
12-13-2022,138.71,71.84,SELL
12-12-2022,137.96,70.40,SELL
12-09-2022,136.20,66.67,HOLD
12-08-2022,136.76,69.25,HOLD
12-07-2022,136.70,69.13,HOLD
12-06-2022,136.01,67.80,HOLD
12-05-2022,137.17,72.68,SELL
12-02-2022,137.93,76.00,SELL
12-01-2022,136.60,74.08,SELL
11-30-2022,135.63,72.59,SELL
11-29-2022,133.16,68.27,HOLD
11-28-2022,133.31,68.88,HOLD
11-25-2022,135.03,76.14,SELL
11-23-2022,134.00,74.66,SELL
11-22-2022,134.98,79.00,SELL
11-21-2022,133.49,77.12,SELL
11-18-2022,131.40,74.10,SELL
11-17-2022,128.87,69.59,HOLD
11-16-2022,129.01,70.22,SELL
11-15-2022,128.14,68.58,HOLD
11-14-2022,127.56,67.48,HOLD
11-11-2022,127.45,67.27,HOLD
11-10-2022,127.78,68.46,HOLD
11-09-2022,123.83,60.74,HOLD
11-08-2022,124.58,63.48,HOLD
11-07-2022,124.32,62.94,HOLD
11-04-2022,122.52,59.06,HOLD
11-03-2022,122.02,57.92,HOLD
11-02-2022,122.27,58.68,HOLD
11-01-2022,124.35,65.26,HOLD
10-31-2022,124.46,65.63,HOLD
10-28-2022,124.28,65.33,HOLD
10-27-2022,121.30,60.13,HOLD
10-26-2022,120.21,57.99,HOLD
10-25-2022,119.49,56.56,HOLD
10-24-2022,115.86,48.31,HOLD
10-21-2022,113.96,43.06,HOLD
10-20-2022,112.32,38.01,HOLD
10-19-2022,114.94,43.77,HOLD
10-18-2022,115.48,45.07,HOLD
10-17-2022,114.18,41.14,HOLD
10-14-2022,113.21,38.08,HOLD
10-13-2022,114.58,40.87,HOLD
10-12-2022,112.86,35.34,HOLD
10-11-2022,111.37,30.08,HOLD
10-10-2022,110.16,25.51,BUY
10-07-2022,109.59,23.31,BUY
10-06-2022,112.19,26.63,BUY
10-05-2022,114.58,30.32,HOLD
10-04-2022,116.23,33.27,HOLD
10-03-2022,114.08,24.36,BUY
09-30-2022,112.54,16.98,BUY
09-29-2022,114.98,19.83,BUY
09-28-2022,117.18,23.06,BUY
09-27-2022,117.19,23.08,BUY
09-26-2022,118.78,25.69,BUY
09-23-2022,120.29,28.54,BUY
09-22-2022,120.71,29.38,BUY
09-21-2022,120.73,29.42,BUY
09-20-2022,121.56,30.98,HOLD
