Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,17.97,57.84,HOLD,0.73,-0.22,-4.67
01-11-2024,17.84,54.38,HOLD,-0.61,-0.94,-5.56
01-10-2024,17.95,58.13,HOLD,-0.55,-0.33,-4.42
01-09-2024,18.05,61.72,HOLD,-0.33,0.22,-3.68
01-08-2024,18.11,63.92,HOLD,0.50,0.56,-3.21
01-05-2024,18.02,62.03,HOLD,0.39,0.06,-3.01
01-04-2024,17.95,60.55,HOLD,-0.55,-0.33,-1.43
01-03-2024,18.05,63.87,HOLD,1.23,0.22,-0.99
01-02-2024,17.83,59.31,HOLD,1.08,-1.00,-1.00
12-29-2023,17.64,54.73,HOLD,-0.28,-2.05,0.00
12-28-2023,17.69,56.27,HOLD,-0.45,-1.78,0.00
12-27-2023,17.77,58.74,HOLD,-0.45,-1.33,0.00
12-26-2023,17.85,61.24,HOLD,0.73,-0.89,0.00
12-22-2023,17.72,58.58,HOLD,0.45,-1.61,0.00
12-21-2023,17.64,56.90,HOLD,0.80,-2.05,0.00
12-20-2023,17.50,53.84,HOLD,-0.79,-2.83,0.00
12-19-2023,17.64,57.64,HOLD,0.40,-2.05,0.00
12-18-2023,17.57,56.20,HOLD,0.46,-2.44,0.00
12-15-2023,17.49,54.57,HOLD,-1.13,-2.89,0.00
12-14-2023,17.69,59.74,HOLD,1.20,-1.78,0.00
12-13-2023,17.48,55.65,HOLD,1.51,-2.94,0.00
12-12-2023,17.22,49.78,HOLD,-1.99,-4.39,0.00
12-11-2023,17.57,59.64,HOLD,-0.73,-2.44,0.00
12-08-2023,17.70,64.01,HOLD,1.14,-1.72,0.00
12-07-2023,17.50,59.80,HOLD,-0.17,-2.83,0.00
12-06-2023,17.53,60.79,HOLD,0.17,-2.67,0.00
12-05-2023,17.50,60.18,HOLD,-1.96,-2.83,0.00
12-04-2023,17.85,72.43,HOLD,0.56,-0.89,0.00
12-01-2023,17.75,70.85,HOLD,1.02,-1.44,0.00
11-30-2023,17.57,67.78,HOLD,1.44,-2.44,0.00
11-29-2023,17.32,62.70,HOLD,0.17,-3.83,0.00
11-28-2023,17.29,62.04,HOLD,-0.12,-4.00,0.00
11-27-2023,17.31,62.73,HOLD,-0.23,-3.89,0.00
11-24-2023,17.35,64.06,HOLD,0.35,-3.66,0.00
11-22-2023,17.29,62.97,HOLD,0.99,-4.00,0.00
11-21-2023,17.12,59.74,HOLD,1.06,-4.94,0.00
11-20-2023,16.94,55.98,HOLD,-0.12,-5.94,0.00
11-17-2023,16.96,56.52,HOLD,0.83,-5.83,0.00
11-16-2023,16.82,53.58,HOLD,-0.59,-6.61,0.00
11-15-2023,16.92,56.10,HOLD,0.71,-6.05,0.00
11-14-2023,16.80,53.67,HOLD,1.69,-6.72,0.00
11-13-2023,16.52,47.37,HOLD,0.49,-8.27,0.00
11-10-2023,16.44,45.40,HOLD,1.42,-8.72,0.00
11-09-2023,16.21,39.34,HOLD,-0.80,-9.99,0.00
11-08-2023,16.34,41.78,HOLD,-1.27,-9.27,0.00
11-07-2023,16.55,46.05,HOLD,-0.72,-8.11,0.00
11-06-2023,16.67,48.69,HOLD,-1.19,-7.44,0.00
11-03-2023,16.87,53.44,HOLD,-0.18,-6.33,0.00
11-02-2023,16.90,54.18,HOLD,3.36,-6.16,0.00
11-01-2023,16.35,40.15,HOLD,0.93,-9.22,0.00
10-31-2023,16.20,35.12,HOLD,0.43,-10.05,0.00
10-30-2023,16.13,32.67,HOLD,-1.47,-10.44,0.00
10-27-2023,16.37,37.14,HOLD,-1.98,-9.11,0.00
10-26-2023,16.70,44.99,HOLD,-0.54,-7.27,0.00
10-25-2023,16.79,47.54,HOLD,-0.36,-6.77,0.00
10-24-2023,16.85,49.27,HOLD,-0.77,-6.44,0.00
10-23-2023,16.98,53.15,HOLD,-0.06,-5.72,0.00
10-20-2023,16.99,53.45,HOLD,-0.12,-5.66,0.00
10-19-2023,17.01,54.02,HOLD,-0.76,-5.55,0.00
10-18-2023,17.14,57.72,HOLD,-1.10,-4.83,0.00
10-17-2023,17.33,63.64,HOLD,0.29,-3.78,0.00
10-16-2023,17.28,62.70,HOLD,0.99,-4.05,0.00
10-13-2023,17.11,59.41,HOLD,1.18,-5.00,0.00
10-12-2023,16.91,55.08,HOLD,0.36,-6.11,0.00
10-11-2023,16.85,53.70,HOLD,0.18,-6.44,0.00
10-10-2023,16.82,53.03,HOLD,0.36,-6.61,0.00
10-09-2023,16.76,51.74,HOLD,3.08,-6.94,0.00
10-06-2023,16.26,38.66,HOLD,0.62,-9.72,0.00
10-05-2023,16.16,35.41,HOLD,0.81,-10.27,0.00
10-04-2023,16.03,30.99,HOLD,-0.43,-10.99,0.00
10-03-2023,16.10,32.09,HOLD,-0.37,-10.61,0.00
10-02-2023,16.16,33.02,HOLD,-2.53,-10.27,0.00
09-29-2023,16.58,40.68,HOLD,-0.54,-7.94,0.00
09-28-2023,16.67,42.65,HOLD,0.06,-7.44,0.00
09-27-2023,16.66,42.36,HOLD,1.15,-7.50,0.00
09-26-2023,16.47,36.76,HOLD,-1.67,-8.55,0.00
09-25-2023,16.75,42.40,HOLD,0.90,-7.00,0.00
09-22-2023,16.60,37.64,HOLD,0.24,-7.83,0.00
09-21-2023,16.56,36.34,HOLD,-1.78,-8.05,0.00
09-20-2023,16.86,42.52,HOLD,-0.41,-6.39,0.00
09-19-2023,16.93,44.15,HOLD,-0.53,-6.00,0.00
09-18-2023,17.02,46.26,HOLD,-0.29,-5.50,0.00
09-15-2023,17.07,47.43,HOLD,-1.39,-5.22,0.00
09-14-2023,17.31,53.47,HOLD,0.87,-3.89,0.00
09-13-2023,17.16,49.76,HOLD,0.18,-4.72,0.00
09-12-2023,17.13,49.00,HOLD,2.76,-4.89,0.00
09-11-2023,16.67,35.12,HOLD,-0.77,-7.44,0.00
09-08-2023,16.80,37.82,HOLD,1.27,-6.72,0.00
09-07-2023,16.59,29.71,HOLD,-0.24,-7.88,0.00
09-06-2023,16.63,30.41,HOLD,-2.58,-7.66,0.00
09-05-2023,17.07,40.08,HOLD,-0.41,-5.22,0.00
09-01-2023,17.14,42.06,HOLD,-0.46,-4.83,0.00
08-31-2023,17.22,44.38,HOLD,-1.26,-4.39,0.00
08-30-2023,17.44,51.66,HOLD,-0.06,-3.16,0.00
08-29-2023,17.45,52.02,HOLD,0.52,-3.11,0.00
08-28-2023,17.36,49.05,HOLD,0.12,-3.61,0.00
08-25-2023,17.34,48.39,HOLD,0.64,-3.72,0.00
08-24-2023,17.23,44.74,HOLD,-0.17,-4.33,0.00
08-23-2023,17.26,45.56,HOLD,0.06,-4.16,0.00
08-22-2023,17.25,45.25,HOLD,-0.63,-4.22,0.00
08-21-2023,17.36,48.04,HOLD,-0.40,-3.61,0.00
08-18-2023,17.43,49.85,HOLD,0.52,-3.22,0.00
08-17-2023,17.34,47.48,HOLD,0.76,-3.72,0.00
08-16-2023,17.21,43.93,HOLD,-0.86,-4.44,0.00
08-15-2023,17.36,47.36,HOLD,-1.75,-3.61,0.00
08-14-2023,17.67,55.70,HOLD,-0.62,-1.89,0.00
08-11-2023,17.78,59.14,HOLD,1.37,-1.28,0.00
08-10-2023,17.54,53.31,HOLD,-0.06,-2.61,0.00
08-09-2023,17.55,53.60,HOLD,0.40,-2.55,0.00
08-08-2023,17.48,51.87,HOLD,0.58,-2.94,0.00
08-07-2023,17.38,49.35,HOLD,0.12,-3.50,0.00
08-04-2023,17.36,48.86,HOLD,-0.57,-3.61,0.00
08-03-2023,17.46,51.19,HOLD,0.58,-3.05,0.00
08-02-2023,17.36,48.93,HOLD,-1.14,-3.61,0.00
08-01-2023,17.56,53.53,HOLD,-0.85,-2.50,0.00
07-31-2023,17.71,57.28,HOLD,0.80,-1.67,0.00
07-28-2023,17.57,54.52,HOLD,-1.29,-2.44,0.00
07-27-2023,17.80,60.48,HOLD,-0.84,-1.17,0.00
07-26-2023,17.95,64.77,HOLD,-0.61,-0.33,0.00
07-25-2023,18.06,68.06,HOLD,-0.28,0.28,0.00
07-24-2023,18.11,69.55,HOLD,1.74,0.56,0.00
07-21-2023,17.80,65.16,HOLD,0.91,-1.17,0.00
07-20-2023,17.64,62.57,HOLD,2.02,-2.05,0.00
07-19-2023,17.29,55.92,HOLD,0.06,-4.00,0.00
07-18-2023,17.28,55.71,HOLD,0.88,-4.05,0.00
07-17-2023,17.13,52.58,HOLD,-0.46,-4.89,0.00
07-14-2023,17.21,54.49,HOLD,-2.22,-4.44,0.00
07-13-2023,17.60,65.19,HOLD,0.34,-2.28,0.00
07-12-2023,17.54,64.18,HOLD,1.68,-2.61,0.00
07-11-2023,17.25,58.85,HOLD,1.77,-4.22,0.00
07-10-2023,16.95,51.99,HOLD,0.18,-5.89,0.00
07-07-2023,16.92,51.24,HOLD,0.36,-6.05,0.00
07-06-2023,16.86,49.77,HOLD,-1.29,-6.39,0.00
07-05-2023,17.08,55.45,HOLD,-0.99,-5.16,0.00
07-03-2023,17.25,60.40,HOLD,0.17,-4.22,0.00
06-30-2023,17.22,59.81,HOLD,0.12,-4.39,0.00
06-29-2023,17.20,59.44,HOLD,1.12,-4.50,0.00
06-28-2023,17.01,55.83,HOLD,1.25,-5.55,0.00
06-27-2023,16.80,51.38,HOLD,1.57,-6.72,0.00
06-26-2023,16.54,45.03,HOLD,1.35,-8.16,0.00
06-23-2023,16.32,38.73,HOLD,-1.03,-9.38,0.00
06-22-2023,16.49,42.20,HOLD,-0.90,-8.44,0.00
06-21-2023,16.64,45.54,HOLD,-0.12,-7.61,0.00
06-20-2023,16.66,45.99,HOLD,-2.23,-7.50,0.00
06-16-2023,17.04,55.72,HOLD,0.18,-5.39,0.00
06-15-2023,17.01,55.02,HOLD,0.65,-5.55,0.00
06-14-2023,16.90,52.47,HOLD,-0.76,-6.16,0.00
06-13-2023,17.03,55.95,HOLD,0.83,-5.44,0.00
06-12-2023,16.89,52.82,HOLD,-0.82,-6.22,0.00
06-09-2023,17.03,56.55,HOLD,-1.67,-5.44,0.00
06-08-2023,17.32,65.43,HOLD,0.52,-3.83,0.00
06-07-2023,17.23,63.80,HOLD,2.26,-4.33,0.00
06-06-2023,16.85,55.53,HOLD,0.54,-6.44,0.00
06-05-2023,16.76,53.17,HOLD,0.06,-6.94,0.00
06-02-2023,16.75,52.92,HOLD,3.01,-7.00,0.00
06-01-2023,16.26,37.25,HOLD,0.93,-9.72,0.00
05-31-2023,16.11,30.70,HOLD,-0.25,-10.55,0.00
05-30-2023,16.15,31.51,HOLD,-0.37,-10.33,0.00
05-26-2023,16.21,32.72,HOLD,-0.06,-9.99,0.00
05-25-2023,16.22,32.92,HOLD,-1.70,-9.94,0.00
05-24-2023,16.50,38.98,HOLD,-0.24,-8.38,0.00
05-23-2023,16.54,39.95,HOLD,0.06,-8.16,0.00
05-22-2023,16.53,39.60,HOLD,0.06,-8.22,0.00
05-19-2023,16.52,39.27,HOLD,0.00,-8.27,0.00
05-18-2023,16.52,39.27,HOLD,0.43,-8.27,0.00
05-17-2023,16.45,37.21,HOLD,0.92,-8.66,0.00
05-16-2023,16.30,32.64,HOLD,-2.40,-9.49,0.00
05-15-2023,16.70,39.80,HOLD,-0.60,-7.27,0.00
05-12-2023,16.80,41.94,HOLD,0.60,-6.72,0.00
05-11-2023,16.70,38.90,HOLD,-0.54,-7.27,0.00
05-10-2023,16.79,40.68,HOLD,-0.36,-6.77,0.00
05-09-2023,16.85,41.87,HOLD,-0.30,-6.44,0.00
05-08-2023,16.90,42.84,HOLD,-0.82,-6.16,0.00
05-05-2023,17.04,45.58,HOLD,2.40,-5.39,0.00
05-04-2023,16.64,34.45,HOLD,0.48,-7.61,0.00
05-03-2023,16.56,31.86,HOLD,-0.72,-8.05,0.00
05-02-2023,16.68,33.72,HOLD,-2.46,-7.38,0.00
05-01-2023,17.10,41.58,HOLD,-0.29,-5.05,0.00
04-28-2023,17.15,42.68,HOLD,-0.98,-4.78,0.00
04-27-2023,17.32,46.57,HOLD,0.64,-3.83,0.00
04-26-2023,17.21,43.47,HOLD,-1.15,-4.44,0.00
04-25-2023,17.41,48.18,HOLD,-1.19,-3.33,0.00
04-24-2023,17.62,53.88,HOLD,1.44,-2.17,0.00
04-21-2023,17.37,46.95,HOLD,0.12,-3.55,0.00
04-20-2023,17.35,46.35,HOLD,-1.42,-3.66,0.00
04-19-2023,17.60,53.34,HOLD,-0.56,-2.28,0.00
04-18-2023,17.70,56.50,HOLD,-0.45,-1.72,0.00
04-17-2023,17.78,59.11,HOLD,-0.17,-1.28,0.00
04-14-2023,17.81,60.07,HOLD,0.23,-1.11,0.00
04-13-2023,17.77,59.25,HOLD,-0.28,-1.33,0.00
04-12-2023,17.82,60.70,HOLD,-0.39,-1.05,0.00
04-11-2023,17.89,62.70,HOLD,0.79,-0.67,0.00
04-10-2023,17.75,60.27,HOLD,0.23,-1.44,0.00
04-06-2023,17.71,59.57,HOLD,0.00,-1.67,0.00
04-05-2023,17.71,59.57,HOLD,1.32,-1.67,0.00
04-04-2023,17.48,55.71,HOLD,-1.02,-2.94,0.00
04-03-2023,17.66,59.87,HOLD,0.86,-1.94,0.00
03-31-2023,17.51,57.41,HOLD,1.21,-2.78,0.00
03-30-2023,17.30,53.72,HOLD,0.29,-3.94,0.00
03-29-2023,17.25,52.82,HOLD,1.11,-4.22,0.00
03-28-2023,17.06,49.33,HOLD,1.01,-5.27,0.00
03-27-2023,16.89,46.02,HOLD,0.60,-6.22,0.00
03-24-2023,16.79,44.02,HOLD,2.44,-6.77,0.00
03-23-2023,16.39,35.08,HOLD,-1.38,-9.00,0.00
03-22-2023,16.62,38.35,HOLD,-1.19,-7.72,0.00
03-21-2023,16.82,41.47,HOLD,1.75,-6.61,0.00
03-20-2023,16.53,34.27,HOLD,1.54,-8.22,0.00
03-17-2023,16.28,27.10,HOLD,-1.63,-9.61,0.00
03-16-2023,16.55,30.43,HOLD,-0.18,-8.11,0.00
03-15-2023,16.58,30.82,HOLD,-2.13,-7.94,0.00
03-14-2023,16.94,35.97,HOLD,0.53,-5.94,0.00
03-13-2023,16.85,33.39,HOLD,0.48,-6.44,0.00
03-10-2023,16.77,31.09,HOLD,-2.16,-6.89,0.00
03-09-2023,17.14,36.49,HOLD,-1.04,-4.83,0.00
03-08-2023,17.32,39.60,HOLD,-0.17,-3.83,0.00
03-07-2023,17.35,40.13,HOLD,-1.53,-3.66,0.00
03-06-2023,17.62,45.17,HOLD,-0.17,-2.17,0.00
03-03-2023,17.65,45.77,HOLD,1.09,-2.00,0.00
03-02-2023,17.46,41.23,HOLD,1.16,-3.05,0.00
03-01-2023,17.26,35.99,HOLD,1.17,-4.16,0.00
02-28-2023,17.06,30.22,HOLD,-1.73,-5.27,0.00
02-27-2023,17.36,34.56,HOLD,-0.46,-3.61,0.00
02-24-2023,17.44,35.83,HOLD,-0.23,-3.16,0.00
02-23-2023,17.48,36.46,HOLD,0.92,-2.94,0.00
02-22-2023,17.32,32.06,HOLD,-0.17,-3.83,0.00
02-21-2023,17.35,32.45,HOLD,-2.14,-3.66,0.00
02-17-2023,17.73,37.89,HOLD,-1.99,-1.55,0.00
02-16-2023,18.09,44.43,HOLD,-0.55,0.44,0.00
02-15-2023,18.19,46.50,HOLD,-0.66,1.00,0.00
