Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,62.13,44.48,HOLD,-0.77,-1.30,2023
01-09-2023,62.61,47.63,HOLD,-1.25,-0.54,2023
01-06-2023,63.40,53.42,HOLD,1.93,0.71,2023
01-05-2023,62.20,43.78,HOLD,-1.14,-1.19,2023
01-04-2023,62.92,49.49,HOLD,-0.05,-0.05,2023
01-03-2023,62.95,49.74,HOLD,-1.04,0.00,2023
12-30-2022,63.61,55.49,HOLD,-0.53,,2022
12-29-2022,63.95,58.73,HOLD,0.60,,2022
12-28-2022,63.57,56.06,HOLD,-1.00,,2022
12-27-2022,64.21,62.37,HOLD,0.61,,2022
12-23-2022,63.82,59.81,HOLD,0.76,,2022
12-22-2022,63.34,56.43,HOLD,-0.72,,2022
12-21-2022,63.80,61.00,HOLD,1.61,,2022
12-20-2022,62.79,53.28,HOLD,-0.08,,2022
12-19-2022,62.84,53.77,HOLD,0.14,,2022
12-16-2022,62.75,53.05,HOLD,-0.57,,2022
12-15-2022,63.11,56.31,HOLD,-1.38,,2022
12-14-2022,63.99,65.43,HOLD,0.00,,2022
12-13-2022,63.99,65.43,HOLD,0.03,,2022
12-12-2022,63.97,65.32,HOLD,1.31,,2022
12-09-2022,63.14,60.47,HOLD,-1.05,,2022
12-08-2022,63.81,67.55,HOLD,0.42,,2022
12-07-2022,63.54,66.07,HOLD,0.16,,2022
12-06-2022,63.44,65.52,HOLD,-0.05,,2022
12-05-2022,63.47,65.82,HOLD,-1.37,,2022
12-02-2022,64.35,74.97,SELL,0.88,,2022
12-01-2022,63.79,72.73,SELL,0.28,,2022
11-30-2022,63.61,71.98,SELL,1.81,,2022
11-29-2022,62.48,66.64,HOLD,-0.35,,2022
11-28-2022,62.70,69.02,HOLD,0.02,,2022
11-25-2022,62.69,68.97,HOLD,0.10,,2022
11-23-2022,62.63,68.71,HOLD,0.45,,2022
11-22-2022,62.35,67.51,HOLD,0.43,,2022
11-21-2022,62.08,66.37,HOLD,1.54,,2022
11-18-2022,61.14,62.03,HOLD,0.71,,2022
11-17-2022,60.71,59.83,HOLD,0.31,,2022
11-16-2022,60.52,58.85,HOLD,-0.18,,2022
11-15-2022,60.63,59.63,HOLD,-0.16,,2022
11-14-2022,60.73,60.31,HOLD,-0.96,,2022
11-11-2022,61.32,64.30,HOLD,0.72,,2022
11-10-2022,60.88,62.58,HOLD,3.59,,2022
11-09-2022,58.77,52.41,HOLD,-1.39,,2022
