Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,46.03,57.81,HOLD,0.39,3.51,1.79
01-11-2024,45.85,55.97,HOLD,-0.63,3.10,0.39
01-10-2024,46.14,59.87,HOLD,-0.22,3.76,1.16
01-09-2024,46.24,61.23,HOLD,0.59,3.98,0.57
01-08-2024,45.97,58.88,HOLD,-0.17,3.37,-0.48
01-05-2024,46.05,59.88,HOLD,0.33,3.55,0.68
01-04-2024,45.90,58.66,HOLD,-1.33,3.22,1.64
01-03-2024,46.52,66.42,HOLD,0.54,4.61,3.45
01-02-2024,46.27,64.67,HOLD,1.23,4.05,4.05
12-29-2023,45.71,60.38,HOLD,1.20,2.79,0.00
12-28-2023,45.17,55.54,HOLD,-0.09,1.57,0.00
12-27-2023,45.21,56.01,HOLD,-0.02,1.66,0.00
12-26-2023,45.22,56.12,HOLD,0.18,1.69,0.00
12-22-2023,45.14,55.47,HOLD,0.27,1.51,0.00
12-21-2023,45.02,54.52,HOLD,0.04,1.24,0.00
12-20-2023,45.00,54.37,HOLD,-0.16,1.19,0.00
12-19-2023,45.07,54.96,HOLD,-1.01,1.35,0.00
12-18-2023,45.53,58.83,HOLD,3.22,2.38,0.00
12-15-2023,44.11,48.42,HOLD,1.19,-0.81,0.00
12-14-2023,43.59,43.57,HOLD,-2.53,-1.98,0.00
12-13-2023,44.72,53.78,HOLD,1.06,0.56,0.00
12-12-2023,44.25,49.18,HOLD,-1.86,-0.49,0.00
12-11-2023,45.09,58.91,HOLD,1.14,1.39,0.00
12-08-2023,44.58,53.75,HOLD,-0.49,0.25,0.00
12-07-2023,44.80,56.59,HOLD,0.58,0.74,0.00
12-06-2023,44.54,53.91,HOLD,0.07,0.16,0.00
12-05-2023,44.51,53.61,HOLD,-0.36,0.09,0.00
12-04-2023,44.67,55.43,HOLD,0.16,0.45,0.00
12-01-2023,44.60,54.81,HOLD,0.75,0.29,0.00
11-30-2023,44.27,51.85,HOLD,1.44,-0.45,0.00
11-29-2023,43.64,45.52,HOLD,-0.64,-1.87,0.00
11-28-2023,43.92,48.13,HOLD,-0.39,-1.24,0.00
11-27-2023,44.09,49.74,HOLD,-0.20,-0.85,0.00
11-24-2023,44.18,50.57,HOLD,0.82,-0.65,0.00
11-22-2023,43.82,47.30,HOLD,1.88,-1.46,0.00
11-21-2023,43.01,38.87,HOLD,0.21,-3.28,0.00
11-20-2023,42.92,37.84,HOLD,1.13,-3.49,0.00
11-17-2023,42.44,32.20,HOLD,-0.52,-4.56,0.00
11-16-2023,42.66,33.49,HOLD,-4.16,-4.07,0.00
11-15-2023,44.51,48.80,HOLD,0.61,0.09,0.00
11-14-2023,44.24,45.42,HOLD,0.14,-0.52,0.00
11-13-2023,44.18,44.66,HOLD,0.66,-0.65,0.00
11-10-2023,43.89,41.01,HOLD,0.00,-1.30,0.00
