Date,Price,RSI,STATUS
11-17-2022,30.83,56.89,HOLD
11-16-2022,29.80,53.31,HOLD
11-15-2022,32.07,64.24,HOLD
11-14-2022,31.45,62.28,HOLD
11-11-2022,31.23,61.58,HOLD
11-10-2022,29.37,55.09,HOLD
11-09-2022,27.03,44.05,HOLD
11-08-2022,28.82,53.37,HOLD
11-07-2022,26.85,40.51,HOLD
11-04-2022,27.10,41.87,HOLD
11-03-2022,26.95,40.76,HOLD
11-02-2022,27.06,41.30,HOLD
11-01-2022,28.82,51.34,HOLD
10-31-2022,29.95,60.04,HOLD
10-28-2022,30.49,64.92,HOLD
10-27-2022,30.13,63.06,HOLD
10-26-2022,30.19,63.59,HOLD
10-25-2022,30.23,63.91,HOLD
10-24-2022,28.93,57.27,HOLD
10-21-2022,28.95,57.42,HOLD
10-20-2022,28.30,53.75,HOLD
10-19-2022,28.49,55.04,HOLD
10-18-2022,28.92,57.96,HOLD
10-17-2022,28.05,53.30,HOLD
10-14-2022,26.98,46.52,HOLD
10-13-2022,27.04,46.88,HOLD
10-12-2022,26.41,42.62,HOLD
10-11-2022,27.02,45.93,HOLD
10-10-2022,26.95,45.48,HOLD
10-07-2022,27.03,45.89,HOLD
10-06-2022,27.35,47.46,HOLD
10-05-2022,27.61,48.72,HOLD
10-04-2022,27.55,48.43,HOLD
10-03-2022,26.04,40.46,HOLD
09-30-2022,25.15,34.95,HOLD
09-29-2022,25.34,35.61,HOLD
09-28-2022,26.49,39.78,HOLD
09-27-2022,25.70,34.91,HOLD
09-26-2022,25.54,33.91,HOLD
09-23-2022,26.30,36.39,HOLD
09-22-2022,26.93,38.55,HOLD
09-21-2022,27.90,42.14,HOLD
09-20-2022,28.31,43.74,HOLD
09-19-2022,29.33,47.94,HOLD
09-16-2022,28.74,45.11,HOLD
09-15-2022,28.68,44.82,HOLD
09-14-2022,28.68,44.82,HOLD
09-13-2022,28.78,45.16,HOLD
09-12-2022,30.91,52.98,HOLD
09-09-2022,30.71,52.26,HOLD
09-08-2022,30.03,49.83,HOLD
09-07-2022,29.61,48.32,HOLD
09-06-2022,28.29,43.35,HOLD
09-02-2022,29.97,48.91,HOLD
09-01-2022,28.37,42.37,HOLD
08-31-2022,28.42,42.53,HOLD
08-30-2022,28.09,41.19,HOLD
08-29-2022,28.09,41.19,HOLD
08-26-2022,29.74,45.81,HOLD
08-25-2022,30.40,47.80,HOLD
08-24-2022,29.34,44.18,HOLD
08-23-2022,28.83,42.40,HOLD
08-22-2022,28.24,40.35,HOLD
08-19-2022,29.89,44.45,HOLD
08-18-2022,31.33,48.44,HOLD
08-17-2022,33.95,57.10,HOLD
08-16-2022,35.09,61.55,HOLD
08-15-2022,33.06,55.87,HOLD
08-12-2022,33.18,56.32,HOLD
08-11-2022,32.62,54.72,HOLD
08-10-2022,31.33,50.86,HOLD
08-09-2022,29.68,45.32,HOLD
08-08-2022,31.46,51.09,HOLD
08-05-2022,30.55,47.94,HOLD
08-04-2022,30.02,46.07,HOLD
08-03-2022,31.10,49.44,HOLD
08-02-2022,29.26,42.82,HOLD
08-01-2022,29.49,43.48,HOLD
07-29-2022,29.14,42.22,HOLD
07-28-2022,28.11,38.47,HOLD
07-27-2022,27.05,34.41,HOLD
07-26-2022,26.32,31.52,HOLD
07-25-2022,28.96,37.00,HOLD
07-22-2022,30.26,40.19,HOLD
07-21-2022,30.90,41.84,HOLD
07-20-2022,30.40,40.06,HOLD
07-19-2022,29.60,37.19,HOLD
07-18-2022,28.94,34.80,HOLD
07-15-2022,28.23,32.22,HOLD
07-14-2022,26.96,27.46,BUY
07-13-2022,28.00,29.01,BUY
07-12-2022,28.95,30.47,HOLD
07-11-2022,29.17,30.80,HOLD
07-08-2022,29.17,30.80,HOLD
07-07-2022,28.26,27.99,BUY
07-06-2022,27.37,25.24,BUY
07-05-2022,29.41,27.48,BUY
07-01-2022,28.68,25.28,BUY
06-30-2022,35.69,34.65,HOLD
06-29-2022,35.91,35.03,HOLD
06-28-2022,36.82,36.56,HOLD
06-27-2022,37.68,38.02,HOLD
06-24-2022,39.25,40.78,HOLD
06-23-2022,38.38,38.48,HOLD
06-22-2022,38.61,38.85,HOLD
06-21-2022,42.33,45.42,HOLD
06-17-2022,40.25,40.17,HOLD
06-16-2022,40.31,40.27,HOLD
06-15-2022,42.79,44.71,HOLD
06-14-2022,41.07,40.49,HOLD
06-13-2022,40.54,39.16,HOLD
06-10-2022,45.75,49.18,HOLD
06-09-2022,46.60,51.16,HOLD
06-08-2022,45.76,49.28,HOLD
06-07-2022,45.59,48.91,HOLD
06-06-2022,42.12,40.75,HOLD
06-03-2022,41.48,39.08,HOLD
06-02-2022,41.18,38.32,HOLD
06-01-2022,40.20,35.91,HOLD
05-31-2022,40.32,36.07,HOLD
05-27-2022,41.87,38.12,HOLD
05-26-2022,43.19,39.90,HOLD
05-25-2022,40.48,34.01,HOLD
05-24-2022,36.18,22.86,BUY
05-23-2022,38.24,24.72,BUY
05-20-2022,39.20,25.62,BUY
05-19-2022,45.04,32.26,HOLD
05-18-2022,43.13,26.47,BUY
05-17-2022,48.47,34.01,HOLD
05-16-2022,47.06,29.06,BUY
05-13-2022,48.44,31.19,HOLD
05-12-2022,47.51,27.88,BUY
05-11-2022,46.65,24.78,BUY
05-10-2022,49.39,28.39,BUY
05-09-2022,50.63,30.25,HOLD
05-06-2022,55.73,40.30,HOLD
05-05-2022,57.37,44.74,HOLD
05-04-2022,58.75,48.95,HOLD
05-03-2022,57.54,44.71,HOLD
05-02-2022,58.79,48.58,HOLD
04-29-2022,57.88,45.39,HOLD
04-28-2022,59.19,49.50,HOLD
04-27-2022,58.51,47.19,HOLD
04-26-2022,58.95,48.53,HOLD
