Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,151.75,63.21,HOLD,-2.22,64.98,53.56
01-11-2024,155.20,72.05,HOLD,1.21,68.73,56.53
01-10-2024,153.35,69.96,HOLD,3.50,66.72,55.56
01-09-2024,148.16,62.69,HOLD,-0.77,61.08,53.42
01-08-2024,149.31,65.97,HOLD,2.08,62.33,56.69
01-05-2024,146.27,60.95,HOLD,0.83,59.02,52.91
01-04-2024,145.07,58.72,HOLD,-0.41,57.72,54.69
01-03-2024,145.66,60.29,HOLD,-1.22,58.36,55.60
01-02-2024,147.46,65.25,HOLD,-1.06,60.32,60.32
12-29-2023,149.04,69.93,HOLD,-0.09,62.04,0.00
12-28-2023,149.18,70.35,HOLD,-0.08,62.19,0.00
12-27-2023,149.30,70.68,HOLD,0.74,62.32,0.00
12-26-2023,148.20,69.45,HOLD,0.53,61.12,0.00
12-22-2023,147.42,68.57,HOLD,-0.33,60.27,0.00
12-21-2023,147.91,69.74,HOLD,0.76,60.81,0.00
12-20-2023,146.79,68.61,HOLD,-1.25,59.59,0.00
12-19-2023,148.65,72.79,HOLD,0.93,61.61,0.00
12-18-2023,147.28,71.61,HOLD,-1.34,60.12,0.00
12-15-2023,149.28,76.10,SELL,-3.57,62.30,0.00
12-14-2023,154.81,90.72,SELL,6.65,68.31,0.00
12-13-2023,145.16,86.53,SELL,3.29,57.82,0.00
12-12-2023,140.53,83.13,SELL,0.64,52.78,0.00
12-11-2023,139.64,82.34,SELL,0.04,51.82,0.00
12-08-2023,139.58,82.29,SELL,1.53,51.75,0.00
12-07-2023,137.47,80.39,SELL,1.55,49.46,0.00
12-06-2023,135.37,78.24,SELL,2.63,47.17,0.00
12-05-2023,131.90,73.84,HOLD,0.30,43.40,0.00
12-04-2023,131.51,73.28,HOLD,-0.05,42.98,0.00
12-01-2023,131.58,73.54,HOLD,2.86,43.05,0.00
11-30-2023,127.92,67.92,HOLD,0.85,39.07,0.00
11-29-2023,126.84,65.94,HOLD,0.62,37.90,0.00
11-28-2023,126.06,64.47,HOLD,-0.61,37.05,0.00
11-27-2023,126.84,67.16,HOLD,-0.62,37.90,0.00
11-24-2023,127.63,69.91,HOLD,0.16,38.76,0.00
11-22-2023,127.43,69.62,HOLD,0.51,38.54,0.00
11-21-2023,126.78,68.70,HOLD,-1.18,37.83,0.00
11-20-2023,128.30,73.53,HOLD,0.64,39.49,0.00
11-17-2023,127.49,72.57,HOLD,0.32,38.61,0.00
11-16-2023,127.08,72.10,HOLD,0.18,38.16,0.00
11-15-2023,126.85,71.85,HOLD,-1.10,37.91,0.00
