Date,Price,RSI,STATUS
12-16-2022,29.17,26.38,BUY
12-15-2022,30.82,29.49,BUY
12-14-2022,32.38,32.89,HOLD
12-13-2022,32.48,33.11,HOLD
12-12-2022,32.28,32.25,HOLD
12-09-2022,31.66,29.61,BUY
12-08-2022,31.45,28.74,BUY
12-07-2022,35.28,36.36,HOLD
12-06-2022,37.35,41.94,HOLD
12-05-2022,37.74,43.10,HOLD
12-02-2022,38.82,46.40,HOLD
12-01-2022,38.73,46.08,HOLD
11-30-2022,38.94,46.68,HOLD
11-29-2022,38.09,43.93,HOLD
11-28-2022,37.56,42.20,HOLD
11-25-2022,38.85,45.36,HOLD
11-23-2022,38.74,45.03,HOLD
11-22-2022,38.89,45.37,HOLD
11-21-2022,38.16,43.43,HOLD
11-18-2022,37.73,42.31,HOLD
11-17-2022,36.15,38.12,HOLD
11-16-2022,35.39,36.04,HOLD
11-15-2022,34.16,32.65,HOLD
11-14-2022,33.23,30.05,HOLD
11-11-2022,35.24,32.58,HOLD
11-10-2022,34.63,30.94,HOLD
11-09-2022,32.81,25.95,BUY
11-08-2022,34.52,27.70,BUY
11-07-2022,33.26,24.21,BUY
11-04-2022,34.42,25.25,BUY
11-03-2022,34.83,25.61,BUY
11-02-2022,52.10,58.15,HOLD
11-01-2022,53.96,66.61,HOLD
10-31-2022,53.87,66.39,HOLD
10-28-2022,54.03,67.12,HOLD
10-27-2022,52.40,63.31,HOLD
10-26-2022,51.86,61.95,HOLD
10-25-2022,52.74,65.62,HOLD
10-24-2022,51.46,62.63,HOLD
10-21-2022,50.38,59.90,HOLD
10-20-2022,47.78,52.05,HOLD
10-19-2022,48.47,54.69,HOLD
10-18-2022,49.55,59.03,HOLD
10-17-2022,48.74,56.63,HOLD
10-14-2022,47.62,53.11,HOLD
10-13-2022,48.22,55.34,HOLD
10-12-2022,45.62,46.22,HOLD
10-11-2022,45.49,45.70,HOLD
10-10-2022,45.85,46.86,HOLD
10-07-2022,46.80,49.95,HOLD
10-06-2022,47.88,53.69,HOLD
10-05-2022,48.08,54.39,HOLD
10-04-2022,48.81,56.91,HOLD
10-03-2022,45.30,45.67,HOLD
09-30-2022,43.50,38.02,HOLD
09-29-2022,44.10,39.74,HOLD
09-28-2022,44.98,42.39,HOLD
09-27-2022,43.19,34.10,HOLD
09-26-2022,43.60,35.19,HOLD
09-23-2022,44.23,36.83,HOLD
09-22-2022,46.26,42.88,HOLD
09-21-2022,47.55,47.46,HOLD
09-20-2022,48.05,49.38,HOLD
09-19-2022,48.63,51.63,HOLD
09-16-2022,47.59,47.70,HOLD
09-15-2022,48.86,52.53,HOLD
09-14-2022,48.56,51.43,HOLD
09-13-2022,48.61,51.64,HOLD
09-12-2022,51.18,62.14,HOLD
09-09-2022,50.34,59.64,HOLD
09-08-2022,48.42,53.07,HOLD
09-07-2022,47.21,48.15,HOLD
09-06-2022,45.61,40.50,HOLD
09-02-2022,45.76,41.02,HOLD
09-01-2022,45.62,40.35,HOLD
08-31-2022,45.63,40.38,HOLD
08-30-2022,46.35,42.52,HOLD
08-29-2022,46.77,43.81,HOLD
08-26-2022,47.13,44.86,HOLD
08-25-2022,49.08,51.12,HOLD
08-24-2022,47.98,47.27,HOLD
08-23-2022,47.71,46.32,HOLD
08-22-2022,47.18,44.45,HOLD
08-19-2022,49.01,49.98,HOLD
08-18-2022,50.40,54.77,HOLD
08-17-2022,49.30,51.34,HOLD
08-16-2022,50.66,56.23,HOLD
08-15-2022,49.93,54.07,HOLD
08-12-2022,50.73,56.93,HOLD
08-11-2022,49.68,53.93,HOLD
08-10-2022,47.96,48.48,HOLD
08-09-2022,46.39,42.69,HOLD
08-08-2022,45.96,41.03,HOLD
08-05-2022,45.51,39.32,HOLD
08-04-2022,46.60,42.09,HOLD
08-03-2022,51.31,58.67,HOLD
08-02-2022,49.74,52.95,HOLD
08-01-2022,50.43,56.10,HOLD
07-29-2022,50.86,58.15,HOLD
07-28-2022,49.95,54.95,HOLD
07-27-2022,49.85,54.60,HOLD
07-26-2022,48.61,50.07,HOLD
07-25-2022,49.70,54.53,HOLD
07-22-2022,49.18,52.66,HOLD
07-21-2022,50.03,56.13,HOLD
07-20-2022,49.93,55.82,HOLD
07-19-2022,48.61,51.49,HOLD
07-18-2022,47.02,45.57,HOLD
07-15-2022,46.62,43.98,HOLD
07-14-2022,45.19,37.89,HOLD
07-13-2022,46.37,41.32,HOLD
07-12-2022,47.36,44.45,HOLD
07-11-2022,46.52,40.96,HOLD
07-08-2022,46.92,42.13,HOLD
07-07-2022,47.17,42.84,HOLD
07-06-2022,45.91,37.90,HOLD
07-05-2022,46.10,38.36,HOLD
07-01-2022,46.71,39.81,HOLD
06-30-2022,45.90,36.88,HOLD
06-29-2022,46.41,37.97,HOLD
06-28-2022,47.76,40.93,HOLD
06-27-2022,47.86,41.15,HOLD
06-24-2022,48.07,41.60,HOLD
06-23-2022,45.10,32.06,HOLD
06-22-2022,47.02,35.54,HOLD
06-21-2022,47.91,37.29,HOLD
