Date,Price,RSI,STATUS
11-17-2022,53.72,52.76,HOLD
11-16-2022,54.51,56.41,HOLD
11-15-2022,53.63,53.03,HOLD
11-14-2022,53.32,51.81,HOLD
11-11-2022,53.93,54.40,HOLD
11-10-2022,55.52,61.87,HOLD
11-09-2022,53.34,53.79,HOLD
11-08-2022,52.98,52.23,HOLD
11-07-2022,51.57,45.58,HOLD
11-04-2022,52.73,51.01,HOLD
11-03-2022,52.15,48.14,HOLD
11-02-2022,52.12,48.00,HOLD
11-01-2022,52.63,50.23,HOLD
10-31-2022,52.17,48.21,HOLD
10-28-2022,52.37,49.01,HOLD
10-27-2022,50.90,42.48,HOLD
10-26-2022,50.63,41.19,HOLD
10-25-2022,50.72,41.48,HOLD
10-24-2022,49.81,37.39,HOLD
10-21-2022,49.76,37.16,HOLD
10-20-2022,48.70,32.39,HOLD
10-19-2022,50.35,36.38,HOLD
10-18-2022,50.92,37.88,HOLD
10-17-2022,49.74,32.55,HOLD
10-14-2022,48.93,28.64,BUY
10-13-2022,49.49,29.74,BUY
10-12-2022,48.06,22.66,BUY
10-11-2022,50.28,26.52,BUY
10-10-2022,49.87,24.31,BUY
10-07-2022,49.65,23.16,BUY
10-06-2022,51.25,25.81,BUY
10-05-2022,53.05,29.31,BUY
10-04-2022,55.01,33.96,HOLD
10-03-2022,54.33,30.40,HOLD
09-30-2022,52.99,22.77,BUY
09-29-2022,54.54,25.81,BUY
09-28-2022,57.21,32.81,HOLD
09-27-2022,56.84,30.38,HOLD
09-26-2022,58.03,34.06,HOLD
09-23-2022,59.52,39.64,HOLD
09-22-2022,60.01,41.73,HOLD
09-21-2022,60.29,42.93,HOLD
09-20-2022,61.13,46.66,HOLD
09-19-2022,61.89,50.35,HOLD
09-16-2022,60.86,44.87,HOLD
09-15-2022,60.23,41.19,HOLD
09-14-2022,61.92,49.41,HOLD
09-13-2022,61.42,46.48,HOLD
09-12-2022,63.48,59.73,HOLD
09-09-2022,63.07,57.49,HOLD
09-08-2022,62.84,56.22,HOLD
09-07-2022,63.11,58.11,HOLD
09-06-2022,61.16,45.91,HOLD
09-02-2022,61.49,48.12,HOLD
09-01-2022,62.06,52.12,HOLD
08-31-2022,61.04,44.43,HOLD
08-30-2022,61.55,48.01,HOLD
08-29-2022,62.50,55.79,HOLD
08-26-2022,62.27,54.12,HOLD
08-25-2022,63.11,62.09,HOLD
08-24-2022,62.72,59.52,HOLD
08-23-2022,62.80,60.30,HOLD
08-22-2022,63.32,65.46,HOLD
08-19-2022,64.04,73.56,SELL
08-18-2022,64.17,75.11,SELL
08-17-2022,64.26,76.15,SELL
08-16-2022,64.06,75.45,SELL
08-15-2022,63.85,74.73,SELL
08-12-2022,63.35,72.97,SELL
08-11-2022,61.64,65.30,HOLD
08-10-2022,61.94,68.47,HOLD
08-09-2022,61.85,68.03,HOLD
08-08-2022,61.05,63.97,HOLD
08-05-2022,61.28,66.22,HOLD
08-04-2022,61.15,65.58,HOLD
08-03-2022,61.27,66.66,HOLD
08-02-2022,60.79,64.49,HOLD
08-01-2022,60.90,65.40,HOLD
07-29-2022,60.93,65.63,HOLD
07-28-2022,60.03,61.85,HOLD
07-27-2022,58.71,55.14,HOLD
07-26-2022,58.65,54.80,HOLD
07-25-2022,57.90,50.50,HOLD
07-22-2022,57.43,47.60,HOLD
07-21-2022,56.55,41.65,HOLD
07-20-2022,56.42,40.73,HOLD
07-19-2022,57.17,44.50,HOLD
07-18-2022,56.81,42.11,HOLD
07-15-2022,58.16,49.53,HOLD
07-14-2022,57.88,47.76,HOLD
07-13-2022,57.77,47.08,HOLD
07-12-2022,57.82,47.34,HOLD
07-11-2022,57.92,47.83,HOLD
07-08-2022,57.34,44.76,HOLD
07-07-2022,57.81,46.83,HOLD
07-06-2022,58.38,49.42,HOLD
07-05-2022,57.92,47.23,HOLD
07-01-2022,60.07,58.11,HOLD
06-30-2022,58.61,50.99,HOLD
06-29-2022,57.97,47.36,HOLD
06-28-2022,58.03,47.66,HOLD
06-27-2022,57.93,47.13,HOLD
06-24-2022,57.32,43.90,HOLD
06-23-2022,56.53,39.45,HOLD
06-22-2022,55.52,33.16,HOLD
06-21-2022,55.22,31.18,HOLD
06-17-2022,54.75,28.09,BUY
06-16-2022,54.97,28.65,BUY
06-15-2022,55.74,30.63,HOLD
06-14-2022,55.61,29.87,BUY
06-13-2022,57.38,34.68,HOLD
06-10-2022,59.32,41.46,HOLD
06-09-2022,59.63,42.70,HOLD
06-08-2022,61.12,49.27,HOLD
06-07-2022,63.17,61.34,HOLD
06-06-2022,62.53,58.38,HOLD
06-03-2022,62.11,56.35,HOLD
06-02-2022,62.40,58.17,HOLD
06-01-2022,63.19,63.35,HOLD
05-31-2022,63.82,67.82,HOLD
05-27-2022,63.78,67.69,HOLD
05-26-2022,62.46,62.94,HOLD
05-25-2022,61.25,57.65,HOLD
05-24-2022,61.32,58.10,HOLD
05-23-2022,59.00,45.00,HOLD
05-20-2022,58.67,42.64,HOLD
05-19-2022,58.50,41.43,HOLD
05-18-2022,58.94,43.64,HOLD
05-17-2022,59.75,48.00,HOLD
05-16-2022,58.86,42.09,HOLD
05-13-2022,58.44,39.05,HOLD
05-12-2022,58.02,35.93,HOLD
05-11-2022,58.21,36.72,HOLD
05-10-2022,58.03,35.48,HOLD
05-09-2022,58.72,38.15,HOLD
05-06-2022,58.74,38.23,HOLD
05-05-2022,58.86,38.67,HOLD
05-04-2022,59.21,39.91,HOLD
05-03-2022,57.80,31.72,HOLD
05-02-2022,57.85,31.87,HOLD
04-29-2022,58.81,34.65,HOLD
04-28-2022,61.23,43.56,HOLD
04-27-2022,60.82,41.18,HOLD
04-26-2022,61.63,44.63,HOLD
04-25-2022,62.07,46.60,HOLD
04-22-2022,63.12,51.65,HOLD
04-21-2022,64.45,59.19,HOLD
04-20-2022,65.11,63.46,HOLD
04-19-2022,63.88,58.25,HOLD
04-18-2022,62.71,52.23,HOLD
04-14-2022,63.39,56.64,HOLD
04-13-2022,63.59,57.97,HOLD
04-12-2022,64.63,65.43,HOLD
04-11-2022,64.35,64.28,HOLD
04-08-2022,64.82,67.79,HOLD
04-07-2022,64.33,65.99,HOLD
04-06-2022,65.16,72.35,SELL
04-05-2022,63.28,65.33,HOLD
04-04-2022,62.69,62.56,HOLD
