Date,Stocks,%Universe <= 31
2023-01-27,6,2.47
2023-01-26,6,2.47
2023-01-25,3,1.23
2023-01-24,5,2.06
2023-01-23,9,3.70
2023-01-20,11,4.53
2023-01-19,12,4.94
2023-01-18,10,4.12
2023-01-17,3,1.23
2023-01-13,2,0.82
2023-01-12,3,1.23
2023-01-11,2,0.82
2023-01-10,2,0.82
2023-01-09,4,1.65
2023-01-06,2,0.82
2023-01-05,5,2.06
2023-01-04,2,0.82
2023-01-03,4,1.65
2022-12-30,4,1.65
2022-12-29,3,1.23
2022-12-28,13,5.35
2022-12-27,8,3.29
2022-12-23,5,2.06
2022-12-22,11,4.53
2022-12-21,6,2.47
2022-12-20,11,4.53
2022-12-19,12,4.94
2022-12-16,10,4.12
2022-12-15,7,2.88
2022-12-14,1,0.41
2022-12-09,4,1.65
2022-12-08,3,1.23
2022-12-07,2,0.82
2022-12-06,2,0.82
2022-12-02,1,0.41
2022-11-25,1,0.41
2022-11-23,1,0.41
2022-11-22,2,0.82
2022-11-21,1,0.41
2022-11-14,2,0.82
2022-11-11,1,0.41
2022-11-10,1,0.41
2022-11-09,8,3.29
2022-11-08,3,1.23
2022-11-07,3,1.23
2022-11-04,7,2.88
2022-11-03,6,2.47
2022-11-02,3,1.23
2022-11-01,2,0.82
2022-10-31,1,0.41
2022-10-27,1,0.41
2022-10-24,3,1.23
2022-10-21,3,1.23
2022-10-20,5,2.06
2022-10-19,5,2.06
2022-10-18,2,0.82
2022-10-17,3,1.23
2022-10-14,20,8.23
2022-10-13,13,5.35
2022-10-12,34,13.99
2022-10-11,32,13.17
2022-10-10,34,13.99
2022-10-07,35,14.40
2022-10-06,21,8.64
2022-10-05,13,5.35
2022-10-04,5,2.06
2022-10-03,30,12.35
2022-09-30,113,46.50
2022-09-29,82,33.74
2022-09-28,43,17.70
2022-09-27,124,51.03
2022-09-26,128,52.67
2022-09-23,95,39.09
2022-09-22,56,23.05
2022-09-21,42,17.28
2022-09-20,29,11.93
2022-09-19,15,6.17
2022-09-16,25,10.29
2022-09-15,18,7.41
2022-09-14,14,5.76
2022-09-13,10,4.12
2022-09-12,1,0.41
2022-09-09,3,1.23
2022-09-08,11,4.53
2022-09-07,15,6.17
2022-09-06,32,13.17
2022-09-02,25,10.29
2022-09-01,22,9.05
2022-08-31,25,10.29
2022-08-30,15,6.17
2022-08-29,6,2.47
2022-08-26,5,2.06
2022-08-25,2,0.82
2022-08-24,1,0.41
2022-08-23,1,0.41
2022-08-22,1,0.41
2022-08-19,1,0.41
2022-08-18,1,0.41
2022-08-17,1,0.41
2022-08-16,1,0.41
2022-08-15,1,0.41
2022-08-12,2,0.82
2022-08-11,1,0.41
2022-08-10,2,0.82
2022-08-09,1,0.41
2022-08-08,2,0.82
2022-08-05,2,0.82
2022-08-04,4,1.65
2022-08-03,1,0.41
2022-08-02,2,0.82
2022-08-01,1,0.41
2022-07-29,1,0.41
2022-07-28,2,0.82
2022-07-27,2,0.82
2022-07-26,5,2.06
2022-07-25,4,1.65
2022-07-22,4,1.65
2022-07-21,4,1.65
2022-07-18,2,0.82
2022-07-15,4,1.65
2022-07-14,18,7.41
2022-07-13,5,2.06
2022-07-12,5,2.06
2022-07-11,6,2.47
2022-07-08,6,2.47
2022-07-07,4,1.65
2022-07-06,17,7.00
2022-07-05,16,6.58
2022-07-01,14,5.76
2022-06-30,11,4.53
2022-06-29,6,2.47
2022-06-28,5,2.06
2022-06-27,3,1.23
2022-06-24,9,3.70
2022-06-23,39,16.05
2022-06-22,39,16.05
2022-06-21,40,16.46
2022-06-17,78,32.10
2022-06-16,92,37.86
2022-06-15,37,15.23
2022-06-14,68,27.98
2022-06-13,50,20.58
2022-06-10,8,3.29
2022-06-09,7,2.88
2022-06-08,2,0.82
2022-06-07,1,0.41
2022-06-06,1,0.41
2022-06-03,1,0.41
2022-06-02,1,0.41
2022-06-01,1,0.41
2022-05-26,1,0.41
2022-05-25,5,2.06
2022-05-24,15,6.17
2022-05-23,11,4.53
2022-05-20,21,8.64
2022-05-19,18,7.41
2022-05-18,19,7.82
2022-05-17,4,1.65
2022-05-16,12,4.94
2022-05-13,10,4.12
2022-05-12,45,18.52
2022-05-11,54,22.22
2022-05-10,37,15.23
2022-05-09,42,17.28
2022-05-06,20,8.23
2022-05-05,13,5.35
2022-05-04,1,0.41
2022-05-03,14,5.76
2022-05-02,21,8.64
2022-04-29,28,11.52
2022-04-28,14,5.76
2022-04-27,25,10.29
2022-04-26,22,9.05
2022-04-25,9,3.70
2022-04-22,13,5.35
2022-04-21,6,2.47
2022-04-19,2,0.82
2022-04-18,9,3.70
2022-04-14,10,4.12
2022-04-13,9,3.70
2022-04-12,11,4.53
2022-04-11,10,4.12
2022-04-08,10,4.12
2022-04-07,13,5.35
2022-04-06,6,2.47
2022-04-05,6,2.47
2022-04-04,2,0.82
2022-04-01,3,1.23
2022-03-18,1,0.41
2022-03-15,5,2.06
2022-03-14,11,4.53
2022-03-11,10,4.12
2022-03-10,6,2.47
2022-03-09,4,1.65
2022-03-08,30,12.35
2022-03-07,43,17.70
2022-03-04,17,7.00
2022-03-03,3,1.23
2022-03-01,25,10.29
2022-02-28,5,2.06
2022-02-25,4,1.65
2022-02-24,29,11.93
2022-02-23,50,20.58
2022-02-22,22,9.05
2022-02-18,16,6.58
2022-02-17,11,4.53
2022-02-16,8,3.29
2022-02-15,9,3.70
2022-02-14,17,7.00
2022-02-11,13,5.35
2022-02-10,3,1.23
2022-02-09,2,0.82
2022-02-08,6,2.47
2022-02-07,10,4.12
2022-02-04,12,4.94
2022-02-03,9,3.70
2022-02-02,2,0.82
2022-01-31,2,0.82
2022-01-28,25,10.29
2022-01-27,60,24.69
2022-01-26,53,21.81
2022-01-25,45,18.52
2022-01-24,34,13.99
2022-01-21,52,21.40
2022-01-20,39,16.05
2022-01-19,20,8.23
2022-01-18,19,7.82
2022-01-14,10,4.12
2022-01-13,9,3.70
2022-01-12,3,1.23
2022-01-11,3,1.23
2022-01-10,7,2.88
2022-01-07,5,2.06
2022-01-06,4,1.65
2022-01-05,3,1.23
2022-01-04,1,0.41
2021-12-29,1,0.41
2021-12-22,2,0.82
