Date,Price,RSI,STATUS
12-16-2022,61.21,41.26,HOLD
12-15-2022,61.01,40.44,HOLD
12-14-2022,62.16,43.70,HOLD
12-13-2022,61.95,42.92,HOLD
12-12-2022,60.86,38.84,HOLD
12-09-2022,60.30,36.68,HOLD
12-08-2022,60.57,37.27,HOLD
12-07-2022,60.53,37.13,HOLD
12-06-2022,61.58,39.25,HOLD
12-05-2022,61.58,39.25,HOLD
12-02-2022,64.50,45.46,HOLD
12-01-2022,63.79,43.44,HOLD
11-30-2022,63.76,43.36,HOLD
11-29-2022,62.79,40.77,HOLD
11-28-2022,62.64,40.38,HOLD
11-25-2022,64.31,43.34,HOLD
11-23-2022,63.89,42.35,HOLD
11-22-2022,63.44,41.33,HOLD
11-21-2022,64.93,43.71,HOLD
11-18-2022,63.88,41.51,HOLD
11-17-2022,64.27,42.08,HOLD
11-16-2022,63.35,40.29,HOLD
11-15-2022,66.23,44.25,HOLD
11-14-2022,67.57,46.22,HOLD
11-11-2022,72.89,55.25,HOLD
11-10-2022,71.53,53.07,HOLD
11-09-2022,65.62,41.61,HOLD
11-08-2022,68.80,47.39,HOLD
11-07-2022,70.99,52.01,HOLD
11-04-2022,69.79,49.50,HOLD
11-03-2022,67.12,43.39,HOLD
11-02-2022,70.79,51.32,HOLD
11-01-2022,74.53,62.05,HOLD
10-31-2022,73.25,59.34,HOLD
10-28-2022,72.31,57.28,HOLD
10-27-2022,72.27,57.20,HOLD
10-26-2022,72.89,58.90,HOLD
10-25-2022,72.21,57.61,HOLD
10-24-2022,71.18,55.64,HOLD
10-21-2022,69.04,51.30,HOLD
10-20-2022,66.71,45.95,HOLD
10-19-2022,70.64,55.51,HOLD
10-18-2022,73.04,62.92,HOLD
10-17-2022,69.98,55.97,HOLD
10-14-2022,69.17,53.82,HOLD
10-13-2022,69.42,54.57,HOLD
10-12-2022,67.00,47.99,HOLD
10-11-2022,65.87,44.53,HOLD
10-10-2022,65.26,42.57,HOLD
10-07-2022,64.92,41.53,HOLD
10-06-2022,65.77,43.39,HOLD
10-05-2022,64.72,40.33,HOLD
10-04-2022,66.34,43.70,HOLD
10-03-2022,64.80,39.21,HOLD
09-30-2022,61.24,26.74,BUY
09-29-2022,61.22,26.66,BUY
09-28-2022,63.56,30.18,HOLD
09-27-2022,62.81,27.30,BUY
09-26-2022,62.05,24.40,BUY
09-23-2022,63.28,25.97,BUY
09-22-2022,65.10,28.46,BUY
09-21-2022,66.34,30.32,HOLD
09-20-2022,65.70,28.09,BUY
09-19-2022,67.90,31.30,HOLD
09-16-2022,69.08,33.18,HOLD
09-15-2022,69.46,33.79,HOLD
09-14-2022,71.62,37.42,HOLD
09-13-2022,71.73,37.61,HOLD
09-12-2022,75.11,44.03,HOLD
09-09-2022,74.05,41.09,HOLD
09-08-2022,71.51,33.34,HOLD
09-07-2022,72.59,35.18,HOLD
09-06-2022,72.48,34.84,HOLD
09-02-2022,72.28,34.26,HOLD
09-01-2022,72.87,35.11,HOLD
08-31-2022,73.33,35.76,HOLD
08-30-2022,73.13,35.28,HOLD
08-29-2022,74.75,37.38,HOLD
08-26-2022,77.97,42.00,HOLD
08-25-2022,82.92,50.98,HOLD
08-24-2022,82.25,49.63,HOLD
08-23-2022,80.00,44.88,HOLD
08-22-2022,80.25,45.32,HOLD
08-19-2022,81.79,48.03,HOLD
08-18-2022,84.13,52.43,HOLD
08-17-2022,80.72,45.68,HOLD
08-16-2022,84.44,53.35,HOLD
08-15-2022,85.51,55.86,HOLD
08-12-2022,87.15,59.84,HOLD
08-11-2022,86.19,58.22,HOLD
08-10-2022,84.29,54.87,HOLD
08-09-2022,82.04,50.49,HOLD
08-08-2022,83.27,53.11,HOLD
08-05-2022,82.62,51.88,HOLD
08-04-2022,81.26,49.33,HOLD
08-03-2022,81.99,50.67,HOLD
08-02-2022,82.65,51.85,HOLD
08-01-2022,90.51,70.01,SELL
07-29-2022,90.92,71.21,SELL
07-28-2022,89.09,69.00,HOLD
07-27-2022,86.82,65.98,HOLD
07-26-2022,84.23,62.07,HOLD
07-25-2022,85.00,64.09,HOLD
07-22-2022,83.99,62.60,HOLD
07-21-2022,85.24,65.73,HOLD
07-20-2022,86.84,69.92,HOLD
07-19-2022,81.12,61.90,HOLD
07-18-2022,76.37,52.04,HOLD
07-15-2022,75.37,49.48,HOLD
07-14-2022,73.11,43.11,HOLD
07-13-2022,72.67,41.80,HOLD
07-12-2022,72.50,41.31,HOLD
07-11-2022,72.28,40.72,HOLD
07-08-2022,72.26,40.67,HOLD
07-07-2022,71.87,39.71,HOLD
07-06-2022,69.80,34.60,HOLD
07-05-2022,71.32,36.73,HOLD
07-01-2022,72.94,39.10,HOLD
06-30-2022,72.28,37.59,HOLD
06-29-2022,73.03,38.60,HOLD
06-28-2022,72.82,38.17,HOLD
06-27-2022,73.93,39.55,HOLD
