Date,Price,RSI,STATUS
12-16-2022,76.72,40.36,HOLD
12-15-2022,77.72,43.05,HOLD
12-14-2022,78.79,46.10,HOLD
12-13-2022,80.14,50.28,HOLD
12-12-2022,79.71,48.91,HOLD
12-09-2022,78.59,45.27,HOLD
12-08-2022,77.79,42.55,HOLD
12-07-2022,76.91,39.48,HOLD
12-06-2022,77.08,39.86,HOLD
12-05-2022,78.79,43.82,HOLD
12-02-2022,79.62,45.88,HOLD
12-01-2022,79.25,44.81,HOLD
11-30-2022,79.04,44.23,HOLD
11-29-2022,76.48,36.66,HOLD
11-28-2022,76.13,35.55,HOLD
11-25-2022,79.12,41.29,HOLD
11-23-2022,79.02,40.99,HOLD
11-22-2022,77.93,37.83,HOLD
11-21-2022,82.29,47.25,HOLD
11-18-2022,81.30,44.33,HOLD
11-17-2022,79.94,40.09,HOLD
11-16-2022,81.78,44.33,HOLD
11-15-2022,83.40,48.52,HOLD
11-14-2022,82.90,47.09,HOLD
11-11-2022,83.55,48.73,HOLD
11-10-2022,81.84,43.96,HOLD
11-09-2022,79.29,35.68,HOLD
11-08-2022,80.19,37.49,HOLD
11-07-2022,85.54,52.15,HOLD
11-04-2022,84.65,49.07,HOLD
11-03-2022,84.02,46.83,HOLD
11-02-2022,85.78,52.88,HOLD
11-01-2022,87.74,61.03,HOLD
10-31-2022,87.34,59.86,HOLD
10-28-2022,86.82,58.34,HOLD
10-27-2022,85.57,54.51,HOLD
10-26-2022,85.37,53.89,HOLD
10-25-2022,84.50,51.15,HOLD
10-24-2022,83.88,49.16,HOLD
10-21-2022,83.26,47.16,HOLD
10-20-2022,82.45,44.51,HOLD
10-19-2022,83.66,47.84,HOLD
10-18-2022,84.10,49.08,HOLD
10-17-2022,82.76,45.05,HOLD
10-14-2022,81.61,41.36,HOLD
10-13-2022,83.50,46.09,HOLD
10-12-2022,80.31,34.32,HOLD
10-11-2022,81.89,38.15,HOLD
10-10-2022,81.84,37.95,HOLD
10-07-2022,82.42,39.34,HOLD
10-06-2022,84.42,44.58,HOLD
10-05-2022,85.05,46.39,HOLD
10-04-2022,84.50,44.57,HOLD
10-03-2022,82.70,38.18,HOLD
09-30-2022,80.75,30.08,HOLD
09-29-2022,82.27,33.23,HOLD
09-28-2022,82.59,33.93,HOLD
09-27-2022,80.89,26.32,BUY
09-26-2022,81.33,27.07,BUY
09-23-2022,82.66,29.42,BUY
09-22-2022,83.56,31.11,HOLD
09-21-2022,85.73,35.73,HOLD
09-20-2022,88.46,43.22,HOLD
09-19-2022,89.68,47.34,HOLD
09-16-2022,90.25,49.38,HOLD
09-15-2022,90.62,50.70,HOLD
09-14-2022,90.62,50.70,HOLD
09-13-2022,90.32,49.76,HOLD
09-12-2022,92.06,55.43,HOLD
09-09-2022,89.73,48.07,HOLD
09-08-2022,87.89,40.91,HOLD
09-07-2022,87.11,37.52,HOLD
