Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,74.44,30.83,HOLD,1.33,-10.82,-24.20
01-26-2023,73.46,26.54,BUY,-5.80,-11.99,-20.10
01-25-2023,77.98,36.13,HOLD,-0.79,-6.58,-16.17
01-24-2023,78.60,37.88,HOLD,-0.06,-5.83,-16.53
01-23-2023,78.65,38.01,HOLD,1.56,-5.77,-17.82
01-20-2023,77.44,32.51,HOLD,1.03,-7.22,-18.77
01-19-2023,76.65,28.68,HOLD,-0.67,-8.17,-20.21
01-18-2023,77.17,29.71,HOLD,-4.85,-7.55,-20.83
01-17-2023,81.10,39.75,HOLD,0.00,-2.84,-15.83
01-13-2023,81.10,39.75,HOLD,0.16,-2.84,-15.09
01-12-2023,80.97,39.17,HOLD,-3.05,-3.00,-15.10
01-11-2023,83.52,47.61,HOLD,-1.01,0.06,-12.28
01-10-2023,84.37,51.02,HOLD,-0.28,1.08,-10.83
01-09-2023,84.61,51.99,HOLD,-1.96,1.37,-11.90
01-06-2023,86.30,59.42,HOLD,2.19,3.39,-10.56
01-05-2023,84.45,52.53,HOLD,-0.60,1.17,-12.87
01-04-2023,84.96,54.92,HOLD,1.79,1.79,-11.96
01-03-2023,83.47,48.58,HOLD,0.70,0.00,-12.89
12-30-2022,82.89,45.82,HOLD,-1.49,,0.00
12-29-2022,84.14,51.32,HOLD,1.08,,0.00
12-28-2022,83.24,47.08,HOLD,-1.87,,0.00
12-27-2022,84.83,54.94,HOLD,0.72,,0.00
12-23-2022,84.22,52.09,HOLD,0.05,,0.00
12-22-2022,84.18,51.90,HOLD,-0.08,,0.00
12-21-2022,84.25,52.23,HOLD,1.52,,0.00
12-20-2022,82.99,46.58,HOLD,0.18,,0.00
12-19-2022,82.84,45.88,HOLD,-0.68,,0.00
12-16-2022,83.41,48.13,HOLD,-1.24,,0.00
12-15-2022,84.46,52.53,HOLD,-2.10,,0.00
12-14-2022,86.27,61.54,HOLD,-0.38,,0.00
12-13-2022,86.60,63.38,HOLD,0.72,,0.00
12-12-2022,85.98,61.36,HOLD,0.82,,0.00
12-09-2022,85.28,59.00,HOLD,-0.43,,0.00
12-08-2022,85.65,60.83,HOLD,0.35,,0.00
12-07-2022,85.35,59.89,HOLD,1.15,,0.00
12-06-2022,84.38,56.79,HOLD,0.39,,0.00
12-05-2022,84.05,55.71,HOLD,-2.70,,0.00
12-02-2022,86.38,66.64,HOLD,0.76,,0.00
12-01-2022,85.73,64.86,HOLD,0.65,,0.00
11-30-2022,85.18,63.31,HOLD,1.71,,0.00
11-29-2022,83.75,58.96,HOLD,0.00,,0.00
11-28-2022,83.75,58.96,HOLD,-1.37,,0.00
11-25-2022,84.91,64.30,HOLD,-1.39,,0.00
11-23-2022,86.11,70.42,HOLD,-0.01,,0.00
11-22-2022,86.12,70.47,HOLD,1.14,,0.00
11-21-2022,85.15,68.37,HOLD,1.66,,0.00
11-18-2022,83.76,65.06,HOLD,0.77,,0.00
11-17-2022,83.12,63.43,HOLD,-0.63,,0.00
11-16-2022,83.65,65.79,HOLD,0.00,,0.00
11-15-2022,83.65,65.79,HOLD,1.09,,0.00
11-14-2022,82.75,63.82,HOLD,-1.22,,0.00
11-11-2022,83.77,67.95,HOLD,2.33,,0.00
11-10-2022,81.86,63.88,HOLD,3.35,,0.00
11-09-2022,79.21,56.82,HOLD,-1.85,,0.00
11-08-2022,80.70,63.28,HOLD,0.95,,0.00
11-07-2022,79.94,61.19,HOLD,1.16,,0.00
11-04-2022,79.02,58.53,HOLD,2.94,,0.00
11-03-2022,76.76,50.87,HOLD,-0.61,,0.00
11-02-2022,77.23,52.75,HOLD,-1.73,,0.00
11-01-2022,78.59,58.58,HOLD,-0.06,,0.00
10-31-2022,78.64,58.80,HOLD,-0.71,,0.00
10-28-2022,79.20,61.21,HOLD,2.04,,0.00
10-27-2022,77.62,56.54,HOLD,1.60,,0.00
10-26-2022,76.40,52.44,HOLD,0.35,,0.00
10-25-2022,76.13,51.50,HOLD,2.19,,0.00
10-24-2022,74.50,45.46,HOLD,0.89,,0.00
10-21-2022,73.84,42.78,HOLD,1.44,,0.00
10-20-2022,72.79,38.30,HOLD,-2.54,,0.00
10-19-2022,74.69,44.10,HOLD,0.11,,0.00
10-18-2022,74.61,43.77,HOLD,1.33,,0.00
10-17-2022,73.63,39.68,HOLD,0.12,,0.00
10-14-2022,73.54,39.30,HOLD,-1.78,,0.00
10-13-2022,74.87,42.98,HOLD,0.52,,0.00
10-12-2022,74.48,41.49,HOLD,-1.79,,0.00
10-11-2022,75.84,45.33,HOLD,-0.03,,0.00
10-10-2022,75.86,45.39,HOLD,3.30,,0.00
10-07-2022,73.44,36.33,HOLD,1.39,,0.00
10-06-2022,72.43,31.96,HOLD,-1.20,,0.00
10-05-2022,73.31,33.84,HOLD,-1.50,,0.00
10-04-2022,74.43,36.37,HOLD,2.79,,0.00
10-03-2022,72.41,27.26,HOLD,1.60,,0.00
09-30-2022,71.27,21.37,BUY,-3.05,,0.00
09-29-2022,73.51,25.08,BUY,-2.04,,0.00
09-28-2022,75.04,28.18,HOLD,0.79,,0.00
09-27-2022,74.45,24.85,BUY,-1.21,,0.00
09-26-2022,75.36,26.62,BUY,-0.88,,0.00
09-23-2022,76.03,27.98,HOLD,-0.83,,0.00
09-22-2022,76.67,29.30,HOLD,-0.82,,0.00
09-21-2022,77.30,30.63,HOLD,-0.08,,0.00
09-20-2022,77.36,30.76,HOLD,-1.90,,0.00
09-19-2022,78.86,33.93,HOLD,-0.35,,0.00
