Date,Price,RSI,STATUS
12-16-2022,121.69,40.48,HOLD
12-15-2022,122.38,42.07,HOLD
12-14-2022,126.09,52.34,HOLD
12-13-2022,127.29,56.48,HOLD
12-12-2022,126.85,55.28,HOLD
12-09-2022,125.76,52.24,HOLD
12-08-2022,126.00,52.97,HOLD
12-07-2022,126.35,54.00,HOLD
12-06-2022,124.58,49.38,HOLD
12-05-2022,124.63,49.51,HOLD
12-02-2022,126.99,56.00,HOLD
12-01-2022,125.99,53.61,HOLD
11-30-2022,125.97,53.56,HOLD
11-29-2022,126.13,53.97,HOLD
11-28-2022,124.64,50.74,HOLD
11-25-2022,129.04,62.81,HOLD
11-23-2022,128.00,60.76,HOLD
11-22-2022,128.60,62.61,HOLD
11-21-2022,127.63,60.82,HOLD
11-18-2022,126.76,59.19,HOLD
11-17-2022,127.15,60.23,HOLD
11-16-2022,127.25,60.49,HOLD
11-15-2022,129.70,66.88,HOLD
11-14-2022,129.51,66.63,HOLD
11-11-2022,131.44,71.82,SELL
11-10-2022,127.66,67.16,HOLD
11-09-2022,122.40,58.24,HOLD
11-08-2022,123.90,62.76,HOLD
11-07-2022,123.24,61.54,HOLD
11-04-2022,123.40,61.99,HOLD
11-03-2022,121.43,58.48,HOLD
11-02-2022,121.44,58.50,HOLD
11-01-2022,123.85,64.84,HOLD
10-31-2022,124.33,66.18,HOLD
10-28-2022,125.13,68.34,HOLD
10-27-2022,121.38,63.08,HOLD
10-26-2022,121.28,62.93,HOLD
10-25-2022,117.13,55.93,HOLD
10-24-2022,117.01,55.71,HOLD
10-21-2022,115.46,52.82,HOLD
10-20-2022,111.80,44.97,HOLD
10-19-2022,112.88,47.12,HOLD
10-18-2022,114.61,50.72,HOLD
10-17-2022,112.54,46.15,HOLD
10-14-2022,112.31,45.64,HOLD
10-13-2022,112.94,46.77,HOLD
10-12-2022,107.69,33.86,HOLD
10-11-2022,107.58,33.55,HOLD
10-10-2022,107.20,32.54,HOLD
10-07-2022,106.28,30.09,HOLD
10-06-2022,109.83,34.55,HOLD
10-05-2022,113.84,40.89,HOLD
10-04-2022,114.28,41.68,HOLD
10-03-2022,111.91,35.52,HOLD
09-30-2022,109.22,27.45,BUY
09-29-2022,111.00,29.74,BUY
09-28-2022,112.96,32.50,HOLD
09-27-2022,111.11,26.51,BUY
09-26-2022,111.69,27.22,BUY
09-23-2022,111.68,27.19,BUY
09-22-2022,112.82,28.46,BUY
09-21-2022,113.48,29.21,BUY
09-20-2022,115.17,31.13,HOLD
09-19-2022,115.29,31.27,HOLD
09-16-2022,115.26,31.20,HOLD
09-15-2022,115.07,30.79,HOLD
09-14-2022,116.17,31.81,HOLD
09-13-2022,119.08,34.65,HOLD
09-12-2022,122.81,38.77,HOLD
09-09-2022,121.68,36.64,HOLD
09-08-2022,117.89,29.00,BUY
09-07-2022,119.15,30.13,HOLD
09-06-2022,115.25,21.38,BUY
09-02-2022,120.24,25.11,BUY
09-01-2022,124.18,28.79,BUY
08-31-2022,122.91,25.53,BUY
08-30-2022,123.41,25.97,BUY
08-29-2022,124.98,27.33,BUY
08-26-2022,127.65,29.80,BUY
08-25-2022,141.11,51.63,HOLD
08-24-2022,139.41,47.08,HOLD
08-23-2022,140.11,48.84,HOLD
08-22-2022,139.95,48.44,HOLD
08-19-2022,143.52,58.03,HOLD
08-18-2022,143.51,58.00,HOLD
08-17-2022,144.24,60.11,HOLD
08-16-2022,147.01,68.90,HOLD
08-15-2022,148.16,72.99,SELL
08-12-2022,148.95,75.89,SELL
08-11-2022,146.43,72.68,SELL
08-10-2022,146.15,72.31,SELL
08-09-2022,144.64,70.24,SELL
08-08-2022,145.27,72.33,SELL
08-05-2022,144.22,70.99,SELL
08-04-2022,144.92,73.17,SELL
08-03-2022,140.39,67.05,HOLD
08-02-2022,138.69,64.21,HOLD
08-01-2022,140.26,69.35,HOLD
07-29-2022,140.14,69.18,HOLD
07-28-2022,137.34,64.83,HOLD
07-27-2022,135.86,62.22,HOLD
07-26-2022,137.71,68.09,HOLD
07-25-2022,131.22,53.93,HOLD
07-22-2022,131.22,53.93,HOLD
07-21-2022,131.05,53.47,HOLD
07-20-2022,130.14,50.97,HOLD
07-19-2022,129.27,48.58,HOLD
07-18-2022,126.12,38.34,HOLD
07-15-2022,127.32,41.22,HOLD
07-14-2022,125.54,34.37,HOLD
07-13-2022,125.60,34.50,HOLD
07-12-2022,127.39,38.39,HOLD
07-11-2022,126.22,33.88,HOLD
07-08-2022,125.94,32.77,HOLD
07-07-2022,127.24,35.30,HOLD
07-06-2022,127.03,34.56,HOLD
