Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-15-2024,210.50,54.74,HOLD,-1.61,63.81,65.16
01-12-2024,213.95,58.11,HOLD,1.35,66.50,64.58
01-11-2024,211.10,56.03,HOLD,8.09,64.28,58.78
01-10-2024,195.30,40.97,HOLD,2.28,51.98,48.52
01-09-2024,190.95,35.31,HOLD,-1.01,48.60,45.21
01-08-2024,192.90,36.78,HOLD,-1.56,50.12,45.26
01-05-2024,195.95,39.14,HOLD,-1.11,52.49,47.28
01-04-2024,198.15,40.91,HOLD,-2.58,54.20,47.54
01-03-2024,203.40,45.44,HOLD,-2.82,58.29,57.31
01-02-2024,209.30,51.38,HOLD,1.50,62.88,62.69
01-01-2024,206.20,48.07,HOLD,-1.06,60.47,60.47
12-29-2023,208.40,50.32,HOLD,0.48,62.18,0.00
12-28-2023,207.40,49.32,HOLD,0.10,61.40,0.00
12-27-2023,207.20,49.13,HOLD,0.19,61.25,0.00
12-26-2023,206.80,48.77,HOLD,3.32,60.93,0.00
12-22-2023,200.15,42.50,HOLD,2.93,55.76,0.00
12-21-2023,194.45,36.31,HOLD,1.46,51.32,0.00
12-20-2023,191.65,33.01,HOLD,-6.17,49.14,0.00
12-19-2023,204.25,42.11,HOLD,-1.23,58.95,0.00
12-18-2023,206.80,44.41,HOLD,-1.59,60.93,0.00
12-15-2023,210.15,47.59,HOLD,-0.45,63.54,0.00
12-14-2023,211.10,48.50,HOLD,-1.84,64.28,0.00
12-13-2023,215.05,52.37,HOLD,1.34,67.35,0.00
12-12-2023,212.20,49.68,HOLD,0.47,65.14,0.00
12-11-2023,211.20,48.73,HOLD,-3.23,64.36,0.00
12-08-2023,218.25,55.56,HOLD,-1.13,69.84,0.00
12-07-2023,220.75,58.25,HOLD,5.72,71.79,0.00
12-06-2023,208.80,46.84,HOLD,0.72,62.49,0.00
12-05-2023,207.30,45.09,HOLD,3.24,61.32,0.00
12-04-2023,200.80,36.70,HOLD,-1.40,56.26,0.00
12-01-2023,203.65,39.13,HOLD,-0.46,58.48,0.00
11-30-2023,204.60,39.95,HOLD,0.10,59.22,0.00
11-29-2023,204.40,39.71,HOLD,-2.94,59.07,0.00
11-28-2023,210.60,45.04,HOLD,-1.27,63.89,0.00
11-24-2023,213.30,47.62,HOLD,1.77,65.99,0.00
11-23-2023,209.60,43.50,HOLD,-1.67,63.11,0.00
11-22-2023,213.15,46.78,HOLD,-0.09,65.88,0.00
11-21-2023,213.35,46.97,HOLD,0.61,66.03,0.00
11-20-2023,212.05,45.67,HOLD,3.74,65.02,0.00
11-17-2023,204.40,37.26,HOLD,-5.00,59.07,0.00
11-16-2023,215.15,46.68,HOLD,3.21,67.43,0.00
11-15-2023,208.45,37.54,HOLD,0.19,62.22,0.00
11-13-2023,208.05,36.94,HOLD,-2.51,61.91,0.00
11-10-2023,213.40,41.94,HOLD,-1.55,66.07,0.00
11-09-2023,216.75,45.52,HOLD,-0.12,68.68,0.00
11-08-2023,217.00,45.79,HOLD,-1.36,68.87,0.00
11-07-2023,220.00,49.05,HOLD,-0.41,71.21,0.00
11-06-2023,220.90,50.04,HOLD,1.45,71.91,0.00
11-03-2023,217.75,46.53,HOLD,1.52,69.46,0.00
11-02-2023,214.50,42.67,HOLD,1.32,66.93,0.00
11-01-2023,211.70,39.16,HOLD,0.24,64.75,0.00
10-31-2023,211.20,38.53,HOLD,-2.18,64.36,0.00
