Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,51.43,54.86,HOLD,-1.00,2.49,2023
01-09-2023,51.95,58.71,HOLD,-1.07,3.53,2023
01-06-2023,52.51,63.15,HOLD,2.54,4.64,2023
01-05-2023,51.21,55.98,HOLD,1.33,2.05,2023
01-04-2023,50.54,51.47,HOLD,0.72,0.72,2023
01-03-2023,50.18,48.85,HOLD,-0.06,0.00,2023
12-30-2022,50.21,49.05,HOLD,0.92,,2022
12-29-2022,49.75,45.82,HOLD,0.77,,2022
12-28-2022,49.37,43.05,HOLD,-0.96,,2022
12-27-2022,49.85,45.80,HOLD,-0.64,,2022
12-23-2022,50.17,47.68,HOLD,2.85,,2022
12-22-2022,48.78,37.26,HOLD,-0.81,,2022
12-21-2022,49.18,39.36,HOLD,-0.22,,2022
12-20-2022,49.29,39.93,HOLD,-0.56,,2022
12-19-2022,49.57,41.35,HOLD,-1.78,,2022
12-16-2022,50.47,46.28,HOLD,-0.16,,2022
12-15-2022,50.55,46.74,HOLD,0.36,,2022
12-14-2022,50.37,45.61,HOLD,-0.14,,2022
12-13-2022,50.44,45.96,HOLD,1.14,,2022
12-12-2022,49.87,42.62,HOLD,2.85,,2022
12-09-2022,48.49,33.35,HOLD,-2.53,,2022
12-08-2022,49.75,38.64,HOLD,-1.17,,2022
12-07-2022,50.34,41.50,HOLD,-0.94,,2022
12-06-2022,50.82,43.96,HOLD,-1.61,,2022
12-05-2022,51.65,48.59,HOLD,-1.58,,2022
12-02-2022,52.48,53.85,HOLD,0.52,,2022
12-01-2022,52.21,52.29,HOLD,-0.93,,2022
11-30-2022,52.70,55.45,HOLD,-0.04,,2022
11-29-2022,52.72,55.58,HOLD,2.19,,2022
11-28-2022,51.59,49.50,HOLD,-0.52,,2022
11-25-2022,51.86,51.05,HOLD,-0.33,,2022
11-23-2022,52.03,52.00,HOLD,-1.81,,2022
11-22-2022,52.99,57.64,HOLD,2.77,,2022
11-21-2022,51.56,50.16,HOLD,-0.67,,2022
11-18-2022,51.91,52.26,HOLD,1.03,,2022
11-17-2022,51.38,49.28,HOLD,-1.10,,2022
11-16-2022,51.95,52.56,HOLD,-0.21,,2022
11-15-2022,52.06,53.19,HOLD,-2.05,,2022
11-14-2022,53.15,59.83,HOLD,0.28,,2022
