Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,45.99,50.44,HOLD,0.02,1.03,2023
01-09-2023,45.98,50.34,HOLD,-1.01,1.01,2023
01-06-2023,46.45,55.40,HOLD,2.38,2.04,2023
01-05-2023,45.37,43.22,HOLD,-0.09,-0.33,2023
01-04-2023,45.41,43.63,HOLD,-0.24,-0.24,2023
01-03-2023,45.52,44.71,HOLD,-0.42,0.00,2023
12-30-2022,45.71,46.56,HOLD,-0.35,,2022
12-29-2022,45.87,48.12,HOLD,0.04,,2022
12-28-2022,45.85,47.92,HOLD,-1.36,,2022
12-27-2022,46.48,54.10,HOLD,0.52,,2022
12-23-2022,46.24,51.91,HOLD,1.00,,2022
12-22-2022,45.78,47.44,HOLD,0.42,,2022
12-21-2022,45.59,45.49,HOLD,-1.83,,2022
12-20-2022,46.44,53.75,HOLD,0.13,,2022
12-19-2022,46.38,53.19,HOLD,-0.39,,2022
12-16-2022,46.56,55.04,HOLD,-0.83,,2022
12-15-2022,46.95,59.17,HOLD,-0.38,,2022
12-14-2022,47.13,61.13,HOLD,0.68,,2022
12-13-2022,46.81,58.88,HOLD,-0.32,,2022
12-12-2022,46.96,60.40,HOLD,0.54,,2022
12-09-2022,46.71,58.75,HOLD,-0.32,,2022
12-08-2022,46.86,60.15,HOLD,1.06,,2022
12-07-2022,46.37,57.04,HOLD,0.35,,2022
12-06-2022,46.21,56.00,HOLD,-2.08,,2022
12-05-2022,47.19,64.94,HOLD,-0.92,,2022
12-02-2022,47.63,69.57,HOLD,1.32,,2022
12-01-2022,47.01,66.44,HOLD,0.92,,2022
11-30-2022,46.58,64.06,HOLD,1.66,,2022
11-29-2022,45.82,59.32,HOLD,1.48,,2022
11-28-2022,45.15,54.40,HOLD,0.92,,2022
11-25-2022,44.74,51.04,HOLD,-0.62,,2022
11-23-2022,45.02,53.54,HOLD,-0.31,,2022
11-22-2022,45.16,54.79,HOLD,0.80,,2022
11-21-2022,44.80,52.12,HOLD,1.36,,2022
11-18-2022,44.20,47.31,HOLD,1.21,,2022
11-17-2022,43.67,42.58,HOLD,0.21,,2022
11-16-2022,43.58,41.76,HOLD,-0.18,,2022
11-15-2022,43.66,42.26,HOLD,-0.68,,2022
11-14-2022,43.96,44.10,HOLD,-0.95,,2022
11-11-2022,44.38,46.75,HOLD,0.36,,2022
11-10-2022,44.22,45.60,HOLD,-2.19,,2022
11-09-2022,45.21,52.10,HOLD,-1.50,,2022
11-08-2022,45.90,57.39,HOLD,0.04,,2022
11-07-2022,45.88,57.27,HOLD,0.84,,2022
11-04-2022,45.50,55.10,HOLD,1.31,,2022
11-03-2022,44.91,51.55,HOLD,0.16,,2022
11-02-2022,44.84,51.12,HOLD,-2.82,,2022
11-01-2022,46.14,60.26,HOLD,-0.28,,2022
10-31-2022,46.27,61.28,HOLD,-0.09,,2022
10-28-2022,46.31,61.57,HOLD,1.96,,2022
10-27-2022,45.42,57.30,HOLD,-1.92,,2022
10-26-2022,46.31,63.90,HOLD,1.25,,2022
10-25-2022,45.74,61.25,HOLD,0.73,,2022
10-24-2022,45.41,59.65,HOLD,2.09,,2022
10-21-2022,44.48,54.78,HOLD,2.11,,2022
10-20-2022,43.56,49.14,HOLD,-2.48,,2022
10-19-2022,44.67,57.12,HOLD,-0.22,,2022
10-18-2022,44.77,57.91,HOLD,0.40,,2022
10-17-2022,44.59,56.91,HOLD,-1.41,,2022
10-14-2022,45.23,61.72,HOLD,-1.44,,2022
10-13-2022,45.89,67.15,HOLD,2.55,,2022
10-12-2022,44.75,61.75,HOLD,0.90,,2022
10-11-2022,44.35,59.59,HOLD,2.05,,2022
10-10-2022,43.46,54.25,HOLD,1.49,,2022
10-07-2022,42.82,49.81,HOLD,-0.40,,2022
10-06-2022,42.99,51.03,HOLD,0.21,,2022
10-05-2022,42.90,50.44,HOLD,0.94,,2022
10-04-2022,42.50,47.82,HOLD,2.73,,2022
10-03-2022,41.37,39.40,HOLD,2.45,,2022
09-30-2022,40.38,30.26,HOLD,-1.92,,2022
09-29-2022,41.17,34.07,HOLD,-0.58,,2022
09-28-2022,41.41,35.32,HOLD,1.52,,2022
09-27-2022,40.79,29.06,BUY,-1.64,,2022
09-26-2022,41.47,32.24,HOLD,-0.50,,2022
09-23-2022,41.68,33.28,HOLD,-3.67,,2022
09-22-2022,43.27,43.11,HOLD,0.60,,2022
09-21-2022,43.01,40.44,HOLD,0.21,,2022
09-20-2022,42.92,39.53,HOLD,0.02,,2022
09-19-2022,42.91,39.43,HOLD,1.47,,2022
09-16-2022,42.29,33.36,HOLD,0.67,,2022
09-15-2022,42.01,30.44,HOLD,0.60,,2022
09-14-2022,41.76,27.81,BUY,-2.82,,2022
09-13-2022,42.97,33.49,HOLD,-4.83,,2022
09-12-2022,45.15,50.88,HOLD,-0.92,,2022
09-09-2022,45.57,56.09,HOLD,0.93,,2022
09-08-2022,45.15,51.48,HOLD,0.44,,2022
09-07-2022,44.95,49.12,HOLD,0.85,,2022
09-06-2022,44.57,44.33,HOLD,-0.96,,2022
09-02-2022,45.00,49.19,HOLD,-0.82,,2022
09-01-2022,45.37,53.91,HOLD,0.55,,2022
08-31-2022,45.12,50.96,HOLD,0.00,,2022
08-30-2022,45.12,50.96,HOLD,-1.29,,2022
08-29-2022,45.71,58.61,HOLD,-0.37,,2022
08-26-2022,45.88,61.06,HOLD,-1.10,,2022
