Date,Price,RSI,STATUS
12-16-2022,109.20,61.16,HOLD
12-15-2022,109.63,63.01,HOLD
12-14-2022,111.55,72.02,SELL
12-13-2022,110.18,69.09,HOLD
12-12-2022,108.25,64.19,HOLD
12-09-2022,108.06,63.67,HOLD
12-08-2022,110.12,74.71,SELL
12-07-2022,109.37,73.12,SELL
12-06-2022,108.21,70.50,SELL
12-05-2022,109.29,77.01,SELL
12-02-2022,109.32,77.19,SELL
12-01-2022,109.08,76.78,SELL
11-30-2022,109.40,78.53,SELL
11-29-2022,108.12,76.54,SELL
11-28-2022,107.74,75.91,SELL
11-25-2022,106.79,74.34,SELL
11-23-2022,106.12,73.19,SELL
11-22-2022,106.20,73.55,SELL
11-21-2022,104.91,71.43,SELL
11-18-2022,103.54,68.96,HOLD
11-17-2022,101.64,65.06,HOLD
11-16-2022,99.27,59.14,HOLD
11-15-2022,98.94,58.23,HOLD
11-14-2022,99.69,61.10,HOLD
11-11-2022,97.32,54.45,HOLD
11-10-2022,101.22,73.69,SELL
11-09-2022,100.92,73.01,SELL
11-08-2022,100.83,72.82,SELL
11-07-2022,99.41,69.58,HOLD
11-04-2022,98.55,67.39,HOLD
11-03-2022,98.10,66.22,HOLD
11-02-2022,98.75,69.57,HOLD
11-01-2022,99.10,71.42,SELL
10-31-2022,100.53,79.27,SELL
10-28-2022,100.11,78.62,SELL
10-27-2022,99.08,77.01,SELL
10-26-2022,97.76,74.74,SELL
10-25-2022,97.07,73.45,SELL
10-24-2022,96.73,72.83,SELL
10-21-2022,95.04,69.50,HOLD
10-20-2022,92.33,62.70,HOLD
10-19-2022,92.65,64.26,HOLD
10-18-2022,93.99,71.20,SELL
10-17-2022,93.50,70.11,SELL
10-14-2022,91.57,65.29,HOLD
10-13-2022,91.88,66.89,HOLD
10-12-2022,89.82,60.95,HOLD
10-11-2022,90.45,64.21,HOLD
10-10-2022,89.88,62.52,HOLD
10-07-2022,87.02,51.92,HOLD
10-06-2022,86.86,51.21,HOLD
10-05-2022,87.81,55.76,HOLD
10-04-2022,87.81,55.76,HOLD
10-03-2022,86.97,52.54,HOLD
09-30-2022,85.55,46.38,HOLD
09-29-2022,86.07,48.51,HOLD
