Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,88.35,58.06,HOLD,0.00,0.00,0.00
08-22-2022,88.46,58.58,HOLD,0.00,0.00,0.00
08-19-2022,90.01,66.05,HOLD,0.00,0.00,0.00
08-18-2022,91.73,76.02,HOLD,0.00,0.00,0.00
08-17-2022,91.35,75.26,HOLD,0.00,0.00,0.00
08-16-2022,91.82,78.13,HOLD,0.00,0.00,0.00
08-15-2022,92.02,79.32,HOLD,0.00,0.00,0.00
08-12-2022,91.66,78.78,HOLD,0.00,0.00,0.00
08-11-2022,90.20,76.45,HOLD,0.00,0.00,0.00
08-10-2022,88.89,74.09,HOLD,0.00,0.00,0.00
08-09-2022,86.36,68.38,HOLD,0.00,0.00,0.00
08-08-2022,86.03,67.52,HOLD,0.00,0.00,0.00
08-05-2022,86.13,68.04,HOLD,0.00,0.00,0.00
08-04-2022,85.36,66.16,HOLD,0.00,0.00,0.00
08-03-2022,85.05,65.40,HOLD,0.00,0.00,0.00
08-02-2022,83.53,61.46,HOLD,0.00,0.00,0.00
08-01-2022,84.09,63.96,HOLD,0.00,0.00,0.00
07-29-2022,84.30,64.87,SELL,15.64,1140.00,0.00
07-28-2022,82.95,61.59,HOLD,13.79,1005.00,0.00
07-27-2022,82.51,60.47,HOLD,13.18,961.00,0.00
07-26-2022,80.79,55.79,HOLD,10.82,789.00,0.00
07-25-2022,82.55,62.85,HOLD,13.24,965.00,0.00
07-22-2022,82.43,62.55,HOLD,13.07,953.00,0.00
07-21-2022,83.02,64.95,HOLD,13.88,1012.00,0.00
07-20-2022,81.81,62.19,HOLD,12.22,891.00,0.00
07-19-2022,81.65,61.82,HOLD,12.00,875.00,0.00
07-18-2022,78.86,54.67,HOLD,8.18,596.00,0.00
07-15-2022,78.05,52.25,HOLD,7.06,515.00,0.00
07-14-2022,74.69,39.94,HOLD,2.46,179.00,0.00
07-13-2022,74.98,40.78,HOLD,2.85,208.00,0.00
07-12-2022,75.94,43.61,HOLD,4.17,304.00,0.00
07-11-2022,75.82,43.16,HOLD,4.01,292.00,0.00
07-08-2022,76.73,45.77,HOLD,5.25,383.00,0.00
07-07-2022,76.99,46.52,HOLD,5.61,409.00,0.00
07-06-2022,75.45,41.24,HOLD,3.50,255.00,0.00
07-05-2022,76.11,42.93,HOLD,4.40,321.00,0.00
07-01-2022,76.75,44.57,HOLD,5.28,385.00,0.00
06-30-2022,76.06,42.36,HOLD,4.33,316.00,0.00
06-29-2022,78.19,47.82,HOLD,7.26,529.00,0.00
06-28-2022,78.16,47.73,HOLD,7.22,526.00,0.00
06-27-2022,77.44,45.69,HOLD,6.23,454.00,0.00
06-24-2022,77.82,46.58,HOLD,6.75,492.00,0.00
06-23-2022,73.97,34.55,HOLD,1.47,107.00,0.00
06-22-2022,74.40,35.38,HOLD,2.06,150.00,0.00
06-21-2022,74.63,35.80,HOLD,2.37,173.00,0.00
06-17-2022,72.90,29.92,BUY,0.00,,
06-16-2022,73.95,31.55,HOLD,0.00,0.00,0.00
06-15-2022,76.02,35.04,HOLD,0.00,0.00,0.00
06-14-2022,74.96,31.43,HOLD,0.00,0.00,0.00
06-13-2022,75.18,31.77,SELL,-14.21,0.00,-1245.00
06-10-2022,77.40,35.36,HOLD,-11.67,0.00,-1023.00
06-09-2022,81.16,42.99,HOLD,-7.38,0.00,-647.00
06-08-2022,83.20,48.24,HOLD,-5.06,0.00,-443.00
06-07-2022,85.33,54.72,HOLD,-2.62,0.00,-230.00
06-06-2022,84.87,53.47,HOLD,-3.15,0.00,-276.00
06-03-2022,84.12,51.43,HOLD,-4.01,0.00,-351.00
06-02-2022,85.20,54.63,HOLD,-2.77,0.00,-243.00
06-01-2022,85.00,54.14,HOLD,-3.00,0.00,-263.00
05-31-2022,86.14,57.42,HOLD,-1.70,0.00,-149.00
05-27-2022,86.45,58.31,HOLD,-1.35,0.00,-118.00
05-26-2022,85.00,55.29,HOLD,-3.00,0.00,-263.00
05-25-2022,82.23,48.71,HOLD,-6.16,0.00,-540.00
05-24-2022,81.96,48.02,HOLD,-6.47,0.00,-567.00
05-23-2022,82.31,48.81,HOLD,-6.07,0.00,-532.00
05-20-2022,79.37,41.23,HOLD,-9.43,0.00,-826.00
05-19-2022,79.96,42.40,HOLD,-8.75,0.00,-767.00
05-18-2022,80.69,43.83,HOLD,-7.92,0.00,-694.00
05-17-2022,82.93,48.48,HOLD,-5.36,0.00,-470.00
05-16-2022,79.90,40.56,HOLD,-8.82,0.00,-773.00
05-13-2022,80.54,41.82,HOLD,-8.09,0.00,-709.00
05-12-2022,78.59,36.20,HOLD,-10.32,0.00,-904.00
05-11-2022,78.89,36.71,HOLD,-9.97,0.00,-874.00
05-10-2022,80.26,39.02,HOLD,-8.41,0.00,-737.00
05-09-2022,81.15,40.56,HOLD,-7.39,0.00,-648.00
05-06-2022,84.23,46.47,HOLD,-3.88,0.00,-340.00
05-05-2022,84.94,47.96,HOLD,-3.07,0.00,-269.00
05-04-2022,87.22,53.05,HOLD,-0.47,0.00,-41.00
05-03-2022,83.75,44.77,HOLD,-4.43,0.00,-388.00
05-02-2022,81.96,39.68,HOLD,-6.47,0.00,-567.00
04-29-2022,80.59,35.45,HOLD,-8.03,0.00,-704.00
04-28-2022,83.40,40.91,HOLD,-4.83,0.00,-423.00
04-27-2022,82.21,37.10,HOLD,-6.19,0.00,-542.00
04-26-2022,82.37,37.40,HOLD,-6.00,0.00,-526.00
04-25-2022,85.05,42.81,HOLD,-2.94,0.00,-258.00
04-22-2022,84.74,41.91,HOLD,-3.30,0.00,-289.00
04-21-2022,88.91,52.19,HOLD,1.46,128.00,0.00
04-20-2022,90.61,57.54,HOLD,3.40,298.00,0.00
04-19-2022,88.91,53.07,HOLD,1.46,128.00,0.00
