Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,228.85,40.72,HOLD,0.76,-4.48,2023
01-09-2023,227.12,38.63,HOLD,0.97,-5.20,2023
01-06-2023,224.93,35.99,HOLD,1.18,-6.11,2023
01-05-2023,222.31,32.78,HOLD,-2.96,-7.21,2023
01-04-2023,229.10,37.28,HOLD,-4.37,-4.37,2023
01-03-2023,239.58,46.43,HOLD,-0.10,0.00,2023
12-30-2022,239.82,46.68,HOLD,-0.49,,2022
12-29-2022,241.01,47.83,HOLD,2.76,,2022
12-28-2022,234.53,40.37,HOLD,-1.03,,2022
12-27-2022,236.96,42.48,HOLD,-0.74,,2022
12-23-2022,238.73,44.05,HOLD,0.23,,2022
12-22-2022,238.19,43.46,HOLD,-2.55,,2022
12-21-2022,244.43,48.99,HOLD,1.09,,2022
12-20-2022,241.80,46.32,HOLD,0.56,,2022
12-19-2022,240.45,44.94,HOLD,-1.73,,2022
12-16-2022,244.69,48.57,HOLD,-1.73,,2022
12-15-2022,249.01,52.59,HOLD,-3.19,,2022
12-14-2022,257.22,61.59,HOLD,0.12,,2022
12-13-2022,256.92,61.36,HOLD,1.75,,2022
12-12-2022,252.51,58.02,HOLD,2.89,,2022
12-09-2022,245.42,51.79,HOLD,-0.80,,2022
12-08-2022,247.40,53.86,HOLD,1.24,,2022
12-07-2022,244.37,51.08,HOLD,-0.31,,2022
12-06-2022,245.12,51.79,HOLD,-2.03,,2022
12-05-2022,250.20,56.82,HOLD,-1.89,,2022
12-02-2022,255.02,62.13,HOLD,0.13,,2022
12-01-2022,254.69,61.90,HOLD,-0.18,,2022
11-30-2022,255.14,62.38,HOLD,6.16,,2022
11-29-2022,240.33,50.94,HOLD,-0.59,,2022
11-28-2022,241.76,52.37,HOLD,-2.32,,2022
11-25-2022,247.49,58.46,HOLD,-0.04,,2022
11-23-2022,247.58,58.56,HOLD,1.04,,2022
11-22-2022,245.03,56.62,HOLD,1.23,,2022
11-21-2022,242.05,54.30,HOLD,0.34,,2022
11-18-2022,241.22,53.66,HOLD,-0.19,,2022
11-17-2022,241.68,54.05,HOLD,-0.02,,2022
11-16-2022,241.73,54.09,HOLD,-0.10,,2022
11-15-2022,241.97,54.27,HOLD,0.17,,2022
11-14-2022,241.55,54.02,HOLD,-2.25,,2022
11-11-2022,247.11,57.84,HOLD,1.70,,2022
11-10-2022,242.98,55.68,HOLD,8.23,,2022
11-09-2022,224.51,43.69,HOLD,-1.91,,2022
11-08-2022,228.87,46.45,HOLD,0.44,,2022
11-07-2022,227.87,45.72,HOLD,2.93,,2022
11-04-2022,221.39,40.88,HOLD,3.33,,2022
11-03-2022,214.25,34.95,HOLD,-2.66,,2022
11-02-2022,220.10,37.84,HOLD,-3.54,,2022
11-01-2022,228.17,42.31,HOLD,-1.71,,2022
10-31-2022,232.13,44.73,HOLD,-1.59,,2022
10-28-2022,235.87,47.08,HOLD,4.02,,2022
10-27-2022,226.75,39.92,HOLD,-1.98,,2022
10-26-2022,231.32,42.60,HOLD,-7.72,,2022
10-25-2022,250.66,57.89,HOLD,1.38,,2022
10-24-2022,247.25,55.27,HOLD,2.12,,2022
10-21-2022,242.12,50.99,HOLD,2.53,,2022
10-20-2022,236.15,45.35,HOLD,-0.14,,2022
10-19-2022,236.48,45.62,HOLD,-0.85,,2022
10-18-2022,238.50,47.21,HOLD,0.41,,2022
10-17-2022,237.53,46.38,HOLD,3.92,,2022
10-14-2022,228.56,37.94,HOLD,-2.42,,2022
