Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-27-2023,127.53,64.60,HOLD,0.00,7.39,-11.83
01-26-2023,127.53,64.60,HOLD,0.56,7.39,-11.43
01-25-2023,126.82,63.39,HOLD,-0.01,6.80,-12.83
01-24-2023,126.83,63.42,HOLD,-1.14,6.80,-13.13
01-23-2023,128.29,67.51,HOLD,1.32,8.03,-10.26
01-20-2023,126.62,65.12,HOLD,1.68,6.63,-11.29
01-19-2023,124.53,61.87,HOLD,-1.50,4.87,-14.18
01-18-2023,126.43,67.16,HOLD,-1.33,6.47,-13.96
01-17-2023,128.14,72.33,HOLD,-0.55,7.91,-13.52
01-13-2023,128.85,74.54,SELL,0.75,8.51,-13.86
01-12-2023,127.89,73.52,HOLD,-0.04,7.70,-15.98
01-11-2023,127.94,73.67,HOLD,1.67,7.74,-14.88
01-10-2023,125.84,71.52,HOLD,0.79,5.97,-16.35
01-09-2023,124.85,70.46,HOLD,0.26,5.14,-20.46
01-06-2023,124.53,70.13,HOLD,3.24,4.87,-22.67
01-05-2023,120.62,65.76,HOLD,-0.49,1.57,-25.66
01-04-2023,121.21,67.13,HOLD,2.07,2.07,-27.15
01-03-2023,118.75,64.23,HOLD,1.49,0.00,-27.89
12-30-2022,117.01,62.04,HOLD,-0.29,,0.00
12-29-2022,117.35,62.74,HOLD,2.06,,0.00
12-28-2022,114.98,59.80,HOLD,-2.19,,0.00
12-27-2022,117.56,64.97,HOLD,1.13,,0.00
12-23-2022,116.25,63.48,HOLD,-0.39,,0.00
12-22-2022,116.71,64.38,HOLD,0.80,,0.00
12-21-2022,115.78,63.41,HOLD,12.18,,0.00
12-20-2022,103.21,44.53,HOLD,0.16,,0.00
12-19-2022,103.05,44.19,HOLD,-2.74,,0.00
12-16-2022,105.95,49.28,HOLD,-2.36,,0.00
12-15-2022,108.51,54.42,HOLD,-2.64,,0.00
12-14-2022,111.45,61.22,HOLD,-1.24,,0.00
12-13-2022,112.85,64.81,HOLD,0.70,,0.00
12-12-2022,112.07,63.71,HOLD,2.42,,0.00
12-09-2022,109.42,59.74,HOLD,-1.74,,0.00
12-08-2022,111.36,64.54,HOLD,2.80,,0.00
12-07-2022,108.33,59.87,HOLD,0.37,,0.00
12-06-2022,107.93,59.21,HOLD,-1.54,,0.00
12-05-2022,109.62,63.28,HOLD,-2.30,,0.00
12-02-2022,112.20,70.12,HOLD,0.98,,0.00
12-01-2022,111.11,68.80,HOLD,1.29,,0.00
11-30-2022,109.69,67.04,HOLD,3.24,,0.00
11-29-2022,106.25,62.22,HOLD,1.23,,0.00
11-28-2022,104.96,60.20,HOLD,-0.94,,0.00
11-25-2022,105.96,62.61,HOLD,-0.65,,0.00
11-23-2022,106.65,64.27,HOLD,0.64,,0.00
11-22-2022,105.97,63.38,HOLD,2.06,,0.00
11-21-2022,103.83,60.53,HOLD,-1.51,,0.00
11-18-2022,105.42,63.97,HOLD,0.06,,0.00
11-17-2022,105.36,63.90,HOLD,0.12,,0.00
11-16-2022,105.23,63.75,HOLD,-1.39,,0.00
11-15-2022,106.71,66.58,HOLD,2.22,,0.00
11-14-2022,104.39,64.27,HOLD,-1.60,,0.00
