Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,42.05,51.05,HOLD,0.98,3.19,2023
01-09-2023,41.64,48.11,HOLD,0.48,2.18,2023
01-06-2023,41.44,46.66,HOLD,2.55,1.69,2023
01-05-2023,40.41,38.42,HOLD,-1.32,-0.83,2023
01-04-2023,40.95,41.54,HOLD,0.49,0.49,2023
01-03-2023,40.75,39.86,HOLD,-0.54,0.00,2023
12-30-2022,40.97,41.07,HOLD,-0.29,,2022
12-29-2022,41.09,41.71,HOLD,2.67,,2022
12-28-2022,40.02,33.09,HOLD,-1.33,,2022
12-27-2022,40.56,35.55,HOLD,-1.29,,2022
12-23-2022,41.09,38.14,HOLD,-0.02,,2022
12-22-2022,41.10,38.19,HOLD,-2.14,,2022
12-21-2022,42.00,42.75,HOLD,1.57,,2022
12-20-2022,41.35,37.76,HOLD,0.10,,2022
12-19-2022,41.31,37.45,HOLD,-1.55,,2022
12-16-2022,41.96,40.51,HOLD,-1.41,,2022
12-15-2022,42.56,43.56,HOLD,-3.10,,2022
12-14-2022,43.92,51.77,HOLD,-0.79,,2022
12-13-2022,44.27,54.21,HOLD,0.96,,2022
12-12-2022,43.85,51.67,HOLD,1.39,,2022
12-09-2022,43.25,47.83,HOLD,-0.60,,2022
12-08-2022,43.51,49.41,HOLD,1.05,,2022
12-07-2022,43.06,46.58,HOLD,-0.49,,2022
12-06-2022,43.27,47.74,HOLD,-2.15,,2022
12-05-2022,44.22,53.31,HOLD,-1.93,,2022
12-02-2022,45.09,59.17,HOLD,-0.18,,2022
12-01-2022,45.17,59.74,HOLD,0.33,,2022
11-30-2022,45.02,59.06,HOLD,4.16,,2022
11-29-2022,43.22,49.63,HOLD,-0.60,,2022
11-28-2022,43.48,51.21,HOLD,-1.58,,2022
11-25-2022,44.18,55.65,HOLD,-0.52,,2022
11-23-2022,44.41,57.16,HOLD,1.16,,2022
11-22-2022,43.90,54.62,HOLD,1.20,,2022
11-21-2022,43.38,51.93,HOLD,-0.89,,2022
11-18-2022,43.77,54.17,HOLD,-0.02,,2022
11-17-2022,43.78,54.22,HOLD,-0.55,,2022
11-16-2022,44.02,55.49,HOLD,-1.32,,2022
11-15-2022,44.61,58.63,HOLD,1.41,,2022
11-14-2022,43.99,56.22,HOLD,-1.08,,2022
11-11-2022,44.47,58.68,HOLD,1.93,,2022
11-10-2022,43.63,55.51,HOLD,7.15,,2022
11-09-2022,40.72,40.95,HOLD,-2.42,,2022
11-08-2022,41.73,45.78,HOLD,0.70,,2022
11-07-2022,41.44,44.02,HOLD,0.75,,2022
11-04-2022,41.13,42.16,HOLD,1.26,,2022
11-03-2022,40.62,39.06,HOLD,-1.67,,2022
11-02-2022,41.31,41.88,HOLD,-3.37,,2022
11-01-2022,42.75,48.68,HOLD,-0.84,,2022
10-31-2022,43.11,50.59,HOLD,-0.99,,2022
10-28-2022,43.54,52.90,HOLD,2.81,,2022
10-27-2022,42.35,46.66,HOLD,-1.63,,2022
10-26-2022,43.05,50.30,HOLD,-1.94,,2022
