Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,106.60,51.20,HOLD,1.75,27.33,19.51
01-11-2024,104.77,45.60,HOLD,0.82,25.14,18.01
01-10-2024,103.92,42.77,HOLD,0.28,24.13,17.29
01-09-2024,103.63,41.81,HOLD,-0.98,23.78,19.80
01-08-2024,104.66,44.26,HOLD,1.88,25.01,21.11
01-05-2024,102.73,37.94,HOLD,0.14,22.71,19.93
01-04-2024,102.59,37.46,HOLD,0.13,22.54,21.68
01-03-2024,102.46,37.04,HOLD,-1.54,22.38,21.28
01-02-2024,104.06,40.10,HOLD,-1.30,24.30,24.30
12-29-2023,105.43,42.92,HOLD,-0.77,25.93,0.00
12-28-2023,106.25,44.67,HOLD,0.29,26.91,0.00
12-27-2023,105.94,43.87,HOLD,-0.24,26.54,0.00
12-26-2023,106.19,44.35,HOLD,-0.01,26.84,0.00
12-22-2023,106.20,44.37,HOLD,0.32,26.85,0.00
12-21-2023,105.86,43.64,HOLD,1.64,26.45,0.00
12-20-2023,104.15,39.99,HOLD,-1.98,24.40,0.00
12-19-2023,106.25,43.18,HOLD,1.19,26.91,0.00
12-18-2023,105.00,40.56,HOLD,1.63,25.42,0.00
12-15-2023,103.32,36.93,HOLD,3.00,23.41,0.00
12-14-2023,100.31,29.79,HOLD,-2.60,19.82,0.00
12-13-2023,102.99,32.87,HOLD,2.16,23.02,0.00
12-12-2023,100.81,27.19,HOLD,-12.44,20.41,0.00
12-11-2023,115.13,56.13,HOLD,1.34,37.52,0.00
12-08-2023,113.61,50.99,HOLD,0.66,35.70,0.00
12-07-2023,112.87,48.25,HOLD,0.75,34.82,0.00
12-06-2023,112.03,45.00,HOLD,-2.18,33.82,0.00
12-05-2023,114.53,54.43,HOLD,-1.08,36.80,0.00
12-04-2023,115.78,60.29,HOLD,-1.18,38.29,0.00
12-01-2023,117.16,67.77,HOLD,0.82,39.94,0.00
11-30-2023,116.21,64.99,HOLD,0.00,38.81,0.00
11-29-2023,116.21,64.99,HOLD,-0.03,38.81,0.00
11-28-2023,116.24,65.14,HOLD,-0.20,38.84,0.00
11-27-2023,116.47,66.25,HOLD,0.19,39.12,0.00
11-24-2023,116.25,65.73,HOLD,0.01,38.86,0.00
11-22-2023,116.24,65.71,HOLD,0.14,38.84,0.00
11-21-2023,116.08,65.38,HOLD,-0.72,38.65,0.00
11-20-2023,116.92,68.63,HOLD,1.35,39.66,0.00
11-17-2023,115.36,65.69,HOLD,0.60,37.79,0.00
11-16-2023,114.67,64.31,HOLD,0.53,36.97,0.00
11-15-2023,114.06,63.09,HOLD,-1.76,36.24,0.00
11-14-2023,116.10,70.56,HOLD,1.71,38.68,0.00
11-13-2023,114.15,67.10,HOLD,0.96,36.35,0.00
11-10-2023,113.07,64.99,HOLD,0.79,35.06,0.00
11-09-2023,112.18,63.18,HOLD,-0.13,33.99,0.00
11-08-2023,112.33,63.70,HOLD,3.06,34.17,0.00
11-07-2023,108.99,56.34,HOLD,-0.11,30.18,0.00
11-06-2023,109.11,56.72,HOLD,0.98,30.33,0.00
11-03-2023,108.05,54.17,HOLD,1.10,29.06,0.00
11-02-2023,106.87,51.18,HOLD,1.06,27.65,0.00
11-01-2023,105.75,48.21,HOLD,2.27,26.31,0.00
10-31-2023,103.40,41.24,HOLD,1.72,23.51,0.00
10-30-2023,101.65,35.21,HOLD,0.65,21.42,0.00
10-27-2023,100.99,32.80,HOLD,0.59,20.63,0.00
10-26-2023,100.40,30.65,HOLD,-1.02,19.92,0.00
10-25-2023,101.43,32.32,HOLD,-1.72,21.15,0.00
10-24-2023,103.20,35.41,HOLD,-0.44,23.27,0.00
10-23-2023,103.66,36.24,HOLD,1.78,23.82,0.00
10-20-2023,101.85,30.24,HOLD,-5.99,21.66,0.00
