Date,Price,RSI,STATUS,%,PROFIT,LOSS
08-23-2022,93.20,52.57,HOLD,0.00,0.00,0.00
08-22-2022,93.58,53.28,HOLD,0.00,0.00,0.00
08-19-2022,96.56,59.11,HOLD,0.00,0.00,0.00
08-18-2022,99.86,66.60,HOLD,0.00,0.00,0.00
08-17-2022,99.42,66.07,HOLD,0.00,0.00,0.00
08-16-2022,102.08,72.56,HOLD,0.00,0.00,0.00
08-15-2022,101.51,72.01,HOLD,0.00,0.00,0.00
08-12-2022,101.10,71.64,HOLD,0.00,0.00,0.00
08-11-2022,99.11,69.80,HOLD,0.00,0.00,0.00
08-10-2022,98.91,69.61,HOLD,0.00,0.00,0.00
08-09-2022,94.48,65.27,HOLD,0.00,0.00,0.00
08-08-2022,96.26,68.95,HOLD,0.00,0.00,0.00
08-05-2022,95.32,68.06,HOLD,0.00,0.00,0.00
08-04-2022,96.98,71.39,HOLD,0.00,0.00,0.00
08-03-2022,97.92,73.28,HOLD,0.00,0.00,0.00
08-02-2022,89.63,65.91,HOLD,0.00,0.00,0.00
08-01-2022,88.57,64.75,HOLD,0.00,0.00,0.00
07-29-2022,86.53,62.48,HOLD,0.00,0.00,0.00
07-28-2022,85.86,61.73,HOLD,0.00,0.00,0.00
07-27-2022,86.42,62.71,HOLD,0.00,0.00,0.00
07-26-2022,77.04,50.56,HOLD,0.00,0.00,0.00
07-25-2022,81.65,59.39,HOLD,0.00,0.00,0.00
07-22-2022,81.05,58.51,HOLD,0.00,0.00,0.00
07-21-2022,82.75,62.03,HOLD,0.00,0.00,0.00
07-20-2022,80.24,58.62,HOLD,0.00,0.00,0.00
07-19-2022,77.74,54.87,HOLD,0.00,0.00,0.00
07-18-2022,74.13,48.63,HOLD,0.00,0.00,0.00
07-15-2022,73.91,48.23,HOLD,0.00,0.00,0.00
07-14-2022,69.55,39.44,HOLD,0.00,0.00,0.00
07-13-2022,71.36,42.20,HOLD,0.00,0.00,0.00
07-12-2022,71.43,42.31,HOLD,0.00,0.00,0.00
07-11-2022,70.47,40.39,HOLD,0.00,0.00,0.00
07-08-2022,73.43,44.63,HOLD,0.00,0.00,0.00
07-07-2022,75.04,47.13,HOLD,0.00,0.00,0.00
