Date,Price,RSI,STATUS,D%Change,YTD%Change,Year
01-10-2023,24.71,47.89,HOLD,-1.75,-6.26,2023
01-09-2023,25.15,50.34,HOLD,-1.30,-4.59,2023
01-06-2023,25.48,52.20,HOLD,-5.45,-3.34,2023
01-05-2023,26.95,61.61,HOLD,3.30,2.24,2023
01-04-2023,26.09,57.44,HOLD,-1.02,-1.02,2023
01-03-2023,26.36,59.32,HOLD,1.50,0.00,2023
12-30-2022,25.97,57.45,HOLD,0.08,,2022
12-29-2022,25.95,57.36,HOLD,-4.88,,2022
12-28-2022,27.28,66.32,HOLD,2.71,,2022
12-27-2022,26.56,63.45,HOLD,3.03,,2022
12-23-2022,25.78,60.02,HOLD,-0.50,,2022
12-22-2022,25.91,60.90,HOLD,4.86,,2022
12-21-2022,24.71,55.25,HOLD,-2.87,,2022
12-20-2022,25.44,60.16,HOLD,0.28,,2022
12-19-2022,25.37,59.85,HOLD,2.75,,2022
12-16-2022,24.69,56.73,HOLD,1.94,,2022
12-15-2022,24.22,54.47,HOLD,6.74,,2022
12-14-2022,22.69,45.90,HOLD,1.57,,2022
12-13-2022,22.34,43.65,HOLD,-2.15,,2022
12-12-2022,22.83,46.15,HOLD,-2.44,,2022
12-09-2022,23.40,49.19,HOLD,1.25,,2022
12-08-2022,23.11,47.56,HOLD,-2.37,,2022
12-07-2022,23.67,50.46,HOLD,1.02,,2022
12-06-2022,23.43,49.23,HOLD,4.09,,2022
12-05-2022,22.51,44.29,HOLD,3.40,,2022
12-02-2022,21.77,39.92,HOLD,0.79,,2022
12-01-2022,21.60,38.90,HOLD,-0.14,,2022
11-30-2022,21.63,39.01,HOLD,-9.08,,2022
11-29-2022,23.79,47.97,HOLD,1.45,,2022
11-28-2022,23.45,46.16,HOLD,3.08,,2022
11-25-2022,22.75,42.33,HOLD,1.34,,2022
11-23-2022,22.45,40.65,HOLD,-1.92,,2022
11-22-2022,22.89,42.33,HOLD,-2.84,,2022
11-21-2022,23.56,44.96,HOLD,2.08,,2022
11-18-2022,23.08,42.59,HOLD,0.09,,2022
11-17-2022,23.06,42.49,HOLD,0.48,,2022
11-16-2022,22.95,42.00,HOLD,2.68,,2022
11-15-2022,22.35,39.36,HOLD,-2.78,,2022
11-14-2022,22.99,41.22,HOLD,1.82,,2022
11-11-2022,22.58,39.52,HOLD,-3.79,,2022
11-10-2022,23.47,41.96,HOLD,-14.69,,2022
11-09-2022,27.51,56.76,HOLD,4.76,,2022
11-08-2022,26.26,51.88,HOLD,-1.46,,2022
11-07-2022,26.65,53.63,HOLD,-2.20,,2022
11-04-2022,27.25,56.35,HOLD,-3.09,,2022
11-03-2022,28.12,60.48,HOLD,3.96,,2022
11-02-2022,27.05,56.87,HOLD,6.79,,2022
11-01-2022,25.33,50.07,HOLD,2.10,,2022
10-31-2022,24.81,47.76,HOLD,2.31,,2022
10-28-2022,24.25,45.22,HOLD,-6.08,,2022
10-27-2022,25.82,51.77,HOLD,3.74,,2022
10-26-2022,24.89,47.59,HOLD,4.45,,2022
10-25-2022,23.83,42.31,HOLD,-4.07,,2022
10-24-2022,24.84,46.45,HOLD,-2.24,,2022
10-21-2022,25.41,48.97,HOLD,-4.72,,2022
10-20-2022,26.67,55.08,HOLD,1.21,,2022
10-19-2022,26.35,53.72,HOLD,0.69,,2022
10-18-2022,26.17,52.97,HOLD,-1.47,,2022
10-17-2022,26.56,54.75,HOLD,-6.84,,2022
10-14-2022,28.51,64.82,HOLD,6.02,,2022
10-13-2022,26.89,59.00,HOLD,-4.44,,2022
10-12-2022,28.14,66.94,HOLD,0.07,,2022
10-11-2022,28.12,66.88,HOLD,2.48,,2022
10-10-2022,27.44,64.64,HOLD,2.12,,2022
10-07-2022,26.87,62.68,HOLD,7.78,,2022
10-06-2022,24.93,54.75,HOLD,1.63,,2022
10-05-2022,24.53,52.83,HOLD,0.08,,2022
10-04-2022,24.51,52.73,HOLD,-6.27,,2022
10-03-2022,26.15,62.06,HOLD,-4.67,,2022
09-30-2022,27.43,71.18,SELL,3.55,,2022
09-29-2022,26.49,67.97,HOLD,5.58,,2022
09-28-2022,25.09,62.13,HOLD,-3.83,,2022
09-27-2022,26.09,70.67,SELL,-0.19,,2022
09-26-2022,26.14,71.13,SELL,1.00,,2022
09-23-2022,25.88,70.20,SELL,3.27,,2022
09-22-2022,25.06,67.12,HOLD,2.41,,2022
09-21-2022,24.47,64.68,HOLD,3.69,,2022
09-20-2022,23.60,60.69,HOLD,1.59,,2022
09-19-2022,23.23,58.85,HOLD,-1.57,,2022
09-16-2022,23.60,61.52,HOLD,1.29,,2022
09-15-2022,23.30,60.16,HOLD,3.37,,2022
09-14-2022,22.54,56.54,HOLD,-1.57,,2022
09-13-2022,22.90,58.89,HOLD,10.95,,2022
09-12-2022,20.64,45.74,HOLD,-2.37,,2022
09-09-2022,21.14,48.96,HOLD,-4.34,,2022
09-08-2022,22.10,55.98,HOLD,-1.07,,2022
09-07-2022,22.34,57.91,HOLD,-4.00,,2022
09-06-2022,23.27,66.10,HOLD,1.53,,2022
09-02-2022,22.92,64.34,HOLD,2.78,,2022
09-01-2022,22.30,61.00,HOLD,0.04,,2022
08-31-2022,22.29,60.95,HOLD,1.18,,2022
08-30-2022,22.03,59.58,HOLD,2.23,,2022
08-29-2022,21.55,57.00,HOLD,1.94,,2022
08-26-2022,21.14,54.70,HOLD,8.19,,2022
08-25-2022,19.54,43.83,HOLD,-3.46,,2022
